attempt_name,tier,split,candidate_id,model_id,decision_mode,threshold_value,from_date,to_date,set_path,ini_path,common_model_path,common_feature_matrix_path,common_telemetry_path,common_summary_path
frontier16d_tier_a_validation_is,Tier A,validation_is,f16b_edge_h8_t0p30_cap0p45_early0p25__rf_bal__edge_margin__target8,f16b_f16b_edge_h8_t0p30_cap0p45_early0p25__rf_bal,edge_margin,0.05512609121593004,2025.01.02,2025.10.01,stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/02_runs/frontier16D_runtime_probe_supplement_v1/mt5/frontier16d_tier_a_validation_is_validation_is.set,stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/02_runs/frontier16D_runtime_probe_supplement_v1/mt5/frontier16d_tier_a_validation_is_validation_is.ini,Project_Obsidian_Prime_v2/frontier16D_runtime_probe_supplement/models/f16b_f16b_edge_h8_t0p30_cap0p45_early0p25__rf_bal.onnx,Project_Obsidian_Prime_v2/frontier16D_runtime_probe_supplement/features/frontier16d_tier_a_validation_is_features.csv,Project_Obsidian_Prime_v2/frontier16D_runtime_probe_supplement/telemetry/frontier16d_tier_a_validation_is_validation_is_telemetry.csv,Project_Obsidian_Prime_v2/frontier16D_runtime_probe_supplement/telemetry/frontier16d_tier_a_validation_is_validation_is_summary.csv
frontier16d_tier_a_oos,Tier A,oos,f16b_edge_h8_t0p30_cap0p45_early0p25__rf_bal__edge_margin__target8,f16b_f16b_edge_h8_t0p30_cap0p45_early0p25__rf_bal,edge_margin,0.05512609121593004,2025.10.01,2026.04.14,stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/02_runs/frontier16D_runtime_probe_supplement_v1/mt5/frontier16d_tier_a_oos_oos.set,stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/02_runs/frontier16D_runtime_probe_supplement_v1/mt5/frontier16d_tier_a_oos_oos.ini,Project_Obsidian_Prime_v2/frontier16D_runtime_probe_supplement/models/f16b_f16b_edge_h8_t0p30_cap0p45_early0p25__rf_bal.onnx,Project_Obsidian_Prime_v2/frontier16D_runtime_probe_supplement/features/frontier16d_tier_a_oos_features.csv,Project_Obsidian_Prime_v2/frontier16D_runtime_probe_supplement/telemetry/frontier16d_tier_a_oos_oos_telemetry.csv,Project_Obsidian_Prime_v2/frontier16D_runtime_probe_supplement/telemetry/frontier16d_tier_a_oos_oos_summary.csv
