attempt_name,split,rows,days_in_scope,threshold_value,decision_mode,signal_count,long_count,short_count,flat_count,expected_density_per_day,effect
frontier16d_tier_a_validation_is,validation_is,9844,183,0.05512609121593004,edge_margin,1035,643,392,8809,5.655737704918033,Python expected signal counts(파이썬 기대 신호 수)을 MT5 summary(요약)와 비교합니다.
frontier16d_tier_a_oos,oos,7584,131,0.05512609121593004,edge_margin,715,485,230,6869,5.458015267175573,Python expected signal counts(파이썬 기대 신호 수)을 MT5 summary(요약)와 비교합니다.
