attempt_name,split,tester_status,tester_returncode,runtime_status,runtime_wait_status,report_status,model_ok_count,feature_ready_count,mt5_long_count,mt5_short_count,mt5_flat_count,mt5_order_attempt_count,mt5_order_fill_count,expected_rows,expected_signal_count,expected_long_count,expected_short_count,expected_flat_count,signal_count_diff,long_count_diff,short_count_diff,feature_ready_diff,net_profit,profit_factor,trade_count,max_drawdown_percent,recovery_factor,blocker
frontier16d_tier_a_validation_is,validation_is,completed,0,completed,completed,completed,9844,9844,643,392,51773,453,453,9844,1035,643,392,8809,0,0,0,0,216.51,1.37,229,12.2,2.57,
frontier16d_tier_a_oos,oos,completed,0,completed,completed,completed,7584,7584,485,230,36622,328,328,7584,715,485,230,6869,0,0,0,0,-70.48,0.87,164,47.17,-0.24,
