variant_id,source_bucket,trade_count,net_profit,expectancy,win_count,loss_count,win_rate_percent,gross_profit,gross_loss,profit_factor,avg_hold_minutes,claim_boundary
bv_full_overlay_reference,long_threshold,904,818.6,0.905531,485,419,53.650442,3013.18,-2194.58,1.37301,111.820336,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,native_short_threshold,41,128.7,3.139024,21,20,51.219512,247.89,-119.19,2.079789,277.806098,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,synthetic_short_overlay,73,19.02,0.260548,33,40,45.205479,269.75,-250.73,1.075858,29.657534,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,long_threshold,904,845.42,0.935199,486,418,53.761062,3041.69,-2196.27,1.384934,113.048212,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,native_short_threshold,66,55.47,0.840455,29,37,43.939394,307.55,-252.08,1.220049,183.864394,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,synthetic_short_overlay,38,86.13,2.266579,20,18,52.631579,177.91,-91.78,1.93844,29.605263,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,long_threshold,904,845.42,0.935199,486,418,53.761062,3041.69,-2196.27,1.384934,113.048212,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,native_short_threshold,98,100.51,1.025612,45,53,45.918367,426.83,-326.32,1.308011,133.622959,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,long_threshold,903,883.52,0.978427,486,417,53.820598,3041.69,-2158.17,1.409384,111.910945,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,native_short_threshold,66,55.47,0.840455,29,37,43.939394,307.55,-252.08,1.220049,183.864394,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,synthetic_short_overlay,39,69.19,1.774103,20,19,51.282051,177.91,-108.72,1.636405,29.358974,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
