variant_id,close_hour,trade_count,net_profit,expectancy,win_count,loss_count,win_rate_percent,gross_profit,gross_loss,profit_factor,avg_hold_minutes,claim_boundary
bv_full_overlay_reference,16,32,332.26,10.383125,21,11,65.625,403.26,-71.0,5.679718,2000.78125,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,17,302,419.11,1.387781,168,134,55.629139,1246.02,-826.91,1.506839,91.539735,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,18,250,7.67,0.03068,130,120,52.0,644.45,-636.78,1.012045,32.062533,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,19,183,125.93,0.688142,94,89,51.36612,524.6,-398.67,1.315875,33.060109,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,20,123,88.09,0.716179,61,62,49.593496,410.74,-322.65,1.27302,34.349593,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,21,112,13.21,0.117946,57,55,50.892857,281.2,-267.99,1.049293,36.383929,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,22,16,-19.95,-1.246875,8,8,50.0,20.55,-40.5,0.507407,37.8125,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,16,33,359.3,10.887879,22,11,66.666667,430.3,-71.0,6.060563,1974.69697,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,17,301,417.59,1.387342,168,133,55.813953,1243.39,-825.8,1.505679,91.744186,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,18,250,7.67,0.03068,130,120,52.0,644.45,-636.78,1.012045,32.062533,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,19,182,112.5,0.618132,93,89,51.098901,511.17,-398.67,1.282188,33.076923,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,20,116,116.83,1.007155,60,56,51.724138,408.92,-292.09,1.399979,34.655172,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,21,111,-7.82,-0.07045,54,57,48.648649,268.37,-276.19,0.971686,36.441441,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,22,15,-19.05,-1.27,8,7,53.333333,20.55,-39.6,0.518939,38.333333,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,16,33,359.3,10.887879,22,11,66.666667,430.3,-71.0,6.060563,1974.69697,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,17,296,405.35,1.369426,165,131,55.743243,1207.16,-801.81,1.505544,92.85473,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,18,249,-21.18,-0.08506,129,120,51.807229,622.05,-643.23,0.967072,32.050736,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,19,182,112.5,0.618132,93,89,51.098901,511.17,-398.67,1.282188,33.076923,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,20,116,116.83,1.007155,60,56,51.724138,408.92,-292.09,1.399979,34.655172,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
