run_id,comparison_id,membership,open_time,open_type,left_net_profit,right_net_profit,left_source_bucket,right_source_bucket,left_close_month,right_close_month,left_open_hour,right_open_hour,left_close_hour,right_close_hour,claim_boundary
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx01_late_firewall_increment,right_only,2025-12-10T22:05:00,buy,-inf,-38.1,,long_threshold,,2025-12,,22.0,,17.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx01_late_firewall_increment,left_only,2025-12-11T17:05:00,sell,-16.94,-inf,synthetic_short_overlay,,2025-12,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2025-01-07T17:25:00,sell,11.53,-inf,synthetic_short_overlay,,2025-01,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,right_only,2025-01-07T17:40:00,sell,-inf,-11.51,,native_short_threshold,,2025-01,,17.0,,18.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2025-02-18T17:10:00,sell,2.98,-inf,synthetic_short_overlay,,2025-02,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2025-02-25T17:50:00,sell,3.29,-inf,synthetic_short_overlay,,2025-02,,17.0,,18.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,right_only,2025-02-25T18:05:00,sell,-inf,1.81,,native_short_threshold,,2025-02,,18.0,,18.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2025-05-29T17:05:00,sell,5.42,-inf,synthetic_short_overlay,,2025-05,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,right_only,2025-05-29T17:15:00,sell,-inf,-2.15,,native_short_threshold,,2025-05,,17.0,,17.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2025-07-22T17:05:00,sell,-6.96,-inf,synthetic_short_overlay,,2025-07,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
