variant_id,open_hour,trade_count,net_profit,expectancy,win_count,loss_count,win_rate_percent,gross_profit,gross_loss,profit_factor,avg_hold_minutes,claim_boundary
bv_full_overlay_reference,16,130,28.76,0.221231,70,60,53.846154,461.53,-432.77,1.066456,30.923077,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,17,299,238.36,0.797191,161,138,53.846154,929.0,-690.64,1.345129,31.707637,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,18,223,55.34,0.248161,115,108,51.569507,582.1,-526.76,1.105057,32.28722,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,19,142,22.51,0.158521,74,68,52.112676,378.69,-356.18,1.063198,34.894366,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,20,127,195.48,1.539213,68,59,53.543307,453.65,-258.17,1.757176,44.448819,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,21,84,272.06,3.23881,42,42,50.0,510.74,-238.68,2.139853,781.369048,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,22,13,153.81,11.831538,9,4,69.230769,215.11,-61.3,3.509135,1361.923077,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,16,129,29.87,0.23155,70,59,54.263566,461.53,-431.66,1.069198,30.930233,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,17,299,235.73,0.788395,161,138,53.846154,926.37,-690.64,1.341321,31.707637,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,18,223,55.34,0.248161,115,108,51.569507,582.1,-526.76,1.105057,32.28722,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,19,135,37.41,0.277111,73,62,54.074074,359.55,-322.14,1.11613,35.148148,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,20,125,173.53,1.38824,64,61,51.2,444.71,-271.18,1.639907,44.72,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,21,84,301.33,3.587262,43,41,51.190476,537.78,-236.45,2.274392,794.583333,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,22,13,153.81,11.831538,9,4,69.230769,215.11,-61.3,3.509135,1361.923077,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,16,129,29.87,0.23155,70,59,54.263566,461.53,-431.66,1.069198,30.930233,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
