attempt_name,axis,worst_bucket,worst_direction,worst_trade_count,worst_net_profit,worst_profit_factor,best_bucket,best_direction,best_trade_count,best_net_profit,regime_judgment,claim_boundary
c56_bal_rf,adx,adx_20_25,short,10,-67.7,0.306139182126,adx_lt20,long,12,96.06,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,close_hour,16,short,4,-65.33,0.0,18,long,9,45.13,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,direction,short,short,33,-85.55,0.606014552823,long,long,42,87.0,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,month,2026-04,short,14,-80.7,0.235361000569,2026-05,long,29,53.92,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,rate,us10yr_z_lt_minus1,short,21,-146.95,0.234994013223,us10yr_z_neutral,short,10,44.32,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,session,session_13_20,short,25,-79.03,0.55180627233,session_13_20,long,38,85.74,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,usd,usdx_z_gt_plus1,short,17,-79.54,0.445791527313,usdx_z_lt_minus1,long,18,52.19,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,vix,vix_z_gt_plus1,short,16,-55.63,0.540019844551,vix_z_neutral,long,17,63.79,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,volatility,vol_mid,short,6,-45.73,0.25179973822,vol_high,long,35,106.45,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,adx,adx_20_25,short,6,-45.05,0.193086154397,adx_lt20,long,14,147.36,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,close_hour,16,short,4,-44.44,0.0267192290845,18,long,13,52.06,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,direction,short,short,19,-11.08,0.8574002574,long,long,58,158.14,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,month,2026-04,short,6,-36.58,0.225328250741,2026-04,long,20,84.92,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,rate,us10yr_z_lt_minus1,short,12,-29.75,0.54287031346,us10yr_z_neutral,long,31,101.58,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,session,session_13_20,short,14,-22.9,0.68291332041,session_13_20,long,49,146.95,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,usd,usdx_z_lt_minus1,short,3,-16.31,0.0,usdx_z_neutral,long,32,99.09,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,vix,vix_z_gt_plus1,short,11,-19.69,0.610715697904,vix_z_lt_minus1,long,23,88.24,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,volatility,vol_mid,short,4,-17.92,0.462023416391,vol_high,long,47,124.19,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,adx,adx_lt20,short,16,-64.82,0.464518793887,adx_lt20,long,66,100.26,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,close_hour,08,long,12,-40.39,0.195097648466,18,long,10,67.13,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
