adapter_id,label,axis,short_block_rule,atr_stop_multiplier,atr_take_profit_multiplier,model_risk_max_pct,validation_pf,validation_net,validation_net_gap_vs_34d,validation_balance_dd_percent,validation_dd_margin_vs_34d,validation_early_pf,validation_mid_pf,validation_late_pf,validation_late_net_share,oos_pf,oos_net,oos_balance_dd_percent,oos_late_net_share,stage171_validation_dd_delta,stage171_validation_net_delta,stage171_oos_net_delta,quality_flags,hard_quality_pass
s217_r031375_s20325_t4615,stage217_r031375_s20325_t4615,r031375_s20325_t4615,midwide_lowedge,2.0325,4.615,0.031375,1.6,952.16,-35.44,12.6953,0.213836,1.563704148,1.541193855,1.666775264,0.4729,1.74,719.48,9.2072,0.428,-1.6057,-31.8,-116.3,validation_net_below_34d;validation_early_pf_below_34d;validation_mid_pf_below_34d,False
s217_r031375_s20375_t4625,stage217_r031375_s20375_t4625,r031375_s20375_t4625,midwide_lowedge,2.0375,4.625,0.031375,1.6,948.72,-38.88,12.6751,0.234036,1.566430643,1.544016089,1.658292423,0.4693,1.74,709.04,9.0934,0.4262,-1.6259,-35.24,-126.74,validation_net_below_34d;validation_early_pf_below_34d;validation_mid_pf_below_34d;oos_net_materially_below_stage171_primary,False
s217_r031375_s20425_t4635,stage217_r031375_s20425_t4635,r031375_s20425_t4635,midwide_lowedge,2.0425,4.635,0.031375,1.6,946.28,-41.32,12.7284,0.180736,1.564497196,1.541390885,1.657703123,0.4696,1.73,707.18,9.2944,0.4281,-1.5726,-37.68,-128.6,validation_net_below_34d;validation_early_pf_below_34d;validation_mid_pf_below_34d;oos_net_materially_below_stage171_primary,False
s217_r03125_s20375_t4625,stage217_r03125_s20375_t4625,r03125_s20375_t4625,midwide_lowedge,2.0375,4.625,0.03125,1.6,941.2,-46.4,12.668,0.241136,1.567379413,1.537879654,1.659949547,0.4697,1.74,708.56,9.1584,0.4291,-1.633,-42.76,-127.22,validation_net_below_34d;validation_early_pf_below_34d;validation_mid_pf_below_34d;oos_net_materially_below_stage171_primary,False
