candidate_alias,candidate_id,candidate_role,review_rows,constructive_rows,unique_kpi_shapes,best_net_profit,worst_net_profit,best_profit_factor,worst_dd_percent,min_worst_month_net,all_reproduced_from_source,summary_read
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,4,4,1,408.29,408.29,1.347088,15.85,-32.37,true,"runtime_reproduced_but_variants_collapsed(런타임 재현됨, 변형 차이는 접힘)"
s264_aih,s264_allow_inner_high_quarter,challenger_core,4,4,1,412.57,412.57,1.349864,15.9,-32.73,true,"runtime_reproduced_but_variants_collapsed(런타임 재현됨, 변형 차이는 접힘)"
