record_view,queue_id,source_queue_id,candidate_id,candidate_alias,candidate_role,test_id,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),tier_only_total,month,2024-01,23,55.29,94.91,-39.62,2.395507,2.403913,0.608696,13.57,2.48594,9,0.652174,3,4.074429,measured_slice(측정 구간)
mt5_ta_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),tier_only_total,month,2024-02,21,135.04,189.15,-54.11,3.495657,6.430476,0.619048,27.28,4.118855,4,0.47619,4,4.950147,measured_slice(측정 구간)
mt5_ta_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),tier_only_total,month,2024-03,19,-3.76,64.89,-68.65,0.945229,-0.197895,0.473684,41.59,8.017813,15,0.894737,2,-0.090406,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),tier_only_total,month,2024-04,31,-18.64,137.74,-156.38,0.880803,-0.60129,0.451613,86.46,15.226656,26,0.83871,5,-0.215591,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),tier_only_total,month,2024-05,17,57.41,106.18,-48.77,2.177158,3.377059,0.705882,22.64,3.920414,5,0.529412,2,2.535777,measured_slice(측정 구간)
mt5_ta_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),tier_only_total,month,2024-06,14,-32.73,57.15,-89.88,0.635848,-2.337857,0.428571,47.4,9.415036,8,0.857143,3,-0.690506,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),tier_only_total,month,2024-07,31,-14.83,107.95,-122.78,0.879215,-0.478387,0.483871,59.01,11.658369,28,0.935484,4,-0.251313,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),tier_only_total,month,2024-08,37,8.97,150.64,-141.67,1.063316,0.242432,0.540541,39.83,7.812255,14,0.810811,2,0.225207,measured_slice(측정 구간)
mt5_ta_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),tier_only_total,month,2024-09,39,86.1,184.49,-98.39,1.875089,2.207692,0.641026,33.06,5.922821,12,0.717949,2,2.604356,measured_slice(측정 구간)
mt5_ta_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),tier_only_total,month,2024-10,31,34.72,142.95,-108.23,1.320798,1.12,0.483871,51.59,8.956442,17,0.806452,4,0.672999,measured_slice(측정 구간)
mt5_ta_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),tier_only_total,month,2024-11,24,100.35,183.27,-82.92,2.210203,4.18125,0.625,34.07,6.243829,10,0.791667,2,2.945407,measured_slice(측정 구간)
mt5_ta_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),tier_only_total,month,2024-12,27,4.65,172.48,-167.83,1.027707,0.172222,0.444444,77.58,15.516,22,0.888889,5,0.059938,measured_slice(측정 구간)
mt5_rt_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),routed_total,month,2024-01,23,55.29,94.91,-39.62,2.395507,2.403913,0.608696,13.57,2.48594,9,0.652174,3,4.074429,measured_slice(측정 구간)
mt5_rt_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),routed_total,month,2024-02,21,135.04,189.15,-54.11,3.495657,6.430476,0.619048,27.28,4.118855,4,0.47619,4,4.950147,measured_slice(측정 구간)
mt5_rt_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),routed_total,month,2024-03,19,-3.76,64.89,-68.65,0.945229,-0.197895,0.473684,41.59,8.017813,15,0.894737,2,-0.090406,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),routed_total,month,2024-04,31,-18.64,137.74,-156.38,0.880803,-0.60129,0.451613,86.46,15.226656,26,0.83871,5,-0.215591,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),routed_total,month,2024-05,17,57.41,106.18,-48.77,2.177158,3.377059,0.705882,22.64,3.920414,5,0.529412,2,2.535777,measured_slice(측정 구간)
mt5_rt_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),routed_total,month,2024-06,14,-32.73,57.15,-89.88,0.635848,-2.337857,0.428571,47.4,9.415036,8,0.857143,3,-0.690506,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),routed_total,month,2024-07,31,-14.83,107.95,-122.78,0.879215,-0.478387,0.483871,59.01,11.658369,28,0.935484,4,-0.251313,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_abl_volatility_bandwidth_internal_historical_2024_tier_a_train_era_stress,run267Q_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,explicit_internal_adapter_feature_materialization_from_proxy_score_v1(대체 점수에서 명시 내부 어댑터 피처 물질화),routed_total,month,2024-08,37,8.97,150.64,-141.67,1.063316,0.242432,0.540541,39.83,7.812255,14,0.810811,2,0.225207,measured_slice(측정 구간)
