candidate_alias,candidate_id,candidate_role,test_count,strong_curve_clue_count,failure_memory_count,avg_net_profit,avg_net_delta_vs_base_2024,avg_profit_factor,avg_equity_drawdown_percent,avg_dd_delta_vs_base_2024,avg_trade_count,min_positive_month_ratio,max_negative_month_count,worst_month_floor,best_test_id,best_net_profit,best_profit_factor,best_equity_drawdown_percent,worst_test_id,worst_net_profit,candidate_read,risk_row_count
s264_lc,s264_lowrank_control,defensive_control,1,0,0,1207.3,1135.96,1.506786,17.62,-19.9,354.0,0.75,3,-234.28,controlled_impulse_dd_state_throttle,1207.3,1.506786,17.62,controlled_impulse_dd_state_throttle,1207.3,"profitable_but_curve_risk_watch_no_selection(수익 있으나 곡선 위험 관찰, 선택 아님)",1
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,1,0,0,1119.33,1032.26,1.548395,16.03,-20.87,320.0,0.75,3,-166.41,oos_anchor_impulse_pressure,1119.33,1.548395,16.03,oos_anchor_impulse_pressure,1119.33,"broad_constructive_watch_no_selection(넓은 건설 관찰, 선택 아님)",0
