source_stage,adapter_id,split,profit_factor,net_profit,max_drawdown_amount,cost_stressed_expectancy,trade_count,same_move_reentry_ratio,risk_floor_applied_count,status
59V_adapter_repair__bounded_followup_from_stage59u,s59v_s59s_mr015_sl20_tp30_sd12_h5_rearm002,validation_is,1.1100000000,245.1800000000,94.4900000000,-0.0550649351,1001,0.2297702298,0,completed
59V_adapter_repair__bounded_followup_from_stage59u,s59v_s59s_mr015_sl20_tp30_sd12_h5_rearm002,oos,1.1600000000,289.8900000000,154.6300000000,0.0755051813,772,0.2163212435,0,completed
59V_adapter_repair__bounded_followup_from_stage59u,s59v_s59s_mr020_sl20_tp30_sd12_h5_rearm002,validation_is,1.1100000000,333.2900000000,128.9800000000,0.0329570430,1001,0.2297702298,0,completed
59V_adapter_repair__bounded_followup_from_stage59u,s59v_s59s_mr020_sl20_tp30_sd12_h5_rearm002,oos,1.1500000000,394.7600000000,239.9900000000,0.2113471503,772,0.2163212435,0,completed
59V_adapter_repair__bounded_followup_from_stage59u,s59v_s59s_mr025_sl20_tp30_sd12_h5_rearm002,validation_is,1.1100000000,442.5300000000,170.0900000000,0.1420879121,1001,0.2297702298,0,completed
59V_adapter_repair__bounded_followup_from_stage59u,s59v_s59s_mr025_sl20_tp30_sd12_h5_rearm002,oos,1.1500000000,525.4100000000,357.1500000000,0.3805829016,772,0.2163212435,0,completed
59W_adapter_repair__bounded_followup_from_stage59v,s59w_s59v_st54_mr025_sl20_tp30_sd12_h5_rearm002,validation_is,1.1100000000,442.5300000000,170.0900000000,0.1420879121,1001,0.2297702298,0,completed
59W_adapter_repair__bounded_followup_from_stage59v,s59w_s59v_st54_mr025_sl20_tp30_sd12_h5_rearm002,oos,1.1500000000,525.4100000000,357.1500000000,0.3805829016,772,0.2163212435,0,completed
59W_adapter_repair__bounded_followup_from_stage59v,s59w_s59v_st56_mr025_sl20_tp30_sd12_h5_rearm002,validation_is,1.1100000000,442.5300000000,170.0900000000,0.1420879121,1001,0.2297702298,0,completed
59W_adapter_repair__bounded_followup_from_stage59v,s59w_s59v_st56_mr025_sl20_tp30_sd12_h5_rearm002,oos,1.1500000000,525.4100000000,357.1500000000,0.3805829016,772,0.2163212435,0,completed
59W_adapter_repair__bounded_followup_from_stage59v,s59w_s59v_st58_mr025_sl20_tp30_sd12_h5_rearm002,validation_is,1.1100000000,442.5300000000,170.0900000000,0.1420879121,1001,0.2297702298,0,completed
59W_adapter_repair__bounded_followup_from_stage59v,s59w_s59v_st58_mr025_sl20_tp30_sd12_h5_rearm002,oos,1.1500000000,525.4100000000,357.1500000000,0.3805829016,772,0.2163212435,0,completed
