candidate_id,artifact_slug,feature_set_id,model_id,view_id,rows,days,rows_per_day,start_timestamp,end_timestamp,decision_threshold_policy,decision_threshold,signal_rows,signal_rate,signals_per_day,pred_short,pred_flat,pred_long,signal_short,signal_long,signal_long_share,mean_max_probability,mean_probability_margin,median_probability_margin
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,2070,29,71.37931034482759,2026-04-14T16:35:00+00:00,2026-05-22T23:00:00+00:00,train_only_nonflat_margin_q60,0.06677452101508195,442,0.2135265700483092,15.241379310344827,336,1210,524,181,261,0.5904977375565611,0.4430884218590271,0.12668286651948799,0.10554033517837524
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,old_session_parity,1789,29,61.689655172413794,2026-04-14T16:35:00+00:00,2026-05-22T22:00:00+00:00,train_only_nonflat_margin_q60,0.06677452101508195,421,0.2353269983230855,14.517241379310345,298,975,516,162,259,0.6152019002375297,0.4346879153627467,0.11312800705799382,0.09509354829788208
core56_no_top3_weight_features__l2_plain_c025,c56_plain,core56_no_top3_weight_features,l2_plain_c025,raw_forward,2070,29,71.37931034482759,2026-04-14T16:35:00+00:00,2026-05-22T23:00:00+00:00,train_only_nonflat_margin_q60,0.07096937220715405,486,0.23478260869565218,16.75862068965517,223,1122,725,89,397,0.8168724279835391,0.44586842529439696,0.1244180374459368,0.10717861354351044
core56_no_top3_weight_features__l2_plain_c025,c56_plain,core56_no_top3_weight_features,l2_plain_c025,old_session_parity,1789,29,61.689655172413794,2026-04-14T16:35:00+00:00,2026-05-22T22:00:00+00:00,train_only_nonflat_margin_q60,0.07096937220715405,472,0.2638345444382337,16.275862068965516,192,890,707,80,392,0.8305084745762712,0.4386923182537064,0.11244039129218021,0.09775680303573608
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,macro48_no_equity_breadth_or_top3,l2_balanced_c025,raw_forward,5484,29,189.10344827586206,2026-04-14T03:05:00+00:00,2026-05-22T23:55:00+00:00,train_only_nonflat_margin_q60,0.06601092665437092,2341,0.42687819110138586,80.72413793103448,639,2195,2650,336,2005,0.8564715933361812,0.48808693841241035,0.19066599802535916,0.14302672445774078
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,macro48_no_equity_breadth_or_top3,l2_balanced_c025,old_session_parity,1789,29,61.689655172413794,2026-04-14T16:35:00+00:00,2026-05-22T22:00:00+00:00,train_only_nonflat_margin_q60,0.06601092665437092,412,0.23029625489100056,14.206896551724139,299,982,508,167,245,0.5946601941747572,0.4342375140306069,0.11289680005785738,0.09641388058662415
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,macro48_no_equity_breadth_or_top3,l2_plain_c025,raw_forward,5484,29,189.10344827586206,2026-04-14T03:05:00+00:00,2026-05-22T23:55:00+00:00,train_only_nonflat_margin_q60,0.07078808758599892,2562,0.4671772428884026,88.34482758620689,385,2063,3036,160,2402,0.9375487900078064,0.5006199887607934,0.20880508039181986,0.1696331650018692
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,macro48_no_equity_breadth_or_top3,l2_plain_c025,old_session_parity,1789,29,61.689655172413794,2026-04-14T16:35:00+00:00,2026-05-22T22:00:00+00:00,train_only_nonflat_margin_q60,0.07078808758599892,458,0.25600894354387926,15.793103448275861,196,906,687,77,381,0.8318777292576419,0.43784018213219855,0.11160600788437368,0.0986325740814209
us100_technical42_no_external__l2_balanced_c025,u42_bal,us100_technical42_no_external,l2_balanced_c025,raw_forward,7649,35,218.54285714285714,2026-04-14T01:05:00+00:00,2026-05-23T00:00:00+00:00,train_only_nonflat_margin_q60,0.06160298154533757,3099,0.405151000130736,88.54285714285714,651,3634,3364,367,2732,0.8815747015166182,0.5208021362266723,0.2420172834395583,0.1872936487197876
us100_technical42_no_external__l2_balanced_c025,u42_bal,us100_technical42_no_external,l2_balanced_c025,old_session_parity,1914,29,66.0,2026-04-14T16:35:00+00:00,2026-05-22T22:00:00+00:00,train_only_nonflat_margin_q60,0.06160298154533757,401,0.20950888192267503,13.827586206896552,316,1112,486,177,224,0.5586034912718204,0.4338869746762757,0.11245720403788606,0.0980021059513092
us100_technical42_no_external__l2_plain_c025,u42_plain,us100_technical42_no_external,l2_plain_c025,raw_forward,7649,35,218.54285714285714,2026-04-14T01:05:00+00:00,2026-05-23T00:00:00+00:00,train_only_nonflat_margin_q60,0.06695556909679398,3291,0.4302523205647797,94.02857142857142,424,3470,3755,173,3118,0.9474323913704041,0.5308609641304295,0.25647153599283434,0.21176782250404358
us100_technical42_no_external__l2_plain_c025,u42_plain,us100_technical42_no_external,l2_plain_c025,old_session_parity,1914,29,66.0,2026-04-14T16:35:00+00:00,2026-05-22T22:00:00+00:00,train_only_nonflat_margin_q60,0.06695556909679398,463,0.241901776384535,15.96551724137931,213,1023,678,88,375,0.8099352051835853,0.4360711776817854,0.10777101418161093,0.09340368211269379
