candidate_id,artifact_slug,feature_set_id,model_id,view_id,rows,passed,max_abs_diff,mean_abs_diff,onnx_row_sum_max_abs_error,input_name,output_names,onnx_path,onnx_sha256,sklearn_model_path,sklearn_model_sha256
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,2070,True,1.19214927923883e-06,5.835078551221727e-07,8.940696716308594e-08,float_input,probabilities,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_bal.onnx,0685c7be80c7a9871f626201a8641c33903773bec62b8453405c73fe6e511369,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/models/c56_bal.joblib,c9a89338f7b6116020436d6ef1b5dc1aa505c2447b87b91ee1af8447d53171b6
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,old_session_parity,1789,True,1.19214927923883e-06,5.915666266050305e-07,8.940696716308594e-08,float_input,probabilities,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_bal.onnx,0685c7be80c7a9871f626201a8641c33903773bec62b8453405c73fe6e511369,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/models/c56_bal.joblib,c9a89338f7b6116020436d6ef1b5dc1aa505c2447b87b91ee1af8447d53171b6
core56_no_top3_weight_features__l2_plain_c025,c56_plain,core56_no_top3_weight_features,l2_plain_c025,raw_forward,2070,True,1.1297630934659075e-06,5.284970584215748e-07,8.940696716308594e-08,float_input,probabilities,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_plain.onnx,28d6a644c4c3d8b322093c676c801f867d82568163a502e97457b46d5b530c85,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/models/c56_plain.joblib,e995755a1971803e529e45cf9d065748279a3a26735dce881ae6b433068173f8
core56_no_top3_weight_features__l2_plain_c025,c56_plain,core56_no_top3_weight_features,l2_plain_c025,old_session_parity,1789,True,1.1297630934659075e-06,5.358110959154237e-07,8.940696716308594e-08,float_input,probabilities,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_plain.onnx,28d6a644c4c3d8b322093c676c801f867d82568163a502e97457b46d5b530c85,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/models/c56_plain.joblib,e995755a1971803e529e45cf9d065748279a3a26735dce881ae6b433068173f8
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,macro48_no_equity_breadth_or_top3,l2_balanced_c025,raw_forward,5484,True,1.2247635776119203e-06,5.788714617906146e-07,1.1175870895385742e-07,float_input,probabilities,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_bal.onnx,2c5f7bf622bb77dbd8001ccf0eb438aaa3547a37270b7867422495efdb100659,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/models/m48_bal.joblib,9437b0e8d752baf320a46ec73a08509d52f76732238d2d8db59500ad1ac34f96
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,macro48_no_equity_breadth_or_top3,l2_balanced_c025,old_session_parity,1789,True,1.2247635776119203e-06,6.007277033469461e-07,8.940696716308594e-08,float_input,probabilities,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_bal.onnx,2c5f7bf622bb77dbd8001ccf0eb438aaa3547a37270b7867422495efdb100659,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/models/m48_bal.joblib,9437b0e8d752baf320a46ec73a08509d52f76732238d2d8db59500ad1ac34f96
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,macro48_no_equity_breadth_or_top3,l2_plain_c025,raw_forward,5484,True,1.1792934155319124e-06,5.251553109646157e-07,1.1175870895385742e-07,float_input,probabilities,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_plain.onnx,ed80d304d1ce4a3b56b0cbcac8143b3b35b078dca899eee838dedca77846eee9,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/models/m48_plain.joblib,9213676ce131dc2676c375516189ea6fdb73003cae412e1a71abded679da194c
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,macro48_no_equity_breadth_or_top3,l2_plain_c025,old_session_parity,1789,True,1.1792934155319124e-06,5.447897451436207e-07,8.940696716308594e-08,float_input,probabilities,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_plain.onnx,ed80d304d1ce4a3b56b0cbcac8143b3b35b078dca899eee838dedca77846eee9,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/models/m48_plain.joblib,9213676ce131dc2676c375516189ea6fdb73003cae412e1a71abded679da194c
us100_technical42_no_external__l2_balanced_c025,u42_bal,us100_technical42_no_external,l2_balanced_c025,raw_forward,7649,True,1.0645693863109429e-06,4.869747576544201e-07,1.1175870895385742e-07,float_input,probabilities,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/u42_bal.onnx,ea676504449e5f1818e93f852bb24227d463b421ede69f4a20fe6b1d0b3425b7,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/models/u42_bal.joblib,ec099c5b46c84728bfa4b5095dbd4dc1cf36d83022c16fe7a3a09e0082961e7d
us100_technical42_no_external__l2_balanced_c025,u42_bal,us100_technical42_no_external,l2_balanced_c025,old_session_parity,1914,True,1.0548741563032316e-06,5.287291829185796e-07,8.940696716308594e-08,float_input,probabilities,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/u42_bal.onnx,ea676504449e5f1818e93f852bb24227d463b421ede69f4a20fe6b1d0b3425b7,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/models/u42_bal.joblib,ec099c5b46c84728bfa4b5095dbd4dc1cf36d83022c16fe7a3a09e0082961e7d
us100_technical42_no_external__l2_plain_c025,u42_plain,us100_technical42_no_external,l2_plain_c025,raw_forward,7649,True,1.1823980542446932e-06,4.932441544182343e-07,1.1175870895385742e-07,float_input,probabilities,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/u42_plain.onnx,f6e1232824dfe499551e21e1a571e0abbb9ca96442752987cb9f0d8107330cc8,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/models/u42_plain.joblib,003685271a276d235f4d4bfadf071f9b7f6881bbe85b216450f5c5d2c6b57acf
us100_technical42_no_external__l2_plain_c025,u42_plain,us100_technical42_no_external,l2_plain_c025,old_session_parity,1914,True,1.080151135202101e-06,5.366034850457215e-07,8.940696716308594e-08,float_input,probabilities,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/u42_plain.onnx,f6e1232824dfe499551e21e1a571e0abbb9ca96442752987cb9f0d8107330cc8,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/models/u42_plain.joblib,003685271a276d235f4d4bfadf071f9b7f6881bbe85b216450f5c5d2c6b57acf
