entry_month,side,segment_trade_count,segment_trade_per_business_day,segment_net_profit,segment_profit_factor,segment_expectancy,segment_max_drawdown,segment_recovery_factor,segment_long_count,segment_short_count,segment_long_short_balance,segment_business_days,run_id,claim_boundary
2025-01,long,80,3.6363636364,40.493,1.1969149521,0.5061625,-35.936,1.1268087711,80,0,0.0,22,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-01,short,8,0.3636363636,-0.1,0.9970992632,-0.0125,-34.474,-0.0029007368,0,8,0.0,22,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-02,long,62,3.1,4.082,1.024402054,0.0658387097,-63.966,0.0638151518,62,0,0.0,20,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-02,short,12,0.75,9.521,1.1670731921,0.7934166667,-31.287,0.304311695,0,12,0.0,16,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-03,short,8,0.4705882353,-8.436,0.5733791848,-1.0545,-10.162,-0.830151545,0,8,0.0,17,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-04,long,106,4.8181818182,285.075,1.7004076037,2.6893867925,-66.838,4.2651635297,106,0,0.0,22,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-04,short,15,0.75,4.517,1.0599214667,0.3011333333,-37.295,0.121115431,0,15,0.0,20,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-05,long,71,3.2272727273,57.461,1.5167309646,0.8093098592,-34.814,1.650514161,71,0,0.0,22,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-05,short,5,0.2777777778,-32.938,0.0208097984,-6.5876,-32.938,-1.0,0,5,0.0,18,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-06,long,66,3.1428571429,88.609,1.9585880113,1.3425606061,-21.611,4.1001804637,66,0,0.0,21,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-06,short,1,1.0,-5.563,0.0,-5.563,-5.563,-1.0,0,1,0.0,1,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-07,long,34,1.5454545455,-12.203,0.8354570338,-0.3589117647,-30.86,-0.3954309786,34,0,0.0,22,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-07,short,1,1.0,-9.125,0.0,-9.125,-9.125,-1.0,0,1,0.0,1,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-08,long,44,2.2,-1.205,0.9896297699,-0.0273863636,-34.738,-0.0346882377,44,0,0.0,20,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-08,short,3,0.1578947368,-8.15,0.2374625749,-2.7166666667,-8.15,-1.0,0,3,0.0,19,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-09,long,51,2.4285714286,17.197,1.1614332517,0.3371960784,-29.32,0.5865279673,51,0,0.0,21,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-09,short,1,1.0,-8.813,0.0,-8.813,-8.813,-1.0,0,1,0.0,1,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-10,long,71,3.0869565217,1.961,1.0109888878,0.0276197183,-52.886,0.0370797565,71,0,0.0,23,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-10,short,7,0.7777777778,9.614,1.2554469125,1.3734285714,-31.099,0.309141773,0,7,0.0,9,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-11,long,72,4.0,142.629,1.6182739532,1.9809583333,-56.336,2.5317558932,72,0,0.0,18,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-11,short,12,0.8571428571,36.95,2.2664952871,3.0791666667,-13.463,2.7445591621,0,12,0.0,14,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-12,long,58,2.6363636364,-78.138,0.5727362205,-1.3472068966,-101.298,-0.7713676479,58,0,0.0,22,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-12,short,5,1.0,-1.375,0.9441056911,-0.275,-15.95,-0.0862068966,0,5,0.0,5,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-01,long,77,3.6666666667,52.245,1.3624978317,0.6785064935,-47.06,1.1101784955,77,0,0.0,21,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-01,short,5,0.25,27.115,3.8171428571,5.423,-9.625,2.8171428571,0,5,0.0,20,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-02,long,79,3.95,105.032,1.569485938,1.3295189873,-37.01,2.8379356931,79,0,0.0,20,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-02,short,12,0.6666666667,56.225,4.3122238586,4.6854166667,-7.725,7.2783171521,0,12,0.0,18,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-03,long,93,4.2272727273,140.22,1.6876225971,1.5077419355,-56.34,2.4888178914,93,0,0.0,22,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-03,short,8,0.4444444444,-5.725,0.5767097967,-0.715625,-8.05,-0.7111801242,0,8,0.0,18,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-04,long,45,5.0,12.575,1.1218803005,0.2794444444,-57.24,0.2196890287,45,0,0.0,9,run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
