variant_id,queue_id,candidate_alias,engineered_feature,source_component,transform,weight,q25,q50,q75,component_status,threshold_source
run267cr_01_s264_aih_state_phase_repl,run267cr_q01_pool_monday_state_phase_replacement,s264_aih,stage267cr_state_phase_monday_replacement_score,stage267cn_shared_weakness_state_interaction_score,raw,0.22,0.293518842901,0.469098491782,0.666551805122,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cr_01_s264_aih_state_phase_repl,run267cr_q01_pool_monday_state_phase_replacement,s264_aih,stage267cr_state_phase_monday_replacement_score,stage267cf_volatility_energy_transition_score,raw,0.16,0.263605897379,0.48672353015,0.691140165766,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cr_01_s264_aih_state_phase_repl,run267cr_q01_pool_monday_state_phase_replacement,s264_aih,stage267cr_state_phase_monday_replacement_score,atr_14_over_atr_50,abs_center_1,0.15,0.116342961785,0.27963316441,0.477563142775,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cr_01_s264_aih_state_phase_repl,run267cr_q01_pool_monday_state_phase_replacement,s264_aih,stage267cr_state_phase_monday_replacement_score,historical_vol_5_over_20,abs_center_1,0.14,0.134632021186,0.28647732735,0.456689119339,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cr_01_s264_aih_state_phase_repl,run267cr_q01_pool_monday_state_phase_replacement,s264_aih,stage267cr_state_phase_monday_replacement_score,di_spread_14,abs,0.12,4.60752820969,9.9041633606,17.0810461044,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cr_01_s264_aih_state_phase_repl,run267cr_q01_pool_monday_state_phase_replacement,s264_aih,stage267cr_state_phase_monday_replacement_score,bb_position_20,abs_center_0_5,0.09,0.148229032755,0.284953594208,0.412794105709,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cr_01_s264_aih_state_phase_repl,run267cr_q01_pool_monday_state_phase_replacement,s264_aih,stage267cr_state_phase_monday_replacement_score,return_zscore_20,abs,0.05,0.310194760561,0.676886975765,1.18894177675,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cr_01_s264_aih_state_phase_repl,run267cr_q01_pool_monday_state_phase_replacement,s264_aih,stage267cr_state_phase_monday_replacement_score,log_return_1_negative_rolling_24,rolling_negative_state_pressure,0.07,0.416666666667,0.5,0.583333333333,ok,closed_bar_history_no_future_trade_result
run267cr_02_s264_lc_state_phase_repl,run267cr_q01_pool_monday_state_phase_replacement,s264_lc,stage267cr_state_phase_monday_replacement_score,stage267cn_shared_weakness_state_interaction_score,raw,0.22,0.293518842901,0.469098491782,0.666551805122,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cr_02_s264_lc_state_phase_repl,run267cr_q01_pool_monday_state_phase_replacement,s264_lc,stage267cr_state_phase_monday_replacement_score,stage267cf_volatility_energy_transition_score,raw,0.16,0.263605897379,0.48672353015,0.691140165766,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
