label_name,surface_family,side,entry_mode,fill_order,hold_bars,tp_price_units,sl_price_units,tp_broker_points,sl_broker_points,label_mode,utility_quantile,train_valid_rows,train_positive_rows,train_positive_rate,validation_valid_rows,oos_valid_rows
mt5_native_cost_shape_guard_long_same_bar_open_h8_tp10_sl6_pessimistic_cost_shape_guard_q62,mt5_native_cost_shape_guard,long,same_bar_open,pessimistic,8,10.0,6.0,1000.0,600.0,cost_shape_guard,0.62,29222,7155,0.2448497707206899,9844,7584
mt5_native_cost_shape_guard_short_same_bar_open_h8_tp10_sl6_pessimistic_cost_shape_guard_q62,mt5_native_cost_shape_guard,short,same_bar_open,pessimistic,8,10.0,6.0,1000.0,600.0,cost_shape_guard,0.62,29222,6928,0.23708165081103277,9844,7584
order_intent_exit_efficiency_long_same_bar_open_h14_tp18_sl8_close_direction_exit_efficiency_q64,order_intent_exit_efficiency,long,same_bar_open,close_direction,14,18.0,8.0,1800.0,800.0,exit_efficiency,0.64,29222,8627,0.2952227773595236,9844,7584
order_intent_exit_efficiency_short_same_bar_open_h14_tp18_sl8_close_direction_exit_efficiency_q64,order_intent_exit_efficiency,short,same_bar_open,close_direction,14,18.0,8.0,1800.0,800.0,exit_efficiency,0.64,29222,8442,0.2888919307371159,9844,7584
spread_tail_cost_budget_long_next_bar_open_control_h10_tp14_sl8_pessimistic_spread_tail_budget_q66,spread_tail_cost_budget,long,next_bar_open_control,pessimistic,10,14.0,8.0,1400.0,800.0,spread_tail_budget,0.66,29222,7655,0.26196016699746766,9844,7584
spread_tail_cost_budget_short_next_bar_open_control_h10_tp14_sl8_pessimistic_spread_tail_budget_q66,spread_tail_cost_budget,short,next_bar_open_control,pessimistic,10,14.0,8.0,1400.0,800.0,spread_tail_budget,0.66,29222,7343,0.2512832797207583,9844,7584
intent_cost_asymmetry_long_same_bar_open_h20_tp24_sl10_close_direction_intent_cost_asymmetry_q60,intent_cost_asymmetry,long,same_bar_open,close_direction,20,24.0,10.0,2400.0,1000.0,intent_cost_asymmetry,0.6,29222,6398,0.21894463075764833,9844,7584
intent_cost_asymmetry_short_same_bar_open_h20_tp24_sl10_close_direction_intent_cost_asymmetry_q60,intent_cost_asymmetry,short,same_bar_open,close_direction,20,24.0,10.0,2400.0,1000.0,intent_cost_asymmetry,0.6,29222,6063,0.20748066525220724,9844,7584
smooth_density_cost_shape_long_next_bar_open_control_h18_tp20_sl10_close_direction_smooth_density_cost_shape_q57,smooth_density_cost_shape,long,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,smooth_density_cost_shape,0.58,29222,6691,0.2289713229758401,9844,7584
smooth_density_cost_shape_short_next_bar_open_control_h18_tp20_sl10_close_direction_smooth_density_cost_shape_q57,smooth_density_cost_shape,short,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,smooth_density_cost_shape,0.58,29222,7040,0.240914379577031,9844,7584
