split,candidate_id,source_candidate_id,proxy_net_profit,runtime_net_profit,net_runtime_minus_proxy,proxy_profit_factor,runtime_profit_factor,pf_runtime_minus_proxy,proxy_drawdown_percent,runtime_drawdown_percent,dd_runtime_minus_proxy,proxy_trade_count,runtime_trade_count,expected_signal_count,runtime_signal_count,signal_count_diff,feature_ready_diff,expected_selected_trade_count,order_fill_count,order_fill_rate,proxy_win_rate,runtime_win_rate,win_rate_runtime_minus_proxy,runtime_average_win,runtime_average_loss,runtime_payoff_ratio,runtime_expectancy,runtime_trades_per_day,runtime_gap_class
validation,f81c_runtime_f81b_01107,f81b_01107,131.06586098693595,-147.02,-278.0858609869359,1.4029339093155304,0.68,-0.7229339093155304,4.084192734768612,30.98,26.89580726523139,705.0,697.0,705.0,705.0,0.0,0.0,705.0,697.0,0.9928774928774928,0.4340425531914894,0.24100000000000002,-0.19304255319148936,1.8843452380952381,-0.876351606805293,2.150215990319854,-0.21,2.5625,order_fill_gap_after_signal_parity
oos,f81c_runtime_f81b_01107,f81b_01107,120.89973397988815,-115.71,-236.60973397988815,1.396125563144892,0.73,-0.6661255631448919,2.050967333359029,23.72,21.66903266664097,670.0,670.0,670.0,670.0,0.0,0.0,670.0,670.0,1.0,0.4164179104477612,0.25370000000000004,-0.16271791044776118,1.8713529411764707,-0.8676799999999999,2.156731676627871,-0.17,3.4358974358974357,runtime_economics_gap_after_signal_and_feature_parity
