label_name,surface_family,side,entry_mode,fill_order,hold_bars,tp_price_units,sl_price_units,tp_broker_points,sl_broker_points,label_mode,utility_quantile,train_valid_rows,train_positive_rows,train_positive_rate,validation_valid_rows,oos_valid_rows
density_supply_first_long_same_bar_open_h8_tp9_sl6_pessimistic_density_supply_q50,density_supply_first,long,same_bar_open,pessimistic,8,9.0,6.0,900.0,600.0,density_supply,0.5,29222,8356,0.2859489425775101,9844,7584
density_supply_first_long_next_bar_open_control_h8_tp9_sl6_close_direction_density_supply_q50,density_supply_first,long,next_bar_open_control,close_direction,8,9.0,6.0,900.0,600.0,density_supply,0.5,29222,11701,0.40041749366915336,9844,7584
density_supply_first_short_same_bar_open_h8_tp9_sl6_pessimistic_density_supply_q50,density_supply_first,short,same_bar_open,pessimistic,8,9.0,6.0,900.0,600.0,density_supply,0.5,29222,8124,0.27800971870508523,9844,7584
density_supply_first_short_next_bar_open_control_h8_tp9_sl6_close_direction_density_supply_q50,density_supply_first,short,next_bar_open_control,close_direction,8,9.0,6.0,900.0,600.0,density_supply,0.5,29222,11540,0.3949079460680309,9844,7584
density_supply_first_long_same_bar_open_h12_tp13_sl8_pessimistic_density_supply_q52,density_supply_first,long,same_bar_open,pessimistic,12,13.0,8.0,1300.0,800.0,density_supply,0.52,29222,9164,0.31359934296078296,9844,7584
density_supply_first_long_next_bar_open_control_h12_tp13_sl8_close_direction_density_supply_q52,density_supply_first,long,next_bar_open_control,close_direction,12,13.0,8.0,1300.0,800.0,density_supply,0.52,29222,10864,0.3717746903018274,9844,7584
density_supply_first_short_same_bar_open_h12_tp13_sl8_pessimistic_density_supply_q52,density_supply_first,short,same_bar_open,pessimistic,12,13.0,8.0,1300.0,800.0,density_supply,0.52,29222,8932,0.3056601190883581,9844,7584
density_supply_first_short_next_bar_open_control_h12_tp13_sl8_close_direction_density_supply_q52,density_supply_first,short,next_bar_open_control,close_direction,12,13.0,8.0,1300.0,800.0,density_supply,0.52,29222,10735,0.3673602080624187,9844,7584
runtime_economic_balance_long_same_bar_open_h10_tp12_sl7_pessimistic_economic_balance_q54,runtime_economic_balance,long,same_bar_open,pessimistic,10,12.0,7.0,1200.0,700.0,economic_balance,0.54,29222,6991,0.23923756074190677,9844,7584
runtime_economic_balance_long_next_bar_open_control_h10_tp12_sl7_close_direction_economic_balance_q54,runtime_economic_balance,long,next_bar_open_control,close_direction,10,12.0,7.0,1200.0,700.0,economic_balance,0.54,29222,8831,0.30220381904044896,9844,7584
runtime_economic_balance_short_same_bar_open_h10_tp12_sl7_pessimistic_economic_balance_q54,runtime_economic_balance,short,same_bar_open,pessimistic,10,12.0,7.0,1200.0,700.0,economic_balance,0.54,29222,6769,0.23164054479501744,9844,7584
runtime_economic_balance_short_next_bar_open_control_h10_tp12_sl7_close_direction_economic_balance_q54,runtime_economic_balance,short,next_bar_open_control,close_direction,10,12.0,7.0,1200.0,700.0,economic_balance,0.54,29222,8731,0.2987817397850934,9844,7584
side_session_release_long_same_bar_open_h12_tp15_sl9_pessimistic_session_release_q52,side_session_release,long,same_bar_open,pessimistic,12,15.0,9.0,1500.0,900.0,session_release,0.52,29222,7537,0.25792211347614813,9844,7584
side_session_release_long_next_bar_open_control_h12_tp15_sl9_close_direction_session_release_q52,side_session_release,long,next_bar_open_control,close_direction,12,15.0,9.0,1500.0,900.0,session_release,0.52,29222,8676,0.29689959619464784,9844,7584
side_session_release_short_same_bar_open_h12_tp15_sl9_pessimistic_session_release_q52,side_session_release,short,same_bar_open,pessimistic,12,15.0,9.0,1500.0,900.0,session_release,0.52,29222,7385,0.25272055300800766,9844,7584
side_session_release_short_next_bar_open_control_h12_tp15_sl9_close_direction_session_release_q52,side_session_release,short,next_bar_open_control,close_direction,12,15.0,9.0,1500.0,900.0,session_release,0.52,29222,8579,0.29358017931695296,9844,7584
smooth_trade_supply_long_same_bar_open_h18_tp20_sl10_pessimistic_smooth_supply_q50,smooth_trade_supply,long,same_bar_open,pessimistic,18,20.0,10.0,2000.0,1000.0,smooth_supply,0.5,29222,7382,0.252617890630347,9844,7584
smooth_trade_supply_long_next_bar_open_control_h18_tp20_sl10_close_direction_smooth_supply_q50,smooth_trade_supply,long,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,smooth_supply,0.5,29222,8119,0.2778386147423174,9844,7584
smooth_trade_supply_short_same_bar_open_h18_tp20_sl10_pessimistic_smooth_supply_q50,smooth_trade_supply,short,same_bar_open,pessimistic,18,20.0,10.0,2000.0,1000.0,smooth_supply,0.5,29222,6508,0.22270891793853945,9844,7584
smooth_trade_supply_short_next_bar_open_control_h18_tp20_sl10_close_direction_smooth_supply_q50,smooth_trade_supply,short,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,smooth_supply,0.5,29222,8284,0.2834850455136541,9844,7584
