candidate_id,surface_family,label_name,side,entry_mode,fill_order,hold_bars,tp_price_units,sl_price_units,tp_broker_points,sl_broker_points,label_mode,utility_quantile,feature_set,feature_count,model,prob_quantile,prob_threshold,regime,risk_filter,cooldown_bars,contract_pnl_scale,initial_balance,raw_signal_total_diagnostic_only,lifecycle_trade_total,overall_signal_to_trade_ratio_diagnostic_only,scout_clue,materialization_candidate,meaningful_signal,final_like_reference,dual_positive,density_beats_f81g_seed,rank_score,signal_count_claim_boundary,validation_raw_signal_count,validation_lifecycle_trade_count,validation_signal_to_trade_ratio,oos_raw_signal_count,oos_lifecycle_trade_count,oos_signal_to_trade_ratio,val_net,val_gross_profit,val_gross_loss,val_pf,val_dd_pct,val_trade_count,val_calendar_days,val_calendar_trades_day,val_active_days,val_active_trades_day,val_win_rate,val_avg_win,val_avg_loss,val_payoff,val_expectancy,val_recovery,val_avg_hold_bars,val_avg_mae_contract,val_avg_spread_cost_contract,val_max_consecutive_loss,val_time_under_water_trades,val_smooth_equity_proxy,oos_net,oos_gross_profit,oos_gross_loss,oos_pf,oos_dd_pct,oos_trade_count,oos_calendar_days,oos_calendar_trades_day,oos_active_days,oos_active_trades_day,oos_win_rate,oos_avg_win,oos_avg_loss,oos_payoff,oos_expectancy,oos_recovery,oos_avg_hold_bars,oos_avg_mae_contract,oos_avg_spread_cost_contract,oos_max_consecutive_loss,oos_time_under_water_trades,oos_smooth_equity_proxy
f82b_07295,side_session_release,side_session_release_long_next_bar_open_control_h12_tp15_sl9_close_direction_session_release_q52,long,next_bar_open_control,close_direction,12,15.0,9.0,1500.0,900.0,session_release,0.52,trend_density,28,extra_trees_d7_l120,0.68,0.5042268222729477,all,intent_release,0,0.08870965974736267,500.0,3350,3318,0.9904477611940299,1,1,1,0,1,1,2654678.5381020806,diagnostic_only_not_economics,2004,1978,0.9870259481037924,1346,1340,0.9955423476968797,234.95374351707255,1164.1617035693694,-929.207960052297,1.2528537782907594,3.9147572846512957,1978,271,7.2988929889298895,135,14.651851851851852,0.48028311425682507,1.2254333721782835,-0.9038987938251917,1.3557196674556848,0.11878349015018835,12.003489689553048,1.0222446916076846,8.582188674881227,0.10536761167858757,9,178,0,190.97504260071986,802.8037916850853,-611.8287490843652,1.312138066226088,2.4483866090271933,1340,194,6.907216494845361,103,13.009708737864077,0.4761194029850746,1.2583131531114191,-0.8715509246216029,1.443763201396103,0.1425186885079999,15.600072463768225,1.0059701492537314,8.259646525020832,0.07276773947589818,8,114,1
f82b_07319,side_session_release,side_session_release_long_next_bar_open_control_h12_tp15_sl9_close_direction_session_release_q52,long,next_bar_open_control,close_direction,12,15.0,9.0,1500.0,900.0,session_release,0.52,trend_density,28,extra_trees_d7_l120,0.68,0.5042268222729477,trend,intent_release,0,0.08870965974736267,500.0,2700,2668,0.9881481481481481,1,1,1,0,1,1,2653939.812352163,diagnostic_only_not_economics,1546,1520,0.9831824062095731,1154,1148,0.9948006932409013,191.22431674461004,900.743691529161,-709.519374784551,1.2695124665238016,4.063789513026836,1520,271,5.608856088560886,130,11.692307692307692,0.48355263157894735,1.2255016211281102,-0.9038463373051605,1.3558738588043324,0.1258054715425066,9.411132940405677,1.0289473684210526,7.360336765908801,0.10530653674667513,11,169,0,152.758921181556,681.182848171451,-528.4239269898949,1.2890840353345268,2.299354380651653,1148,194,5.917525773195877,97,11.835051546391753,0.4712543554006969,1.2591180188012034,-0.8705501268367296,1.4463475220851345,0.13306526235327176,13.287114197530792,1.0069686411149825,8.456782273386732,0.07186332444986918,8,173,1
f82b_09485,smooth_trade_supply,smooth_trade_supply_long_next_bar_open_control_h18_tp20_sl10_close_direction_smooth_supply_q50,long,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,smooth_supply,0.5,trend_density,28,histgbm_density_shallow,0.58,0.2955100560182935,all,intent_release,0,0.08870965974736267,500.0,4493,4287,0.9541509014021812,1,1,1,0,1,1,2653255.812358666,diagnostic_only_not_economics,2612,2460,0.9418070444104135,1881,1827,0.9712918660287081,371.0042002852126,1763.909084092742,-1392.9048838075291,1.26635286055647,7.906691973281932,2460,271,9.07749077490775,146,16.84931506849315,0.4296747967479675,1.6687881590281382,-0.9928046213881176,1.6808827467934981,0.15081471556309456,9.384561875912189,1.1004065040650406,9.618475398338806,0.10557783760916095,13,210,0,307.7817128798646,1318.0117535658183,-1010.2300406859532,1.304664977761777,4.130321757837192,1827,194,9.417525773195877,110,16.60909090909091,0.4236453201970443,1.7028575627465352,-0.9593827546875149,1.7749511906759061,0.16846289703331396,14.903522336769807,1.0459770114942528,9.04972249402817,0.07188347174032868,8,253,1
f82b_09425,smooth_trade_supply,smooth_trade_supply_long_next_bar_open_control_h18_tp20_sl10_close_direction_smooth_supply_q50,long,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,smooth_supply,0.5,trend_density,28,extra_trees_d7_l120,0.58,0.5038995858360106,all,intent_release,0,0.08870965974736267,500.0,4082,3930,0.9627633512983832,1,1,1,0,1,1,2651890.7795297503,diagnostic_only_not_economics,2345,2225,0.9488272921108742,1737,1705,0.9815774323546345,372.91234506637835,1618.7605646209124,-1245.8482195545334,1.299324058270692,5.664111774868707,2225,271,8.210332103321033,142,15.669014084507042,0.43595505617977526,1.6688253243514561,-0.9927077446649669,1.6810842197213591,0.16760105396241723,13.1675489428357,1.0808988764044944,9.76758819553881,0.10550508952946333,11,181,0,360.6588797654751,1276.4601489401534,-915.801269174678,1.3938178422601466,3.4383864118078464,1705,194,8.788659793814434,108,15.787037037037036,0.4398826979472141,1.7019468652535379,-0.9589542085598723,1.7747947191445865,0.21153013475980945,20.97837977296139,1.0375366568914957,9.268691181665044,0.07202860167604186,10,146,0
f82b_09443,smooth_trade_supply,smooth_trade_supply_long_next_bar_open_control_h18_tp20_sl10_close_direction_smooth_supply_q50,long,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,smooth_supply,0.5,trend_density,28,extra_trees_d7_l120,0.58,0.5038995858360106,high_vol,intent_release,0,0.08870965974736267,500.0,3996,3848,0.9629629629629629,1,1,1,0,1,1,2651874.02547576,diagnostic_only_not_economics,2300,2183,0.9491304347826087,1696,1665,0.9817216981132075,361.28162157690167,1585.3720228852,-1224.090401308298,1.295142925057469,5.46540213703463,2183,271,8.055350553505535,142,15.373239436619718,0.4351809436555199,1.6688126556686316,-0.9927740481008094,1.680959185890378,0.16549776526656054,13.220678461289683,1.0801649106733853,9.876822172035121,0.1055482404663341,11,178,0,350.95404298911365,1245.695638939768,-894.7415959506541,1.3922406699067442,3.7825798916275972,1665,194,8.582474226804123,108,15.416666666666666,0.43963963963963965,1.7017699985515957,-0.9589942078785145,1.7745362636926125,0.21078320900247066,18.556332082551336,1.0348348348348348,9.321232232030162,0.07212867884046971,10,145,0
f82b_09455,smooth_trade_supply,smooth_trade_supply_long_next_bar_open_control_h18_tp20_sl10_close_direction_smooth_supply_q50,long,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,smooth_supply,0.5,trend_density,28,extra_trees_d7_l120,0.68,0.5107546925381701,all,intent_release,0,0.08870965974736267,500.0,3386,3294,0.9728292971057295,1,1,1,0,1,1,2651130.6665914953,diagnostic_only_not_economics,1942,1868,0.9618949536560247,1444,1426,0.9875346260387812,362.9458147937621,1390.2906101347746,-1027.344795341012,1.3532853005531489,5.919595594941074,1868,271,6.892988929889299,136,13.735294117647058,0.44593147751605994,1.6690163386972083,-0.9926036669961469,1.6814529244567935,0.1942964747289947,12.262520605425749,1.0610278372591007,10.011128246739293,0.10535981703003011,13,179,0,316.2153402320464,1077.147285419779,-760.9319451877324,1.4155632343100435,2.419999517908059,1426,194,7.350515463917525,106,13.452830188679245,0.4438990182328191,1.7016544793361439,-0.9595610910311884,1.7733675273425977,0.22174988796076187,26.13350439882692,1.023141654978962,9.534028379406266,0.07249744065426295,9,71,0
f82b_09473,smooth_trade_supply,smooth_trade_supply_long_next_bar_open_control_h18_tp20_sl10_close_direction_smooth_supply_q50,long,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,smooth_supply,0.5,trend_density,28,extra_trees_d7_l120,0.68,0.5107546925381701,high_vol,intent_release,0,0.08870965974736267,500.0,3318,3230,0.9734779987944545,1,1,1,0,1,1,2651079.3316965834,diagnostic_only_not_economics,1905,1834,0.9627296587926509,1413,1396,0.9879688605803255,351.3505751681844,1361.9052932088134,-1010.5547180406286,1.347680901286989,5.720885957106998,1834,271,6.767527675276753,136,13.485294117647058,0.44492911668484186,1.6690015848147224,-0.9926863634976705,1.6812979871447977,0.19157610423565125,12.283082648473533,1.059978189749182,10.118027410621385,0.10541261487493041,13,176,0,304.98469730803026,1051.5456776166902,-746.5609803086596,1.4085194717542526,2.7641929977278554,1396,194,7.195876288659794,106,13.169811320754716,0.44269340974212035,1.7015302226807285,-0.959589948982853,1.7731847071598843,0.21847041354443428,22.066816431321925,1.0229226361031518,9.586988281028757,0.07256844150063801,9,68,0
f82b_09605,smooth_trade_supply,smooth_trade_supply_long_next_bar_open_control_h18_tp20_sl10_close_direction_smooth_supply_q50,long,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,smooth_supply,0.5,compact_exportable_30,30,extra_trees_d7_l120,0.58,0.5132386329224806,all,intent_release,0,0.08870965974736267,500.0,4591,4354,0.9483772598562404,1,1,1,0,1,1,2651000.2130858037,diagnostic_only_not_economics,2595,2428,0.935645472061657,1996,1926,0.9649298597194389,371.19137766727954,1744.0026364454338,-1372.8112587781538,1.2703877720216632,6.387982598407143,2428,271,8.959409594095941,140,17.34285714285714,0.43039538714991765,1.6689020444453913,-0.9926328696877468,1.6812883145511581,0.15287948009360772,11.621552562144952,1.0951400329489291,9.796366292591252,0.10543077295987417,13,185,0,355.414364681211,1408.2649613927852,-1052.8505967115739,1.3375734086026037,3.5306444579450953,1926,194,9.927835051546392,110,17.509090909090908,0.42938733125649015,1.7028596872947825,-0.9580078223035249,1.7775008174779463,0.18453497646999534,20.133115577889097,1.0498442367601246,9.090744387055425,0.07109254772411824,10,145,0
f82b_09623,smooth_trade_supply,smooth_trade_supply_long_next_bar_open_control_h18_tp20_sl10_close_direction_smooth_supply_q50,long,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,smooth_supply,0.5,compact_exportable_30,30,extra_trees_d7_l120,0.58,0.5132386329224806,high_vol,intent_release,0,0.08870965974736267,500.0,4490,4260,0.9487750556792873,1,1,1,0,1,1,2650876.617069367,diagnostic_only_not_economics,2546,2385,0.9367635506677141,1944,1875,0.9645061728395061,360.55420236697324,1710.6140947097217,-1350.0598923427478,1.2670653386653143,6.20346650613269,2385,271,8.800738007380074,140,17.035714285714285,0.429769392033543,1.6688917997168016,-0.992691097310844,1.6811793761803195,0.15117576619160303,11.624281424282138,1.0935010482180294,9.901726099416516,0.10546853244856567,13,168,0,340.245012864412,1367.334324385352,-1027.0893115209396,1.3312711066582603,3.874837937764846,1875,194,9.664948453608247,109,17.201834862385322,0.4282666666666667,1.702782471214635,-0.9581057010456526,1.7772386380294585,0.18146400686101974,17.561767399267193,1.0469333333333333,9.147111339079748,0.07118110409946911,10,142,0
f82b_09635,smooth_trade_supply,smooth_trade_supply_long_next_bar_open_control_h18_tp20_sl10_close_direction_smooth_supply_q50,long,next_bar_open_control,close_direction,18,20.0,10.0,2000.0,1000.0,smooth_supply,0.5,compact_exportable_30,30,extra_trees_d7_l120,0.68,0.5234312462778549,all,intent_release,0,0.08870965974736267,500.0,3802,3647,0.9592319831667543,1,1,1,0,1,1,2650816.5887158774,diagnostic_only_not_economics,2098,1994,0.9504289799809342,1704,1653,0.9700704225352113,320.5975974235661,1442.1742288312148,-1121.5766314076482,1.28584546828619,5.600240819850614,1994,271,7.357933579335794,128,15.578125,0.43329989969909727,1.6691831352213133,-0.9925456915111931,1.6817191888465215,0.16078114213819766,11.44942182797482,1.0752256770310933,10.14732224973652,0.10525886051437441,11,166,0,301.53211735066293,1206.006937168798,-904.4748198181348,1.3333781225786838,4.155160462566505,1653,194,8.52061855670103,104,15.89423076923077,0.4283121597096189,1.7033996287694888,-0.9571162114477617,1.7797207992045994,0.18241507401733995,14.513620836891413,1.042347247428917,9.308677038330478,0.07035110711398376,10,146,0
