candidate_id,model,threshold_source,prob_threshold,exportability,train_label_source,validation_trade_count,validation_trades_per_day,validation_net_profit,validation_profit_factor,validation_drawdown_percent,validation_win_rate,validation_avg_win,validation_avg_loss,validation_payoff_ratio,validation_expectancy,validation_time_under_water_trades,validation_max_consecutive_loss,oos_trade_count,oos_trades_per_day,oos_net_profit,oos_profit_factor,oos_drawdown_percent,oos_win_rate,oos_avg_win,oos_avg_loss,oos_payoff_ratio,oos_expectancy,oos_time_under_water_trades,oos_max_consecutive_loss,long_short_breakdown,positive_low_density_seed,materialization_candidate,final_like_reference,rank_score
f82g_0005,histgbm_realized_label_diagnostic,validation_probability_quantile_0.8,0.37417392415287676,not_exportable_current_path_or_not_attempted(현재 경로 내보내기 불가 또는 미시도),validation_mt5_realized_trade_pnl(검증 MT5 실현 거래 손익),393,1.4448529411764706,356.4,4.416083580945077,0.792450767857473,0.7379134860050891,1.5887241379310344,-1.0129126213592234,1.5684710649563551,0.9068702290076335,130,5,215,1.1025641025641026,25.24,1.2095475300954754,2.6656907875730034,0.4325581395348837,1.5665591397849463,-0.987295081967213,1.5867182652865377,0.1173953488372093,188,9,validation_long=393;oos_long=215;short=0,True,False,False,79541.97845133817
f82g_0006,histgbm_realized_label_diagnostic,validation_probability_quantile_0.85,0.39043628229420785,not_exportable_current_path_or_not_attempted(현재 경로 내보내기 불가 또는 미시도),validation_mt5_realized_trade_pnl(검증 MT5 실현 거래 손익),295,1.0845588235294117,312.15,6.115535889872173,0.6340183646698727,0.7932203389830509,1.5947435897435898,-1.000327868852459,1.5942208943683869,1.058135593220339,73,4,144,0.7384615384615385,20.0,1.2495944090852364,2.36063263388664,0.4444444444444444,1.56453125,-1.001625,1.5619930113565457,0.1388888888888889,124,9,validation_long=295;oos_long=144;short=0,True,False,False,78733.53114569657
f82g_0007,histgbm_realized_label_diagnostic,validation_probability_quantile_0.9,0.4089074145373987,not_exportable_current_path_or_not_attempted(현재 경로 내보내기 불가 또는 미시도),validation_mt5_realized_trade_pnl(검증 MT5 실현 거래 손익),197,0.7242647058823529,250.22000000000003,10.653549382716049,0.3905427085190117,0.8730964467005076,1.6054651162790696,-1.0368,1.5484810149296584,1.2701522842639594,27,2,80,0.41025641025641024,16.009999999999998,1.3784869976359342,1.3595575152781283,0.4625,1.575945945945946,-0.9837209302325579,1.6020254296850045,0.20012499999999997,64,7,validation_long=197;oos_long=80;short=0,True,False,False,78243.53124610812
f82g_0008,histgbm_realized_label_diagnostic,validation_probability_quantile_0.95,0.44180645764674953,not_exportable_current_path_or_not_attempted(현재 경로 내보내기 불가 또는 미시도),validation_mt5_realized_trade_pnl(검증 MT5 실현 거래 손익),99,0.3639705882352941,137.23000000000002,18.638817480719798,0.1985120229238193,0.9191919191919192,1.5935164835164837,-0.9725,1.6385773609423997,1.3861616161616164,8,1,25,0.1282051282051282,5.88,1.4437735849056605,0.7613814756671892,0.48,1.5941666666666665,-1.0192307692307692,1.5640880503144654,0.2352,18,4,validation_long=99;oos_long=25;short=0,True,False,False,77080.63543733895
f82g_0015,extra_trees_exportable_proxy,validation_probability_quantile_0.9,0.5141197565915322,exportable_current_path(현재 경로 내보내기 가능),validation_mt5_realized_trade_pnl(검증 MT5 실현 거래 손익),197,0.7242647058823529,72.64999999999999,1.7889021609295255,1.2297886132017777,0.5228426395939086,1.5994174757281552,-0.9796808510638296,1.632590321625004,0.3687817258883248,130,7,79,0.40512820512820513,7.0699999999999985,1.1580948121645798,2.430575826570969,0.4177215189873418,1.5693939393939393,-0.9721739130434781,1.6143139805930506,0.08949367088607593,69,9,validation_long=197;oos_long=79;short=0,True,False,False,77017.03722950748
f82g_0016,extra_trees_exportable_proxy,validation_probability_quantile_0.95,0.5211572474930325,exportable_current_path(현재 경로 내보내기 가능),validation_mt5_realized_trade_pnl(검증 MT5 실현 거래 손익),99,0.3639705882352941,50.58,2.2394021073266357,0.8985562310030217,0.5757575757575758,1.6033333333333333,-0.9716666666666667,1.6500857632933104,0.5109090909090909,55,5,12,0.06153846153846154,3.3600000000000003,1.5419354838709676,0.4379999999999996,0.5,1.593333333333333,-1.0333333333333334,1.5419354838709673,0.28,7,2,validation_long=99;oos_long=12;short=0,True,False,False,76894.13548387097
f82g_0023,logreg_balanced_diagnostic,validation_probability_quantile_0.9,0.5669015588571528,not_exportable_current_path_or_not_attempted(현재 경로 내보내기 불가 또는 미시도),validation_mt5_realized_trade_pnl(검증 MT5 실현 거래 손익),197,0.7242647058823529,25.699999999999992,1.2288309144332648,2.829473524618099,0.43147208121827413,1.623647058823529,-1.002767857142857,1.6191654401944195,0.13045685279187813,167,6,92,0.4717948717948718,6.009999999999998,1.1088768115942031,2.941863180014011,0.42391304347826086,1.5694871794871796,-1.0415094339622641,1.5069351542177631,0.06532608695652171,77,8,validation_long=197;oos_long=92;short=0,True,False,False,76875.6904935928
f82g_0024,logreg_balanced_diagnostic,validation_probability_quantile_0.95,0.5949379553184304,not_exportable_current_path_or_not_attempted(현재 경로 내보내기 불가 또는 미시도),validation_mt5_realized_trade_pnl(검증 MT5 실현 거래 손익),99,0.3639705882352941,22.54,1.4296606938619902,1.254366465544639,0.46464646464646464,1.630434782608696,-0.989811320754717,1.6472177559714236,0.22767676767676767,75,6,45,0.23076923076923078,2.980000000000002,1.1115687008611006,2.0145091462225713,0.4222222222222222,1.5626315789473684,-1.0273076923076923,1.521094011704664,0.06622222222222227,34,6,validation_long=99;oos_long=45;short=0,True,False,False,76433.11778623884
f82g_0009,extra_trees_exportable_proxy,validation_probability_quantile_0.4,0.49540469492729095,exportable_current_path(현재 경로 내보내기 가능),validation_mt5_realized_trade_pnl(검증 MT5 실현 거래 손익),1177,4.327205882352941,13.3,1.018717104337302,9.530286543344074,0.39082412914188613,1.5736521739130436,-0.9910460251046024,1.5878699213257514,0.011299915038232796,1126,16,778,3.98974358974359,12.52000000000001,1.026799666074448,14.408170357356898,0.39203084832904883,1.5727540983606556,-0.9876744186046512,1.5923811214859473,0.016092544987146542,756,11,validation_long=1177;oos_long=778;short=0,False,False,False,4727.98263033876
f82g_0001,histgbm_realized_label_diagnostic,validation_probability_quantile_0.4,0.3115734206979034,not_exportable_current_path_or_not_attempted(현재 경로 내보내기 불가 또는 미시도),validation_mt5_realized_trade_pnl(검증 MT5 실현 거래 손익),1177,4.327205882352941,243.61,1.396094499455311,3.1842635169656806,0.46304163126593034,1.57548623853211,-0.9731487341772151,1.61895729111148,0.20697536108751063,960,14,797,4.087179487179487,-4.420000000000005,0.9908405172413794,12.90050266682043,0.38268506900878296,1.567672131147541,-0.9808130081300812,1.5983394573205203,-0.005545796737766631,776,12,validation_long=1177;oos_long=797;short=0,False,False,False,3243.7902505593356
