split,candidate_id,source_candidate_id,proxy_net_profit,runtime_net_profit,net_runtime_minus_proxy,proxy_profit_factor,runtime_profit_factor,pf_runtime_minus_proxy,proxy_drawdown_percent,runtime_drawdown_percent,dd_runtime_minus_proxy,proxy_trade_count,runtime_trade_count,expected_signal_count,runtime_signal_count,signal_count_diff,feature_ready_diff,expected_selected_trade_count,order_fill_count,order_fill_rate,proxy_win_rate,runtime_win_rate,win_rate_runtime_minus_proxy,runtime_average_win,runtime_average_loss,runtime_payoff_ratio,runtime_expectancy,runtime_recovery_factor,runtime_trades_per_day,runtime_gross_profit,runtime_gross_loss,runtime_gap_class,report_path
validation,f82c_runtime_f82b_07295,f82b_07295,234.95374351707255,-278.98,-513.9337435170726,1.2528537782907594,0.78,-0.47285377829075936,3.9147572846512957,57.0,53.085242715348706,1978.0,1963.0,1978.0,1978.0,0.0,0.0,1978.0,1963.0,0.9944275582573455,0.48028311425682507,0.3281,-0.15218311425682507,1.5737267080745343,-0.9798786959818044,1.6060423749673574,-0.14,-0.98,7.216911764705882,1013.48,-1292.46,order_fill_gap_after_signal_parity,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/stage_frontier_82__density_first_runtime_economic_mechanism_rotation/02_runs/frontier82C_mt5_runtime_materialization_v1/mt5/reports/Project_Obsidian_Prime_v2_frontier82C_mt5_runtime_materialization_v1_f82c_runtime_materialization_validation.htm
oos,f82c_runtime_f82b_07295,f82b_07295,190.97504260071986,-55.21,-246.18504260071987,1.312138066226088,0.93,-0.3821380662260879,2.4483866090271933,20.36,17.911613390972807,1340.0,1338.0,1340.0,1340.0,0.0,0.0,1340.0,1338.0,0.9992531740104555,0.4761194029850746,0.3677,-0.10841940298507458,1.5699796747967478,-0.9782978723404255,1.6048074100793204,-0.04,-0.52,6.861538461538461,772.43,-827.64,order_fill_gap_after_signal_parity,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/stage_frontier_82__density_first_runtime_economic_mechanism_rotation/02_runs/frontier82C_mt5_runtime_materialization_v1/mt5/reports/Project_Obsidian_Prime_v2_frontier82C_mt5_runtime_materialization_v1_f82c_runtime_materialization_oos.htm
