axis,value,candidate_rows,scout_clue_count,materialization_candidate_count,meaningful_signal_count,density_beats_f81g_seed_count,best_candidate,best_rank_score,best_oos_net_pf_dd_tpd
surface_family,density_supply_first,4320,182,14,0,2551,f82b_00890,1084468.3439562058,34.938299491498796/1.2353380538376504/1.7032254671493774/2.5670103092783507
surface_family,runtime_economic_balance,2160,422,152,24,1408,f82b_04973,2648280.7380392076,189.11746232561006/1.2629017141447771/4.165805621736138/10.06701030927835
surface_family,side_session_release,2160,605,241,44,1529,f82b_07295,2654678.5381020806,190.97504260071986/1.312138066226088/2.4483866090271933/6.907216494845361
surface_family,smooth_trade_supply,2160,710,310,92,1648,f82b_09485,2653255.812358666,307.7817128798646/1.304664977761777/4.130321757837192/9.417525773195877
side,long,5400,1309,610,160,3526,f82b_07295,2654678.5381020806,190.97504260071986/1.312138066226088/2.4483866090271933/6.907216494845361
side,short,5400,610,107,0,3610,f82b_10355,1144521.4408034284,401.02621043351246/1.4727443088117345/4.6767732618809985/8.350515463917526
label_mode,density_supply,4320,182,14,0,2551,f82b_00890,1084468.3439562058,34.938299491498796/1.2353380538376504/1.7032254671493774/2.5670103092783507
label_mode,economic_balance,2160,422,152,24,1408,f82b_04973,2648280.7380392076,189.11746232561006/1.2629017141447771/4.165805621736138/10.06701030927835
label_mode,session_release,2160,605,241,44,1529,f82b_07295,2654678.5381020806,190.97504260071986/1.312138066226088/2.4483866090271933/6.907216494845361
label_mode,smooth_supply,2160,710,310,92,1648,f82b_09485,2653255.812358666,307.7817128798646/1.304664977761777/4.130321757837192/9.417525773195877
feature_set,compact_exportable_30,3600,611,206,43,2330,f82b_09605,2651000.2130858037,355.414364681211/1.3375734086026037/3.5306444579450953/9.927835051546392
feature_set,density_core,3600,596,237,50,2288,f82b_09275,2650261.3376467996,314.76759858496945/1.3505141705604016/4.343224941230937/8.505154639175258
feature_set,trend_density,3600,712,274,67,2518,f82b_07295,2654678.5381020806,190.97504260071986/1.312138066226088/2.4483866090271933/6.907216494845361
model,extra_trees_d7_l120,3600,614,287,76,2338,f82b_07295,2654678.5381020806,190.97504260071986/1.312138066226088/2.4483866090271933/6.907216494845361
model,histgbm_density_shallow,3600,645,177,28,2395,f82b_09485,2653255.812358666,307.7817128798646/1.304664977761777/4.130321757837192/9.417525773195877
model,logistic_l2_balanced,3600,660,253,56,2403,f82b_09395,2650690.1472141678,238.3779363833205/1.3156289274933344/3.7825798916275515/7.06701030927835
regime,all,2160,449,182,33,2144,f82b_07295,2654678.5381020806,190.97504260071986/1.312138066226088/2.4483866090271933/6.907216494845361
regime,cash_late,2160,0,0,0,0,f82b_00013,-144000.0,0.0/0.0/0.0/0.0
regime,cash_open,2160,493,104,44,1001,f82b_07267,2600677.5453184396,76.56087184496135/1.259209202444775/2.554838200724066/3.2783505154639174
regime,high_vol,2160,528,236,61,1849,f82b_09443,2651874.02547576,350.95404298911365/1.3922406699067442/3.7825798916275972/8.582474226804123
regime,trend,2160,449,195,22,2142,f82b_07319,2653939.812352163,152.758921181556/1.2890840353345268/2.299354380651653/5.917525773195877
risk_filter,intent_release,3600,693,350,95,2326,f82b_07295,2654678.5381020806,190.97504260071986/1.312138066226088/2.4483866090271933/6.907216494845361
risk_filter,none,3600,667,260,59,2520,f82b_09415,2647737.375468146,215.89003763736406/1.2722165052235972/3.0799993864284487/7.329896907216495
risk_filter,trend_aligned,3600,559,107,6,2290,f82b_09423,2580698.434310761,106.85255935889326/1.356981548109467/2.391612426788879/2.845360824742268
prob_quantile,0.58,5400,931,346,72,3631,f82b_09485,2653255.812358666,307.7817128798646/1.304664977761777/4.130321757837192/9.417525773195877
prob_quantile,0.68,5400,988,371,88,3505,f82b_07295,2654678.5381020806,190.97504260071986/1.312138066226088/2.4483866090271933/6.907216494845361
