adapter_id,split,segment_type,segment,profit_factor,net_profit,expectancy,trade_count,flag
s93_v41_h3_risk475_gate08_sl210_tp40_cd10,validation_is,chronological_third,early,1.711051267,285.16,4.193529412,68,ok
s93_v41_h3_risk475_gate08_sl210_tp40_cd10,validation_is,chronological_third,mid,1.296409924,200.96,2.999402985,67,validation_mid_softness
s93_v41_h3_risk475_gate08_sl210_tp40_cd10,validation_is,chronological_third,late,1.593641881,418.66,6.248656716,67,ok
s93_v41_h3_risk475_gate08_sl210_tp40_cd10,oos,chronological_third,early,1.029058296,8.1,0.15,54,oos_early_flatline_risk
s93_v41_h3_risk475_gate08_sl210_tp40_cd10,oos,chronological_third,mid,2.365744968,373.9,7.054716981,53,ok
s93_v41_h3_risk475_gate08_sl210_tp40_cd10,oos,chronological_third,late,1.390300087,188.07,3.548490566,53,ok
s93_v41_h3_risk475_gate08_sl210_tp39_cd10,validation_is,chronological_third,early,1.706912029,283.5,4.169117647,68,ok
s93_v41_h3_risk475_gate08_sl210_tp39_cd10,validation_is,chronological_third,mid,1.291217988,196.61,2.934477612,67,validation_mid_softness
s93_v41_h3_risk475_gate08_sl210_tp39_cd10,validation_is,chronological_third,late,1.590611213,413.67,6.174179104,67,ok
s93_v41_h3_risk475_gate08_sl210_tp39_cd10,oos,chronological_third,early,1.025759696,7.18,0.132962963,54,oos_early_flatline_risk
s93_v41_h3_risk475_gate08_sl210_tp39_cd10,oos,chronological_third,mid,2.346201927,366.14,6.908301887,53,ok
s93_v41_h3_risk475_gate08_sl210_tp39_cd10,oos,chronological_third,late,1.39508966,188.6,3.558490566,53,ok
s93_v41_h3_risk475_gate08_sl2075_tp40_cd10,validation_is,chronological_third,early,1.724148973,293.99,4.323382353,68,ok
s93_v41_h3_risk475_gate08_sl2075_tp40_cd10,validation_is,chronological_third,mid,1.290020142,200.14,2.987164179,67,validation_mid_softness
s93_v41_h3_risk475_gate08_sl2075_tp40_cd10,validation_is,chronological_third,late,1.596918717,429.68,6.413134328,67,ok
s93_v41_h3_risk475_gate08_sl2075_tp40_cd10,oos,chronological_third,early,1.046491698,13.02,0.2411111111,54,oos_early_flatline_risk
s93_v41_h3_risk475_gate08_sl2075_tp40_cd10,oos,chronological_third,mid,2.362789203,381.69,7.201698113,53,ok
s93_v41_h3_risk475_gate08_sl2075_tp40_cd10,oos,chronological_third,late,1.403785297,199.05,3.755660377,53,ok
