adapter_id,split,segment,profit_factor,net_profit,expectancy,flag,stage82_read
s81_v41_h3_risk5_gate08_sl20_tp40_cd12,validation_is,early,1.428311,190.02,2.969063,ok,validation_early_positive
s81_v41_h3_risk5_gate08_sl20_tp40_cd12,validation_is,mid,1.297758,186.87,2.966190,ok,validation_mid_positive
s81_v41_h3_risk5_gate08_sl20_tp40_cd12,validation_is,late,1.661791,440.68,6.994921,residual_late_profit_weight,late_still_carries_more_than_half_validation_net
s81_v41_h3_risk5_gate08_sl20_tp40_cd12,oos,early,0.930859,-21.83,-0.428039,oos_early_negative_persistent,cooldown12_did_not_fix_early_oos
s81_v41_h3_risk5_gate08_sl20_tp40_cd12,oos,mid,2.516726,401.72,8.034400,ok,oos_mid_carries_main_profit
s81_v41_h3_risk5_gate08_sl20_tp40_cd12,oos,late,1.338234,162.19,3.243800,ok,oos_late_positive
s81_v41_h3_risk5_gate08_sl20_tp40_h2,validation_is,early,0.883514,-37.59,-0.529437,validation_early_damage,max_hold2_damages_validation
s81_v41_h3_risk5_gate08_sl20_tp40_h2,validation_is,mid,1.355202,127.99,1.828429,ok,validation_mid_positive
s81_v41_h3_risk5_gate08_sl20_tp40_h2,validation_is,late,1.348315,138.49,1.978429,ok,validation_late_positive_but_low_scale
s81_v41_h3_risk5_gate08_sl20_tp40_h2,oos,early,0.968829,-8.93,-0.159464,oos_early_near_flat,early_loss_reduced_but_not_enough
s81_v41_h3_risk5_gate08_sl20_tp40_h2,oos,mid,2.000658,319.55,5.706250,ok,oos_mid_carries_profit
s81_v41_h3_risk5_gate08_sl20_tp40_h2,oos,late,1.108127,40.30,0.732727,weak_late_oos,late_oos_too_thin
s81_v41_h3_risk5_gate08_sl225_tp40,validation_is,early,1.582031,252.06,3.600857,ok,validation_early_strong
s81_v41_h3_risk5_gate08_sl225_tp40,validation_is,mid,1.335887,231.02,3.300286,ok,validation_mid_positive
s81_v41_h3_risk5_gate08_sl225_tp40,validation_is,late,1.571509,397.49,5.760725,ok,validation_late_positive
s81_v41_h3_risk5_gate08_sl225_tp40,oos,early,0.986273,-4.09,-0.073036,oos_early_near_flat,sl225_nearly_repairs_early_oos
s81_v41_h3_risk5_gate08_sl225_tp40,oos,mid,1.921531,304.52,5.536727,ok,oos_mid_positive_but_below_cd12
s81_v41_h3_risk5_gate08_sl225_tp40,oos,late,1.302986,139.21,2.531091,ok,oos_late_positive
