run_id,adapter_id,split,top1_winner,top1_winner_share_of_net,top3_winner_share_of_net,top5_winner_share_of_net,worst_loss,worst_loss_share_of_net_abs,last_quarter_net,last_quarter_net_share
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_cap0305_reference,validation_is,87.18,0.0893,0.2506,0.3977,-45.66,0.0468,369.5,0.3783
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_cap0305_reference,oos,77.87,0.1004,0.2625,0.411,-31.68,0.0408,319.97,0.4125
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_short055,validation_is,87.18,0.0893,0.2506,0.3977,-45.66,0.0468,369.5,0.3783
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_short055,oos,77.87,0.1004,0.2625,0.411,-31.68,0.0408,319.97,0.4125
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_short056,validation_is,87.18,0.0893,0.2506,0.3977,-45.66,0.0468,369.5,0.3783
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_short056,oos,77.87,0.1004,0.2625,0.411,-31.68,0.0408,319.97,0.4125
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_long053,validation_is,87.18,0.0893,0.2506,0.3977,-45.66,0.0468,369.5,0.3783
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_long053,oos,77.87,0.1004,0.2625,0.411,-31.68,0.0408,319.97,0.4125
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_balanced055_053,validation_is,87.18,0.0893,0.2506,0.3977,-45.66,0.0468,369.5,0.3783
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_balanced055_053,oos,77.87,0.1004,0.2625,0.411,-31.68,0.0408,319.97,0.4125
