run_id,adapter_id,split,gate_column,source_feature,soft_feature,total_rows,signal_rows,mid_window_rows,reference_blocked_signal_rows,soft_adjusted_signal_rows,allowed_signal_rows,rank_counts,allowed_signal_rank_counts,soft_adjusted_rank_counts,low_penalty,mid_penalty,gate_description,side_filter_feature_index,rank_feature_index
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_cap0305_reference,validation_is,stage248_entry_source_gate_cap0305_reference,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/248_adapter_research__entry_source_quality_repair_after_stage246_soft_guard_tradeoff/02_runs/run248A/s248_cap0305_reference/features/s248_cap0305_reference_val.csv,9844,468,3587,193,0,275,"{""high"":573,""low"":7439,""mid"":1559,""soft_low"":0,""soft_mid"":0,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""soft_low"":0,""soft_mid"":0,""vhigh"":17}","{""soft_low"":0,""soft_mid"":0}",0,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_cap0305_reference,oos,stage248_entry_source_gate_cap0305_reference,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/248_adapter_research__entry_source_quality_repair_after_stage246_soft_guard_tradeoff/02_runs/run248A/s248_cap0305_reference/features/s248_cap0305_reference_oos.csv,7584,348,2397,148,0,200,"{""high"":494,""low"":5454,""mid"":1362,""soft_low"":0,""soft_mid"":0,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""soft_low"":0,""soft_mid"":0,""vhigh"":7}","{""soft_low"":0,""soft_mid"":0}",0,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_short055,validation_is,stage248_entry_source_gate_short055,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/248_adapter_research__entry_source_quality_repair_after_stage246_soft_guard_tradeoff/02_runs/run248A/s248_short055/features/s248_short055_val.csv,9844,468,3587,193,0,275,"{""high"":573,""low"":7439,""mid"":1559,""soft_low"":0,""soft_mid"":0,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""soft_low"":0,""soft_mid"":0,""vhigh"":17}","{""soft_low"":0,""soft_mid"":0}",0,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_short055,oos,stage248_entry_source_gate_short055,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/248_adapter_research__entry_source_quality_repair_after_stage246_soft_guard_tradeoff/02_runs/run248A/s248_short055/features/s248_short055_oos.csv,7584,348,2397,148,0,200,"{""high"":494,""low"":5454,""mid"":1362,""soft_low"":0,""soft_mid"":0,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""soft_low"":0,""soft_mid"":0,""vhigh"":7}","{""soft_low"":0,""soft_mid"":0}",0,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_short056,validation_is,stage248_entry_source_gate_short056,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/248_adapter_research__entry_source_quality_repair_after_stage246_soft_guard_tradeoff/02_runs/run248A/s248_short056/features/s248_short056_val.csv,9844,468,3587,193,0,275,"{""high"":573,""low"":7439,""mid"":1559,""soft_low"":0,""soft_mid"":0,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""soft_low"":0,""soft_mid"":0,""vhigh"":17}","{""soft_low"":0,""soft_mid"":0}",0,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_short056,oos,stage248_entry_source_gate_short056,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/248_adapter_research__entry_source_quality_repair_after_stage246_soft_guard_tradeoff/02_runs/run248A/s248_short056/features/s248_short056_oos.csv,7584,348,2397,148,0,200,"{""high"":494,""low"":5454,""mid"":1362,""soft_low"":0,""soft_mid"":0,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""soft_low"":0,""soft_mid"":0,""vhigh"":7}","{""soft_low"":0,""soft_mid"":0}",0,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_long053,validation_is,stage248_entry_source_gate_long053,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/248_adapter_research__entry_source_quality_repair_after_stage246_soft_guard_tradeoff/02_runs/run248A/s248_long053/features/s248_long053_val.csv,9844,468,3587,193,0,275,"{""high"":573,""low"":7439,""mid"":1559,""soft_low"":0,""soft_mid"":0,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""soft_low"":0,""soft_mid"":0,""vhigh"":17}","{""soft_low"":0,""soft_mid"":0}",0,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_long053,oos,stage248_entry_source_gate_long053,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/248_adapter_research__entry_source_quality_repair_after_stage246_soft_guard_tradeoff/02_runs/run248A/s248_long053/features/s248_long053_oos.csv,7584,348,2397,148,0,200,"{""high"":494,""low"":5454,""mid"":1362,""soft_low"":0,""soft_mid"":0,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""soft_low"":0,""soft_mid"":0,""vhigh"":7}","{""soft_low"":0,""soft_mid"":0}",0,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_balanced055_053,validation_is,stage248_entry_source_gate_balanced055_053,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/248_adapter_research__entry_source_quality_repair_after_stage246_soft_guard_tradeoff/02_runs/run248A/s248_balanced055_053/features/s248_balanced055_053_val.csv,9844,468,3587,193,0,275,"{""high"":573,""low"":7439,""mid"":1559,""soft_low"":0,""soft_mid"":0,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""soft_low"":0,""soft_mid"":0,""vhigh"":17}","{""soft_low"":0,""soft_mid"":0}",0,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run248A_stage248_entry_source_quality_repair_after_stage246_soft_guard_tradeoff_v1,s248_balanced055_053,oos,stage248_entry_source_gate_balanced055_053,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/248_adapter_research__entry_source_quality_repair_after_stage246_soft_guard_tradeoff/02_runs/run248A/s248_balanced055_053/features/s248_balanced055_053_oos.csv,7584,348,2397,148,0,200,"{""high"":494,""low"":5454,""mid"":1362,""soft_low"":0,""soft_mid"":0,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""soft_low"":0,""soft_mid"":0,""vhigh"":7}","{""soft_low"":0,""soft_mid"":0}",0,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
