run_id,axis_id,candidate_id,mode,threshold_quantile,edge_threshold,cooldown_bars,daily_quota,validation_net,validation_pf,validation_dd_pct,validation_trades,validation_trades_per_day,validation_raw_signal_rows,oos_net,oos_pf,oos_dd_pct,oos_trades,oos_trades_per_day,oos_raw_signal_rows,min_pf,min_net,max_dd_pct,density_distance_to_7p5,joint_soft_signal,final_gate_like_signal,repair_decision,claim_boundary
frontier69E_proxy_runtime_gap_analysis_and_repair_decision_v1,pf_sparse_export_axis,f69b_9dd9ed423f5f,non_overlap,0.05,0.00015221225107224512,0,,524.4061291313236,1.1631257488554139,4.927508484649642,227,0.8369413541920039,438,-408.95208489417405,0.8535053868828799,8.728630995845798,156,0.8031893022507464,316,0.8535053868828799,-408.95208489417405,8.728630995845798,13.35986934355725,False,False,no_meaningful_trade_shape_repair(의미 있는 거래 형태 수리 없음),gap_analysis_and_proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier69E_proxy_runtime_gap_analysis_and_repair_decision_v1,pf_sparse_export_axis,f69b_9dd9ed423f5f,non_overlap,0.05,0.00015221225107224512,1,,237.6870220947418,1.0767220405069646,5.277488510894759,209,0.7705759604675277,438,-310.90711567878066,0.8774499618397956,7.900473113918295,145,0.7465541591433219,316,0.8774499618397956,-310.90711567878066,7.900473113918295,13.48286988038915,False,False,no_meaningful_trade_shape_repair(의미 있는 거래 형태 수리 없음),gap_analysis_and_proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier69E_proxy_runtime_gap_analysis_and_repair_decision_v1,pf_sparse_export_axis,f69b_9dd9ed423f5f,non_overlap,0.05,0.00015221225107224512,2,,-10.87225164412914,0.9962627794837028,5.424106975555394,193,0.7115844993791046,438,38.27529719352637,1.0178090402107711,6.326196008586894,130,0.6693244185422886,316,0.9962627794837028,-10.87225164412914,6.326196008586894,13.619091082078608,False,False,no_meaningful_trade_shape_repair(의미 있는 거래 형태 수리 없음),gap_analysis_and_proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier69E_proxy_runtime_gap_analysis_and_repair_decision_v1,pf_sparse_export_axis,f69b_9dd9ed423f5f,non_overlap,0.05,0.00015221225107224512,3,,-177.51820598602023,0.935079449670132,5.630537179946874,175,0.6452191056546285,438,-16.231077451706813,0.9924280263485349,6.933626217556019,123,0.6332838729284731,316,0.935079449670132,-177.51820598602023,6.933626217556019,13.721497021416898,False,False,no_meaningful_trade_shape_repair(의미 있는 거래 형태 수리 없음),gap_analysis_and_proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier69E_proxy_runtime_gap_analysis_and_repair_decision_v1,pf_sparse_export_axis,f69b_9dd9ed423f5f,non_overlap,0.05,0.00015221225107224512,6,,-238.18897344588655,0.8949324499548412,4.955443026542636,146,0.5382970824318615,438,-201.0022427272806,0.89219035282612,6.144745583248159,104,0.5354595348338309,316,0.89219035282612,-238.18897344588655,6.144745583248159,13.926243382734308,False,False,no_meaningful_trade_shape_repair(의미 있는 거래 형태 수리 없음),gap_analysis_and_proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier69E_proxy_runtime_gap_analysis_and_repair_decision_v1,pf_sparse_export_axis,f69b_9dd9ed423f5f,daily_top,0.05,0.00015221225107224512,0,3,681.4189658355763,1.1546941532059405,2.7721410713195542,323,1.1908901207225429,438,-557.768003473268,0.8623755092504343,7.035298451328206,224,1.1532974596420973,316,0.8623755092504343,-557.768003473268,7.035298451328206,12.65581241963536,False,False,no_meaningful_trade_shape_repair(의미 있는 거래 형태 수리 없음),gap_analysis_and_proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier69E_proxy_runtime_gap_analysis_and_repair_decision_v1,pf_sparse_export_axis,f69b_9dd9ed423f5f,daily_top,0.05,0.00015221225107224512,1,3,476.07877288818617,1.1322963806742072,3.269876253128052,262,0.9659851753229296,438,-389.0859059238359,0.8800215836185037,6.303369601917249,179,0.9216082378389974,316,0.8800215836185037,-389.0859059238359,6.303369601917249,13.112406586838073,False,False,no_meaningful_trade_shape_repair(의미 있는 거래 형태 수리 없음),gap_analysis_and_proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier69E_proxy_runtime_gap_analysis_and_repair_decision_v1,pf_sparse_export_axis,f69b_9dd9ed423f5f,daily_top,0.05,0.00015221225107224512,2,3,112.9797208404617,1.0356157820136982,4.214771672248771,224,0.8258804552379245,438,-404.5328890705065,0.8535061505590297,5.8674579541205985,153,0.7877433541305396,316,0.8535061505590297,-404.5328890705065,5.8674579541205985,13.386376190631536,False,False,no_meaningful_trade_shape_repair(의미 있는 거래 형태 수리 없음),gap_analysis_and_proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier69E_proxy_runtime_gap_analysis_and_repair_decision_v1,pf_sparse_export_axis,f69b_9dd9ed423f5f,daily_top,0.05,0.00015221225107224512,3,3,232.94922218323353,1.080379791979527,3.6837062339782447,201,0.7410802299233162,438,-473.2335381603206,0.8111189451549753,6.082752855014785,134,0.6899190160358974,316,0.8111189451549753,-473.2335381603206,6.082752855014785,13.569000754040786,False,False,no_meaningful_trade_shape_repair(의미 있는 거래 형태 수리 없음),gap_analysis_and_proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier69E_proxy_runtime_gap_analysis_and_repair_decision_v1,pf_sparse_export_axis,f69b_9dd9ed423f5f,daily_top,0.05,0.00015221225107224512,0,5,735.4068351745689,1.134657983930712,2.9752320846557416,402,1.4821604598466325,438,-547.604110364899,0.8908990228071573,9.486740944003994,286,1.472513720793035,316,0.8908990228071573,-547.604110364899,9.486740944003994,12.045325819360333,False,False,no_meaningful_trade_shape_repair(의미 있는 거래 형태 수리 없음),gap_analysis_and_proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
