candidate_id,split,target_id,horizon_bars,feature_set_id,feature_count,model_id,model_family,event_id,side_policy,edge_floor_quantile,edge_floor,daily_quota,cooldown_bars,trade_count,trades_per_day,net_profit,gross_profit,gross_loss,profit_factor,drawdown,drawdown_percent_on_10000,win_rate,average_win,average_loss,payoff_ratio,expectancy,recovery_factor,time_under_water_trade_share,max_underwater_trades,max_consecutive_loss,positive_month_share,long_trade_count,short_trade_count,claim_boundary
f69c_fe3f068d0ec9,validation,fh_h3_sl09_tp135_edge05_density_repair,3,morph_session_core_v1,12,small_hist_gradient_v1,small_boosting(작은 부스팅),event_cash_any_context,long_only,0.0,5.396052632333781e-06,3,0,394,1.4526647293024209,-85.41051856040679,5611.085257291808,5696.495775852215,0.985006480839946,802.3793651294635,8.023793651294636,47.71573604060914,29.846198177084087,-27.652892115787452,1.0793156119841962,-0.21677796588935733,-0.10644655417655942,0.9720812182741116,252,8,0.4444444444444444,394,0,proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69c_fe3f068d0ec9,oos,fh_h3_sl09_tp135_edge05_density_repair,3,morph_session_core_v1,12,small_hist_gradient_v1,small_boosting(작은 부스팅),event_cash_any_context,long_only,0.0,5.396052632333781e-06,3,0,285,1.4673650714196327,-622.1391981506345,4327.613111629482,4949.752309780119,0.8743090241260428,930.0006114578276,9.300006114578277,43.50877192982456,34.90010573894743,-30.74380316633614,1.135191555518491,-2.182944554914507,-0.6689664398987831,0.9894736842105263,269,9,0.5714285714285714,285,0,proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69c_be66d6d32991,validation,fh_h3_sl09_tp135_edge05_density_repair,3,morph_session_core_v1,12,small_hist_gradient_v1,small_boosting(작은 부스팅),event_cash_any_context,long_only,0.0,5.396052632333781e-06,5,0,587,2.1642492286815256,-1215.7693696784827,7748.56538341524,8964.334753093723,0.8643770672152886,1446.522670059197,14.465226700591971,45.65587734241908,28.912557400803134,-28.101362862362766,1.0288667329913324,-2.0711573589071257,-0.8404772319459943,0.9948892674616695,584,10,0.2222222222222222,587,0,proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69c_be66d6d32991,oos,fh_h3_sl09_tp135_edge05_density_repair,3,morph_session_core_v1,12,small_hist_gradient_v1,small_boosting(작은 부스팅),event_cash_any_context,long_only,0.0,5.396052632333781e-06,5,0,418,2.152135438082128,-1042.1764156723002,5936.945576782225,6979.121992454526,0.8506722741343324,1385.2258610916135,13.852258610916135,44.01913875598086,32.26600856946861,-29.825307660062077,1.081833218192575,-2.493245013570096,-0.7523512554487132,0.992822966507177,396,12,0.42857142857142855,418,0,proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69c_68b5b518253a,validation,fh_h3_sl09_tp135_edge05_density_repair,3,morph_session_core_v1,12,small_hist_gradient_v1,small_boosting(작은 부스팅),event_cash_any_context,long_only,0.0,5.396052632333781e-06,8,0,817,3.0122514818276085,-1604.7858298682763,10798.089172668497,12402.875002536772,0.8706117872235231,1949.0971392059055,19.490971392059055,43.696450428396574,30.246748382824922,-26.962771744645156,1.1217967006241474,-1.9642421418216356,-0.8233483070639017,0.9938800489596084,812,11,0.1111111111111111,817,0,proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69c_68b5b518253a,oos,fh_h3_sl09_tp135_edge05_density_repair,3,morph_session_core_v1,12,small_hist_gradient_v1,small_boosting(작은 부스팅),event_cash_any_context,long_only,0.0,5.396052632333781e-06,8,0,596,3.0685950265477233,-1027.6018626308464,8580.244732942578,9607.846595573425,0.8930455589180317,1433.720788249979,14.337207882499788,44.63087248322148,32.25655914640067,-29.1146866532528,1.1079136633193627,-1.7241641990450443,-0.7167377853850837,0.9899328859060402,532,9,0.2857142857142857,596,0,proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69c_79743de7cb3f,validation,fh_h3_sl09_tp135_edge05_density_repair,3,morph_session_core_v1,12,small_hist_gradient_v1,small_boosting(작은 부스팅),event_cash_any_context,long_only,0.5,0.04060981953147358,3,0,394,1.4526647293024209,-85.41051856040679,5611.085257291808,5696.495775852215,0.985006480839946,802.3793651294635,8.023793651294636,47.71573604060914,29.846198177084087,-27.652892115787452,1.0793156119841962,-0.21677796588935733,-0.10644655417655942,0.9720812182741116,252,8,0.4444444444444444,394,0,proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69c_79743de7cb3f,oos,fh_h3_sl09_tp135_edge05_density_repair,3,morph_session_core_v1,12,small_hist_gradient_v1,small_boosting(작은 부스팅),event_cash_any_context,long_only,0.5,0.04060981953147358,3,0,285,1.4673650714196327,-622.1391981506345,4327.613111629482,4949.752309780119,0.8743090241260428,930.0006114578276,9.300006114578277,43.50877192982456,34.90010573894743,-30.74380316633614,1.135191555518491,-2.182944554914507,-0.6689664398987831,0.9894736842105263,269,9,0.5714285714285714,285,0,proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69c_55175e2eedab,validation,fh_h3_sl09_tp135_edge05_density_repair,3,morph_session_core_v1,12,small_hist_gradient_v1,small_boosting(작은 부스팅),event_cash_any_context,long_only,0.5,0.04060981953147358,5,0,586,2.160562262363499,-1207.4493696784837,7748.56538341524,8956.014753093725,0.8651800602202683,1438.202670059198,14.382026700591979,45.73378839590443,28.912557400803134,-28.163568405955107,1.0265942505598706,-2.0604938049120882,-0.8395543930041401,0.9948805460750854,583,10,0.2222222222222222,586,0,proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69c_55175e2eedab,oos,fh_h3_sl09_tp135_edge05_density_repair,3,morph_session_core_v1,12,small_hist_gradient_v1,small_boosting(작은 부스팅),event_cash_any_context,long_only,0.5,0.04060981953147358,5,0,418,2.152135438082128,-1042.1764156723002,5936.945576782225,6979.121992454526,0.8506722741343324,1385.2258610916135,13.852258610916135,44.01913875598086,32.26600856946861,-29.825307660062077,1.081833218192575,-2.493245013570096,-0.7523512554487132,0.992822966507177,396,12,0.42857142857142855,418,0,proxy_repair_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
