event_id,description,split,event_rows,split_rows,event_rows_per_day,event_row_share,target_id
event_cash_any_context,US cash-session any-context control(미국 현물장 전체 문맥 대조),train,29222,29222,34.28917861799218,1.0,fh_h3_sl09_tp135_edge10
event_cash_any_context,US cash-session any-context control(미국 현물장 전체 문맥 대조),validation,9844,9844,36.29449643465236,1.0,fh_h3_sl09_tp135_edge10
event_cash_any_context,US cash-session any-context control(미국 현물장 전체 문맥 대조),oos,7584,7584,39.04735684788243,1.0,fh_h3_sl09_tp135_edge10
event_morph_range_impulse,return/range impulse event(수익률/범위 충격 이벤트),train,13340,29222,15.653194263363757,0.4565053726644309,fh_h3_sl09_tp135_edge10
event_morph_range_impulse,return/range impulse event(수익률/범위 충격 이벤트),validation,4562,9844,16.81994034283666,0.4634295002031694,fh_h3_sl09_tp135_edge10
event_morph_range_impulse,return/range impulse event(수익률/범위 충격 이벤트),oos,3314,7584,17.06262402345496,0.4369725738396624,fh_h3_sl09_tp135_edge10
event_bb_squeeze_release,Bollinger squeeze/release event(볼린저 압축/해제 이벤트),train,10586,29222,12.421642764015646,0.36226130997193895,fh_h3_sl09_tp135_edge10
event_bb_squeeze_release,Bollinger squeeze/release event(볼린저 압축/해제 이벤트),validation,4170,9844,15.374649546170291,0.42360828931328726,fh_h3_sl09_tp135_edge10
event_bb_squeeze_release,Bollinger squeeze/release event(볼린저 압축/해제 이벤트),oos,3163,7584,16.28517796807122,0.41706223628691985,fh_h3_sl09_tp135_edge10
event_trend_vol_expansion,trend plus volatility expansion event(추세와 변동성 확장 이벤트),train,5497,29222,6.45019556714472,0.1881116966668948,fh_h3_sl09_tp135_edge10
event_trend_vol_expansion,trend plus volatility expansion event(추세와 변동성 확장 이벤트),validation,1778,9844,6.555426113451026,0.1806176351076798,fh_h3_sl09_tp135_edge10
event_trend_vol_expansion,trend plus volatility expansion event(추세와 변동성 확장 이벤트),oos,1332,7584,6.858000965371757,0.17563291139240506,fh_h3_sl09_tp135_edge10
event_session_edges,cash open/close edge event(현물장 초반/후반 이벤트),train,5483,29222,6.433767926988266,0.18763260557114503,fh_h3_sl09_tp135_edge10
event_session_edges,cash open/close edge event(현물장 초반/후반 이벤트),validation,1911,9844,7.045792633748543,0.19412840308817553,fh_h3_sl09_tp135_edge10
event_session_edges,cash open/close edge event(현물장 초반/후반 이벤트),oos,1299,7584,6.688095536049484,0.17128164556962025,fh_h3_sl09_tp135_edge10
event_vortex_di_alignment,vortex and DI alignment event(보텍스와 DI 정렬 이벤트),train,11471,29222,13.460104302477184,0.3925467113818356,fh_h3_sl09_tp135_edge10
event_vortex_di_alignment,vortex and DI alignment event(보텍스와 DI 정렬 이벤트),validation,3708,9844,13.671271107242072,0.3766761479073547,fh_h3_sl09_tp135_edge10
event_vortex_di_alignment,vortex and DI alignment event(보텍스와 DI 정렬 이벤트),oos,2842,7584,14.632461519209109,0.37473628691983124,fh_h3_sl09_tp135_edge10
event_cash_any_context,US cash-session any-context control(미국 현물장 전체 문맥 대조),train,29222,29222,34.28917861799218,1.0,fh_h6_sl09_tp135_edge10
event_cash_any_context,US cash-session any-context control(미국 현물장 전체 문맥 대조),validation,9844,9844,36.29449643465236,1.0,fh_h6_sl09_tp135_edge10
event_cash_any_context,US cash-session any-context control(미국 현물장 전체 문맥 대조),oos,7584,7584,39.04735684788243,1.0,fh_h6_sl09_tp135_edge10
event_morph_range_impulse,return/range impulse event(수익률/범위 충격 이벤트),train,13340,29222,15.653194263363757,0.4565053726644309,fh_h6_sl09_tp135_edge10
event_morph_range_impulse,return/range impulse event(수익률/범위 충격 이벤트),validation,4562,9844,16.81994034283666,0.4634295002031694,fh_h6_sl09_tp135_edge10
event_morph_range_impulse,return/range impulse event(수익률/범위 충격 이벤트),oos,3314,7584,17.06262402345496,0.4369725738396624,fh_h6_sl09_tp135_edge10
event_bb_squeeze_release,Bollinger squeeze/release event(볼린저 압축/해제 이벤트),train,10586,29222,12.421642764015646,0.36226130997193895,fh_h6_sl09_tp135_edge10
event_bb_squeeze_release,Bollinger squeeze/release event(볼린저 압축/해제 이벤트),validation,4170,9844,15.374649546170291,0.42360828931328726,fh_h6_sl09_tp135_edge10
event_bb_squeeze_release,Bollinger squeeze/release event(볼린저 압축/해제 이벤트),oos,3163,7584,16.28517796807122,0.41706223628691985,fh_h6_sl09_tp135_edge10
event_trend_vol_expansion,trend plus volatility expansion event(추세와 변동성 확장 이벤트),train,5497,29222,6.45019556714472,0.1881116966668948,fh_h6_sl09_tp135_edge10
event_trend_vol_expansion,trend plus volatility expansion event(추세와 변동성 확장 이벤트),validation,1778,9844,6.555426113451026,0.1806176351076798,fh_h6_sl09_tp135_edge10
event_trend_vol_expansion,trend plus volatility expansion event(추세와 변동성 확장 이벤트),oos,1332,7584,6.858000965371757,0.17563291139240506,fh_h6_sl09_tp135_edge10
event_session_edges,cash open/close edge event(현물장 초반/후반 이벤트),train,5483,29222,6.433767926988266,0.18763260557114503,fh_h6_sl09_tp135_edge10
event_session_edges,cash open/close edge event(현물장 초반/후반 이벤트),validation,1911,9844,7.045792633748543,0.19412840308817553,fh_h6_sl09_tp135_edge10
event_session_edges,cash open/close edge event(현물장 초반/후반 이벤트),oos,1299,7584,6.688095536049484,0.17128164556962025,fh_h6_sl09_tp135_edge10
event_vortex_di_alignment,vortex and DI alignment event(보텍스와 DI 정렬 이벤트),train,11471,29222,13.460104302477184,0.3925467113818356,fh_h6_sl09_tp135_edge10
event_vortex_di_alignment,vortex and DI alignment event(보텍스와 DI 정렬 이벤트),validation,3708,9844,13.671271107242072,0.3766761479073547,fh_h6_sl09_tp135_edge10
event_vortex_di_alignment,vortex and DI alignment event(보텍스와 DI 정렬 이벤트),oos,2842,7584,14.632461519209109,0.37473628691983124,fh_h6_sl09_tp135_edge10
event_cash_any_context,US cash-session any-context control(미국 현물장 전체 문맥 대조),train,29222,29222,34.28917861799218,1.0,fh_h9_sl09_tp135_edge10
event_cash_any_context,US cash-session any-context control(미국 현물장 전체 문맥 대조),validation,9844,9844,36.29449643465236,1.0,fh_h9_sl09_tp135_edge10
event_cash_any_context,US cash-session any-context control(미국 현물장 전체 문맥 대조),oos,7584,7584,39.04735684788243,1.0,fh_h9_sl09_tp135_edge10
event_morph_range_impulse,return/range impulse event(수익률/범위 충격 이벤트),train,13340,29222,15.653194263363757,0.4565053726644309,fh_h9_sl09_tp135_edge10
event_morph_range_impulse,return/range impulse event(수익률/범위 충격 이벤트),validation,4562,9844,16.81994034283666,0.4634295002031694,fh_h9_sl09_tp135_edge10
event_morph_range_impulse,return/range impulse event(수익률/범위 충격 이벤트),oos,3314,7584,17.06262402345496,0.4369725738396624,fh_h9_sl09_tp135_edge10
event_bb_squeeze_release,Bollinger squeeze/release event(볼린저 압축/해제 이벤트),train,10586,29222,12.421642764015646,0.36226130997193895,fh_h9_sl09_tp135_edge10
event_bb_squeeze_release,Bollinger squeeze/release event(볼린저 압축/해제 이벤트),validation,4170,9844,15.374649546170291,0.42360828931328726,fh_h9_sl09_tp135_edge10
event_bb_squeeze_release,Bollinger squeeze/release event(볼린저 압축/해제 이벤트),oos,3163,7584,16.28517796807122,0.41706223628691985,fh_h9_sl09_tp135_edge10
event_trend_vol_expansion,trend plus volatility expansion event(추세와 변동성 확장 이벤트),train,5497,29222,6.45019556714472,0.1881116966668948,fh_h9_sl09_tp135_edge10
event_trend_vol_expansion,trend plus volatility expansion event(추세와 변동성 확장 이벤트),validation,1778,9844,6.555426113451026,0.1806176351076798,fh_h9_sl09_tp135_edge10
event_trend_vol_expansion,trend plus volatility expansion event(추세와 변동성 확장 이벤트),oos,1332,7584,6.858000965371757,0.17563291139240506,fh_h9_sl09_tp135_edge10
event_session_edges,cash open/close edge event(현물장 초반/후반 이벤트),train,5483,29222,6.433767926988266,0.18763260557114503,fh_h9_sl09_tp135_edge10
event_session_edges,cash open/close edge event(현물장 초반/후반 이벤트),validation,1911,9844,7.045792633748543,0.19412840308817553,fh_h9_sl09_tp135_edge10
