candidate_id,split,target_id,horizon_bars,sl_atr,tp_atr,feature_set_id,feature_count,model_id,model_family,event_id,threshold_quantile,edge_threshold_from_train,side_policy,cooldown_bars,event_rows,raw_signal_rows,trade_count,trades_per_day,net_profit,gross_profit,gross_loss,profit_factor,drawdown,drawdown_percent_on_10000,win_rate,average_win,average_loss,payoff_ratio,expectancy,recovery_factor,time_under_water_trade_share,max_underwater_trades,max_consecutive_loss,positive_month_share,month_count,long_trade_count,short_trade_count,claim_boundary
f69b_763c1e305b53,validation,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.5,0.011956158351588864,both,3,9844,3130,844,3.1117995724143226,-2103.713575038929,12532.388487052918,14636.102062091846,0.8562654478552976,2445.03027130128,24.450302713012803,45.7345971563981,32.46732768666559,-31.956554720724554,1.0159833552272701,-2.4925516291930436,-0.8604038975432816,0.9976303317535545,840,12,0.1111111111111111,9,527,317,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_763c1e305b53,oos,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.5,0.011956158351588864,both,3,7584,2323,617,3.1767166633891697,88.30704431533661,10710.571883678444,10622.264839363108,1.0083133913200972,851.4760436439558,8.514760436439559,45.54294975688817,38.11591417679161,-31.61388345048544,1.205670104923675,0.14312324848514849,0.10371054473525758,0.9611021069692058,185,9,0.42857142857142855,7,380,237,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_eb6e77347a72,validation,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.65,0.017172869526532235,both,3,9844,2220,677,2.4960761973039056,-1329.4089462470988,10857.348504085538,12186.757450332638,0.8909136452690446,2458.079269733421,24.580792697334207,44.903988183161005,35.7149621844919,-32.672271984806,1.0931275976491894,-1.963676434633824,-0.5408324144043057,0.9985228951255539,676,11,0.3333333333333333,9,404,273,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_eb6e77347a72,oos,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.65,0.017172869526532235,both,3,7584,1643,495,2.548581439834099,-1037.1230509757966,8250.17308290481,9287.296133880609,0.8883288487816909,1788.575111255644,17.88575111255644,43.03030303030303,38.73320696199441,-32.93367423361918,1.1760973490912527,-2.095198082779387,-0.5798599368005847,0.9818181818181818,354,13,0.42857142857142855,7,313,182,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_7edb6e9b48e8,validation,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.8,0.025323551779263046,both,3,9844,1241,436,1.6075173146595316,-694.3265479278658,7760.569793357845,8454.896341285708,0.9178787628019246,1723.026397438053,17.23026397438053,44.4954128440367,40.00293707916415,-34.93758818713103,1.1449827865879678,-1.592492082403362,-0.40296918779668817,0.9977064220183486,435,9,0.3333333333333333,9,244,192,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_7edb6e9b48e8,oos,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.8,0.025323551779263046,both,3,7584,923,329,1.6939056438493303,-269.3206858825671,5984.381968536378,6253.702654418947,0.9569342035006632,978.3802450370752,9.783802450370752,44.07294832826747,41.2715997830095,-33.987514426189925,1.2143165065111863,-0.8186039084576507,-0.2752719990501866,0.9969604863221885,317,8,0.42857142857142855,7,198,131,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_3880d79d6a30,validation,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.9,0.036577411901530736,both,3,9844,577,225,0.829567421555951,-182.52054636002316,4411.633036632542,4594.153582992565,0.9602711265388015,732.864827270518,7.3286482727051805,44.0,44.56194986497517,-36.461536372956864,1.2221632519584746,-0.8112024282667696,-0.2490507656641167,0.9511111111111111,115,10,0.3333333333333333,9,111,114,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_3880d79d6a30,oos,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.9,0.036577411901530736,both,3,7584,433,159,0.818635250370953,153.9124667167715,3107.09739667893,2953.184929962159,1.0521174495898378,527.9975905227673,5.279975905227673,45.28301886792453,43.154130509429585,-33.94465436738114,1.2713085849210537,0.9680029353256069,0.29150221417560573,0.9308176100628931,113,8,0.5714285714285714,7,93,66,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_d939452d3f82,validation,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.95,0.04842508764305346,both,3,9844,291,122,0.44980989079922673,-1009.2461005783097,2021.7895093917857,3031.0356099700953,0.6670292829095904,1220.718274059299,12.20718274059299,38.52459016393443,43.016798072165656,-40.413808132934605,1.0644084301748784,-8.272509021133686,-0.8267641453602779,0.9918032786885246,121,6,0.1111111111111111,9,62,60,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_d939452d3f82,oos,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.95,0.04842508764305346,both,3,7584,219,69,0.3552568067647532,909.2580048179587,1959.3083127403233,1050.0503079223643,1.8659185164347243,177.30362548828055,1.7730362548828056,57.971014492753625,48.98270781850808,-36.20863130766773,1.3527909244151752,13.177652243738532,5.128253877008619,0.7101449275362319,16,3,0.8571428571428571,7,42,27,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_0d05b976282d,validation,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.5,0.012680021519162643,long_only,3,9844,1785,574,2.1163186665471816,493.366981735227,9252.205487537383,8758.838505802156,1.0563279002585109,1188.0730698013338,11.880730698013338,46.864111498257834,34.39481593880068,-28.717503297711986,1.1976952028953376,0.8595243584237404,0.41526653054910706,0.9581881533101045,257,8,0.5555555555555556,9,574,0,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_0d05b976282d,oos,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.5,0.012680021519162643,long_only,3,7584,1377,426,2.193324633069346,-514.8873578262435,6840.2659157943635,7355.153273620608,0.9299963795896821,959.739704113018,9.597397041130181,45.539906103286384,35.25910265873383,-31.703246869054347,1.1121606188907536,-1.2086557695451725,-0.5364864615058281,0.9859154929577465,417,8,0.2857142857142857,7,426,0,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_b268fb469591,validation,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.65,0.0178270220652052,long_only,3,9844,1267,434,1.6001433820234787,462.8190008926516,7506.984126338971,7044.165125446319,1.0657024633367504,978.2275546646077,9.782275546646076,45.852534562211986,37.72353832331141,-29.97517074658008,1.2584928587142528,1.0664032278632525,0.4731199797897049,0.956221198156682,198,13,0.5555555555555556,9,434,0,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_b268fb469591,oos,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.65,0.0178270220652052,long_only,3,7584,987,330,1.6990542932227326,-1084.2691152954183,4940.287986259455,6024.557101554873,0.8200250911364787,1565.6890152740507,15.656890152740507,41.81818181818181,35.79918830622793,-31.377901570598297,1.140904474624666,-3.2856639857436916,-0.6925188238007999,0.9848484848484849,324,9,0.2857142857142857,7,330,0,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_d806fdfdf92a,validation,fh_h3_sl09_tp135_edge10,3,0.9,1.35,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_cash_any_context,0.8,0.02581218655611543,long_only,3,9844,700,256,0.9438633774147709,193.99004781721928,4793.264616451261,4599.27456863404,1.042178401163563,965.1483542823827,9.651483542823827,45.703125,40.96807364488257,-33.08830624916576,1.238143570613122,0.7577736242860128,0.20099505631075423,0.95703125,122,7,0.3333333333333333,9,256,0,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
