candidate_id,target_id,horizon_bars,feature_set_id,feature_count,model_id,model_family,event_id,threshold_quantile,side_policy,cooldown_bars,validation_net,validation_pf,validation_dd_pct,validation_trades,validation_trades_per_day,validation_win_rate,validation_expectancy,oos_net,oos_pf,oos_dd_pct,oos_trades,oos_trades_per_day,oos_win_rate,oos_expectancy,min_pf,min_net,max_dd_pct,density_distance_to_7p5,scout_signal,meaningful_proxy_signal,selection_score,claim_boundary
f69b_c059a1429316,fh_h9_sl09_tp135_edge10,9,morph_session_core_v1,12,small_hist_gradient_v1,small_boosting(작은 부스팅),event_session_edges,0.95,long_only,9,771.3269726943959,2.65394460862495,0.8184162712097167,36,0.13273078744895214,61.111111111111114,21.425749241510996,655.919282913208,3.561207122507104,0.7614765644073489,28,0.14416218245526216,71.42857142857143,23.425688675471715,2.65394460862495,655.919282913208,0.8184162712097167,14.723107030095786,False,False,270.83945900802587,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_6773bb91b9be,fh_h3_sl09_tp135_edge10,3,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_session_edges,0.95,long_only,3,246.79647903442384,2.934052671411938,0.6606344604492187,9,0.033182696862238036,55.55555555555556,27.42183100382487,48.32553768157959,2.6424323323570293,0.29423152923583984,3,0.01544594812020666,66.66666666666666,16.10851256052653,2.6424323323570293,48.32553768157959,0.6606344604492187,14.951371355017555,False,False,224.75994348921864,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_44c31b74fdce,fh_h3_sl09_tp135_edge10,3,compact_event_context_v1,22,linear_logreg_balanced_v1,linear(선형),event_session_edges,0.9,long_only,3,320.4724652290344,2.4267143729521634,0.6748248672485352,19,0.07005236004250252,57.89473684210527,16.866971854159704,151.9084587097168,3.5410941196858734,0.5978072891235352,8,0.04118919498721776,75.0,18.9885573387146,2.4267143729521634,151.9084587097168,0.6748248672485352,14.888758444970279,False,False,210.3453607015388,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_9dd9ed423f5f,fh_h3_sl09_tp135_edge10,3,price_path_core_v1,12,shallow_extra_trees_v1,shallow_tree(얕은 트리),event_session_edges,0.95,long_only,3,255.09547679901226,2.393652904354145,0.5308726043701172,17,0.06267842740644963,64.70588235294117,15.005616282294838,127.5750396728516,2.964008299766948,0.5135646667480468,7,0.03604054561381554,57.14285714285714,18.225005667550228,2.393652904354145,127.5750396728516,0.5308726043701172,14.901281026979735,False,False,205.74298020245524,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_701b71706a6b,fh_h3_sl09_tp135_edge10,3,compact_event_context_v1,22,shallow_extra_trees_v1,shallow_tree(얕은 트리),event_trend_vol_expansion,0.95,long_only,3,382.63631015777435,3.6975826399331275,0.3848451652526853,17,0.06267842740644963,64.70588235294117,22.508018244574963,125.56860530853373,2.2036126017229853,0.8782642955780028,13,0.06693244185422886,61.53846153846154,9.659123485271826,2.2036126017229853,125.56860530853373,0.8782642955780028,14.870389130739321,False,False,184.44886283437248,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_38538208d431,fh_h9_sl09_tp135_edge10,9,price_path_core_v1,12,linear_logreg_balanced_v1,linear(선형),event_session_edges,0.95,long_only,9,318.38152799606326,2.1452166106746287,1.586258900642395,19,0.07005236004250252,52.63157894736842,16.756922526108593,122.645592212677,2.2464282946860594,0.4673626098632812,8,0.04118919498721776,62.5,15.330699026584625,2.1452166106746287,122.645592212677,1.586258900642395,14.888758444970279,False,False,179.20878007289264,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_70653db4adb4,fh_h3_sl09_tp135_edge10,3,morph_session_core_v1,12,linear_logreg_balanced_v1,linear(선형),event_session_edges,0.95,long_only,3,228.77717857360847,1.8613649944599737,1.5492423019409183,14,0.05161752845237028,64.28571428571429,16.341227040972033,204.70697107315064,3.8348259543140792,0.38825668716430667,8,0.04118919498721776,75.0,25.58837138414383,1.8613649944599737,204.70697107315064,1.5492423019409183,14.907193276560413,False,False,153.82905434963175,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_bbf864f09714,fh_h3_sl09_tp135_edge10,3,compact_event_context_v1,22,shallow_extra_trees_v1,shallow_tree(얕은 트리),event_session_edges,0.8,long_only,3,361.9613922309892,1.75179037750425,0.9796496200561524,42,0.15485258535711086,54.761904761904766,8.618128386452124,268.2788382720937,1.8948962011233081,0.7393892925262554,27,0.13901353308185993,55.55555555555556,9.936253269336804,1.75179037750425,268.2788382720937,0.9796496200561524,14.70613388156103,False,False,151.2415214904894,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_60f9884c5649,fh_h6_sl09_tp135_edge10,6,price_path_core_v1,12,linear_logreg_balanced_v1,linear(선형),event_session_edges,0.8,long_only,6,384.6042895030966,1.7920720945602753,1.3535103578567504,37,0.1364177537669786,56.75675675675676,10.39471052711072,349.3236817359925,1.685583951786575,2.1267288894653325,34,0.1750540786956755,55.88235294117647,10.274225933411545,1.685583951786575,349.3236817359925,2.1267288894653325,14.688528167537346,False,False,144.18070989234826,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f69b_64ee75344ed6,fh_h3_sl09_tp135_edge10,3,price_path_core_v1,12,shallow_extra_trees_v1,shallow_tree(얕은 트리),event_morph_range_impulse,0.9,long_only,3,600.1587809562646,1.6360629308463743,1.8070006172180069,65,0.23965281067171917,61.53846153846154,9.233212014711764,379.2540014076207,1.7127585146972055,1.4064321029663194,38,0.19564867618928436,55.26315789473685,9.980368458095281,1.6360629308463743,379.2540014076207,1.8070006172180069,14.564698513138996,False,False,143.3645336071058,proxy_scout_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
