record_view,candidate_alias,candidate_role,followup_variant_short,followup_variant_id,followup_label,source_p0_axis,primary_p0_axis,secondary_p0_axis,tier_scope,route_role,base_net_profit,p1_net_profit,net_profit_delta,base_pf,p1_pf,pf_delta,base_trade_count,p1_trade_count,trade_count_delta,base_dd_percent,p1_dd_percent,dd_percent_delta,base_recovery,p1_recovery,recovery_delta,p0_primary_net_profit,p0_primary_trade_count,p0_primary_dd_percent,p1_vs_p0_net_profit_delta,p1_vs_p0_trade_count_delta,p1_vs_p0_dd_percent_delta,p0_secondary_net_profit,p0_secondary_dd_percent,blocked_signal_rows,kept_signal_rows,signal_retention,diagnostic_read
mt5_rt_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p1_atr_compression_replacement_filter,ATR compression replacement filter(ATR 압축 대체 필터),vollowblk,vollowblk,,Tier A+B,routed_total,95.56,269.2,173.64,1.05,1.16,0.11,353,314,-39,36.68,28.73,-7.95,0.31,1.1,0.79,436.26,257,16.31,-167.06,57,12.42,,,94,446,0.825925925926,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s264_aia_atrcomp_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,atrcomp,p1_atr_compression_replacement_filter,ATR compression replacement filter(ATR 압축 대체 필터),vollowblk,vollowblk,,Tier A+B,routed_total,87.07,261.08,174.01,1.05,1.16,0.11,354,315,-39,36.9,28.89,-8.01,0.28,1.07,0.79,436.26,257,16.31,-175.18,58,12.58,,,94,446,0.825925925926,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s258_stc_atrcomp_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,p1_atr_compression_replacement_filter,ATR compression replacement filter(ATR 압축 대체 필터),vollowblk,vollowblk,,Tier A+B,routed_total,102.89,260.91,158.02,1.05,1.14,0.09,378,334,-44,40.43,29.99,-10.44,0.28,0.97,0.69,459.04,270,21.38,-198.13,64,8.61,,,94,446,0.825925925926,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s264_lc_atrcomp_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,atrcomp,p1_atr_compression_replacement_filter,ATR compression replacement filter(ATR 압축 대체 필터),vollowblk,vollowblk,,Tier A+B,routed_total,71.34,240.12,168.78,1.04,1.15,0.11,350,311,-39,37.52,28.78,-8.74,0.23,1.01,0.78,416.59,255,17.77,-176.47,56,11.01,,,94,446,0.825925925926,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s262_lih_atrcomp_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,atrcomp,p1_atr_compression_replacement_filter,ATR compression replacement filter(ATR 압축 대체 필터),vollowblk,vollowblk,,Tier A+B,routed_total,44.49,201.92,157.43,1.02,1.12,0.1,352,313,-39,40.13,30.48,-9.65,0.13,0.8,0.67,416.59,255,17.77,-214.67,58,12.71,,,94,446,0.825925925926,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,p1_late_hour21_soft_filter,late-session hour 21 soft filter(후반 세션 21시 부드러운 필터),lateblk,lateblk,,Tier A+B,routed_total,95.56,198.2,102.64,1.05,1.12,0.07,353,312,-41,36.68,22.86,-13.82,0.31,1.04,0.73,231.42,308,22.94,-33.22,4,-0.08,,,55,485,0.898148148148,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,p1_late_hour21_soft_filter,late-session hour 21 soft filter(후반 세션 21시 부드러운 필터),lateblk,lateblk,,Tier A+B,routed_total,102.89,190.46,87.57,1.05,1.11,0.06,378,332,-46,40.43,26.42,-14.01,0.28,0.86,0.58,230.24,328,26.48,-39.78,4,-0.06,,,55,485,0.898148148148,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,p1_late_hour21_soft_filter,late-session hour 21 soft filter(후반 세션 21시 부드러운 필터),lateblk,lateblk,,Tier A+B,routed_total,87.07,189.67,102.6,1.05,1.12,0.07,354,313,-41,36.9,22.88,-14.02,0.28,1,0.72,222.17,309,22.96,-32.5,4,-0.08,,,55,485,0.898148148148,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,p1_late_hour21_soft_filter,late-session hour 21 soft filter(후반 세션 21시 부드러운 필터),lateblk,lateblk,,Tier A+B,routed_total,71.34,173.26,101.92,1.04,1.11,0.07,350,309,-41,37.52,22.86,-14.66,0.23,0.94,0.71,207.8,305,22.87,-34.54,4,-0.01,,,55,485,0.898148148148,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,p1_late_hour21_soft_filter,late-session hour 21 soft filter(후반 세션 21시 부드러운 필터),lateblk,lateblk,,Tier A+B,routed_total,44.49,142.76,98.27,1.02,1.09,0.07,352,311,-41,40.13,25.89,-14.24,0.13,0.72,0.59,172.83,307,25.78,-30.07,4,0.11,,,55,485,0.898148148148,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s258_stc_lateadx_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,lateadx,p1_late_adx20_25_soft_filter,late-session plus ADX 20-25 soft filter(후반 세션과 ADX 20-25 부드러운 필터),lateblk,lateblk,,Tier A+B,routed_total,102.89,147.53,44.64,1.05,1.07,0.02,378,372,-6,40.43,39.12,-1.31,0.28,0.41,0.13,230.24,328,26.48,-82.71,44,12.64,,,16,524,0.97037037037,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s264_aih_lateadx_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,lateadx,p1_late_adx20_25_soft_filter,late-session plus ADX 20-25 soft filter(후반 세션과 ADX 20-25 부드러운 필터),lateblk,lateblk,,Tier A+B,routed_total,95.56,117.41,21.85,1.05,1.06,0.01,353,348,-5,36.68,35.79,-0.89,0.31,0.39,0.08,231.42,308,22.94,-114.01,40,12.85,,,16,524,0.97037037037,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s264_aia_lateadx_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,lateadx,p1_late_adx20_25_soft_filter,late-session plus ADX 20-25 soft filter(후반 세션과 ADX 20-25 부드러운 필터),lateblk,lateblk,,Tier A+B,routed_total,87.07,113.83,26.76,1.05,1.06,0.01,354,349,-5,36.9,35.88,-1.02,0.28,0.38,0.1,222.17,309,22.96,-108.34,40,12.92,,,16,524,0.97037037037,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s264_lc_lateadx_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,lateadx,p1_late_adx20_25_soft_filter,late-session plus ADX 20-25 soft filter(후반 세션과 ADX 20-25 부드러운 필터),lateblk,lateblk,,Tier A+B,routed_total,71.34,97.05,25.71,1.04,1.05,0.01,350,345,-5,37.52,36.8,-0.72,0.23,0.32,0.09,207.8,305,22.87,-110.75,40,13.93,,,16,524,0.97037037037,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s262_lih_lateadx_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,lateadx,p1_late_adx20_25_soft_filter,late-session plus ADX 20-25 soft filter(후반 세션과 ADX 20-25 부드러운 필터),lateblk,lateblk,,Tier A+B,routed_total,44.49,69.5,25.01,1.02,1.04,0.02,352,347,-5,40.13,38.13,-2,0.13,0.22,0.09,172.83,307,25.78,-103.33,40,12.35,,,16,524,0.97037037037,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s258_stc_latevlow_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,latevlow,p1_late_vol_low_intersection_filter,late-session low-volatility intersection filter(후반 세션 낮은 변동성 교차 필터),lateblk+vollowblk,vollowblk,lateblk,Tier A+B,routed_total,102.89,185.38,82.49,1.05,1.08,0.03,378,372,-6,40.43,35.4,-5.03,0.28,0.56,0.28,459.04,270,21.38,-273.66,102,14.02,230.24,26.48,16,524,0.97037037037,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
mt5_rt_s264_aih_latevlow_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,latevlow,p1_late_vol_low_intersection_filter,late-session low-volatility intersection filter(후반 세션 낮은 변동성 교차 필터),lateblk+vollowblk,vollowblk,lateblk,Tier A+B,routed_total,95.56,159.45,63.89,1.05,1.08,0.03,353,348,-5,36.68,31.51,-5.17,0.31,0.59,0.28,436.26,257,16.31,-276.81,91,15.2,231.42,22.94,16,524,0.97037037037,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
