candidate_alias,candidate_role,followup_variant_short,followup_variant_id,axis_decision,pair_role,p1_net_profit,p1_pf,p1_trade_count,p1_dd_percent,net_profit_delta,pf_delta,trade_count_delta,dd_percent_delta,p1_vs_p0_net_profit_delta,p1_vs_p0_trade_count_delta,p1_vs_p0_dd_percent_delta,diagnostic_read
s264_aih,challenger_core,late21,p1_late_hour21_soft_filter,carry_forward_adapter_prototype_axis,primary_adapter_probe_pair(주 어댑터 탐침 쌍),198.2,1.12,312,22.86,102.64,0.07,-41,-13.82,-33.22,4,-0.08,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s258_stc,stress_challenger,late21,p1_late_hour21_soft_filter,carry_forward_adapter_prototype_axis,adapter_stress_or_anchor_pair(어댑터 압박/앵커 쌍),190.46,1.11,332,26.42,87.57,0.06,-46,-14.01,-39.78,4,-0.06,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s264_aia,oos_anchor,late21,p1_late_hour21_soft_filter,carry_forward_adapter_prototype_axis,adapter_stress_or_anchor_pair(어댑터 압박/앵커 쌍),189.67,1.12,313,22.88,102.6,0.07,-41,-14.02,-32.5,4,-0.08,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s264_lc,defensive_control,late21,p1_late_hour21_soft_filter,carry_forward_adapter_prototype_axis,adapter_control_pair(어댑터 대조 쌍),173.26,1.11,309,22.86,101.92,0.07,-41,-14.66,-34.54,4,-0.01,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s262_lih,validation_heavy,late21,p1_late_hour21_soft_filter,carry_forward_adapter_prototype_axis,adapter_control_pair(어댑터 대조 쌍),142.76,1.09,311,25.89,98.27,0.07,-41,-14.24,-30.07,4,0.11,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s264_aih,challenger_core,atrcomp,p1_atr_compression_replacement_filter,carry_forward_p2_replacement_axis,p2_replacement_pair(2차 대체 쌍),269.2,1.16,314,28.73,173.64,0.11,-39,-7.95,-167.06,57,12.42,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s264_aia,oos_anchor,atrcomp,p1_atr_compression_replacement_filter,carry_forward_p2_replacement_axis,p2_replacement_pair(2차 대체 쌍),261.08,1.16,315,28.89,174.01,0.11,-39,-8.01,-175.18,58,12.58,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s258_stc,stress_challenger,atrcomp,p1_atr_compression_replacement_filter,carry_forward_p2_replacement_axis,p2_replacement_pair(2차 대체 쌍),260.91,1.14,334,29.99,158.02,0.09,-44,-10.44,-198.13,64,8.61,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s264_lc,defensive_control,atrcomp,p1_atr_compression_replacement_filter,carry_forward_p2_replacement_axis,p2_replacement_pair(2차 대체 쌍),240.12,1.15,311,28.78,168.78,0.11,-39,-8.74,-176.47,56,11.01,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s258_stc,stress_challenger,vlowadx,p1_vol_low_adx20_25_soft_filter,carry_forward_p2_replacement_axis,p2_replacement_pair(2차 대체 쌍),203.28,1.1,357,39.62,100.39,0.05,-21,-0.81,-255.76,87,18.24,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s262_lih,validation_heavy,atrcomp,p1_atr_compression_replacement_filter,carry_forward_p2_replacement_axis,p2_replacement_pair(2차 대체 쌍),201.92,1.12,313,30.48,157.43,0.1,-39,-9.65,-214.67,58,12.71,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s264_aih,challenger_core,vlowadx,p1_vol_low_adx20_25_soft_filter,carry_forward_p2_replacement_axis,p2_replacement_pair(2차 대체 쌍),196.82,1.11,334,34.07,101.26,0.06,-19,-2.61,-239.44,77,17.76,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s264_aia,oos_anchor,vlowadx,p1_vol_low_adx20_25_soft_filter,carry_forward_p2_replacement_axis,p2_replacement_pair(2차 대체 쌍),196.82,1.11,334,34.07,109.75,0.06,-20,-2.83,-239.44,77,17.76,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
s264_lc,defensive_control,vlowadx,p1_vol_low_adx20_25_soft_filter,carry_forward_p2_replacement_axis,p2_replacement_pair(2차 대체 쌍),175.16,1.1,331,34.39,103.82,0.06,-19,-3.13,-241.43,76,16.62,constructive_soft_axis_candidate_not_selection(건설적인 부드러운 축 후보이나 선택은 아님)
