run_id,session_bucket_id,session_bucket_label,record_view,split,wfo_split_role,tier_scope,route_role,net_profit,profit_factor,trade_count,status
run03R_et_gap_overnight_context_probe_v1,down_open,gap_or_overnight_down_context,mt5_down_open_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,79.4,1.31,43,completed
run03R_et_gap_overnight_context_probe_v1,down_open,gap_or_overnight_down_context,mt5_down_open_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,-220.87,0.03,6,completed
run03R_et_gap_overnight_context_probe_v1,down_open,gap_or_overnight_down_context,mt5_down_open_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,78.19,1.29,48,completed
run03R_et_gap_overnight_context_probe_v1,flat_open,flat_gap_overnight_context,mt5_flat_open_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,95.3,2.02,14,completed
run03R_et_gap_overnight_context_probe_v1,flat_open,flat_gap_overnight_context,mt5_flat_open_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,-70.61,0.24,9,completed
run03R_et_gap_overnight_context_probe_v1,flat_open,flat_gap_overnight_context,mt5_flat_open_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,98.14,1.87,22,completed
run03R_et_gap_overnight_context_probe_v1,up_open,gap_or_overnight_up_context,mt5_up_open_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,-113.01,0.57,35,completed
run03R_et_gap_overnight_context_probe_v1,up_open,gap_or_overnight_up_context,mt5_up_open_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,28.6,1.36,3,completed
run03R_et_gap_overnight_context_probe_v1,up_open,gap_or_overnight_up_context,mt5_up_open_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-103.2,0.6,37,completed
run03R_et_gap_overnight_context_probe_v1,down_open,gap_or_overnight_down_context,mt5_down_open_tier_a_only_oos,oos,test,Tier A,tier_only_total,-2.46,0.86,6,completed
run03R_et_gap_overnight_context_probe_v1,down_open,gap_or_overnight_down_context,mt5_down_open_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,35.33,0,1,completed
run03R_et_gap_overnight_context_probe_v1,down_open,gap_or_overnight_down_context,mt5_down_open_routed_total_oos,oos,test,Tier A+B,routed_total,-11.53,0.56,8,completed
run03R_et_gap_overnight_context_probe_v1,flat_open,flat_gap_overnight_context,mt5_flat_open_tier_a_only_oos,oos,test,Tier A,tier_only_total,-84.02,0.22,11,completed
run03R_et_gap_overnight_context_probe_v1,flat_open,flat_gap_overnight_context,mt5_flat_open_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-41.57,0,2,completed
run03R_et_gap_overnight_context_probe_v1,flat_open,flat_gap_overnight_context,mt5_flat_open_routed_total_oos,oos,test,Tier A+B,routed_total,-115.86,0.17,12,completed
run03R_et_gap_overnight_context_probe_v1,up_open,gap_or_overnight_up_context,mt5_up_open_tier_a_only_oos,oos,test,Tier A,tier_only_total,36.1,2.9,8,completed
run03R_et_gap_overnight_context_probe_v1,up_open,gap_or_overnight_up_context,mt5_up_open_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-5.67,0.26,4,completed
run03R_et_gap_overnight_context_probe_v1,up_open,gap_or_overnight_up_context,mt5_up_open_routed_total_oos,oos,test,Tier A+B,routed_total,25.27,1.96,10,completed
