run_id,session_bucket_id,session_bucket_label,fold_id,attempt_name,split,wfo_split_role,tier_scope,route_role,tester_status,runtime_status,report_status,net_profit,profit_factor,trade_count,report_path
run03R_et_gap_overnight_context_probe_v1,down_open,gap_or_overnight_down_context,fold05,down_open_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,79.4,1.31,43,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03R_et_gap_overnight_context_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03R_et_gap_overnight_context_probe_v1_down_open_tier_a_only_validation_is.htm
run03R_et_gap_overnight_context_probe_v1,down_open,gap_or_overnight_down_context,fold05,down_open_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,-220.87,0.03,6,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03R_et_gap_overnight_context_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03R_et_gap_overnight_context_probe_v1_down_open_tier_b_fallback_only_validation_is.htm
run03R_et_gap_overnight_context_probe_v1,down_open,gap_or_overnight_down_context,fold05,down_open_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,78.19,1.29,48,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03R_et_gap_overnight_context_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03R_et_gap_overnight_context_probe_v1_down_open_routed_validation_is.htm
run03R_et_gap_overnight_context_probe_v1,flat_open,flat_gap_overnight_context,fold05,flat_open_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,95.3,2.02,14,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03R_et_gap_overnight_context_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03R_et_gap_overnight_context_probe_v1_flat_open_tier_a_only_validation_is.htm
run03R_et_gap_overnight_context_probe_v1,flat_open,flat_gap_overnight_context,fold05,flat_open_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,-70.61,0.24,9,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03R_et_gap_overnight_context_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03R_et_gap_overnight_context_probe_v1_flat_open_tier_b_fallback_only_validation_is.htm
run03R_et_gap_overnight_context_probe_v1,flat_open,flat_gap_overnight_context,fold05,flat_open_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,98.14,1.87,22,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03R_et_gap_overnight_context_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03R_et_gap_overnight_context_probe_v1_flat_open_routed_validation_is.htm
run03R_et_gap_overnight_context_probe_v1,up_open,gap_or_overnight_up_context,fold05,up_open_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,-113.01,0.57,35,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03R_et_gap_overnight_context_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03R_et_gap_overnight_context_probe_v1_up_open_tier_a_only_validation_is.htm
run03R_et_gap_overnight_context_probe_v1,up_open,gap_or_overnight_up_context,fold05,up_open_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,28.6,1.36,3,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03R_et_gap_overnight_context_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03R_et_gap_overnight_context_probe_v1_up_open_tier_b_fallback_only_validation_is.htm
run03R_et_gap_overnight_context_probe_v1,up_open,gap_or_overnight_up_context,fold05,up_open_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,-103.2,0.6,37,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03R_et_gap_overnight_context_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03R_et_gap_overnight_context_probe_v1_up_open_routed_validation_is.htm
run03R_et_gap_overnight_context_probe_v1,down_open,gap_or_overnight_down_context,fold05,down_open_tier_a_only_oos,oos,test,Tier A,tier_only_total,completed,completed,completed,-2.46,0.86,6,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03R_et_gap_overnight_context_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03R_et_gap_overnight_context_probe_v1_down_open_tier_a_only_oos.htm
