source,split,trade_count,net_profit,profit_factor,max_hold_config_bars,avg_hold_bars,median_hold_bars,p75_hold_bars,p90_hold_bars,max_hold_bars,gt_12_count,gt_96_count,gt_288_count,gt_96_net_profit,gt_96_profit_factor
mt5_union_run28E,oos,35,92.67,1.430343,12,391.057143,275.0,549.5,855.6,2019.0,33,24,16,83.36,1.45893
mt5_union_run28E,validation,59,202.52,1.771769,12,377.271186,263.0,424.0,935.2,1682.0,52,41,20,231.39,2.147597
