source,split,month,full_trade_count,full_net_profit,full_profit_factor,month_trade_count,month_net_profit,month_profit_factor,month_net_share,without_month_trade_count,without_month_net_profit,without_month_profit_factor
mt5_union_run28E,oos,2025-10,35,92.67,1.430343,10,86.51,4.423427,0.933528,25,6.16,1.032409
mt5_union_run28E,oos,2025-11,35,92.67,1.430343,3,-18.47,0.652558,-0.199309,32,111.14,1.685288
mt5_union_run28E,oos,2025-12,35,92.67,1.430343,7,23.07,2.388922,0.248948,28,69.6,1.350224
mt5_union_run28E,oos,2026-01,35,92.67,1.430343,7,9.66,1.211194,0.104241,28,83.01,1.489446
mt5_union_run28E,oos,2026-02,35,92.67,1.430343,2,45.2,,0.487752,33,47.47,1.220442
mt5_union_run28E,oos,2026-03,35,92.67,1.430343,4,-47.07,0.246759,-0.507931,31,139.74,1.91423
mt5_union_run28E,oos,2026-04,35,92.67,1.430343,2,-6.23,0.483844,-0.067228,33,98.9,1.486545
mt5_union_run28E,validation,2025-01,59,202.52,1.771769,6,33.94,1.6487,0.167588,53,168.58,1.802418
mt5_union_run28E,validation,2025-02,59,202.52,1.771769,5,-15.14,0.394642,-0.074758,54,217.66,1.916849
mt5_union_run28E,validation,2025-03,59,202.52,1.771769,2,-82.34,0.0,-0.406577,57,284.86,2.58194
mt5_union_run28E,validation,2025-05,59,202.52,1.771769,6,60.79,6.393966,0.300168,53,141.73,1.564347
mt5_union_run28E,validation,2025-06,59,202.52,1.771769,12,41.47,2.854651,0.20477,47,161.05,1.670902
mt5_union_run28E,validation,2025-07,59,202.52,1.771769,11,18.74,1.671685,0.092534,48,183.78,1.783677
mt5_union_run28E,validation,2025-08,59,202.52,1.771769,7,20.89,2.030079,0.10315,52,181.63,1.750134
mt5_union_run28E,validation,2025-09,59,202.52,1.771769,10,124.17,6.932633,0.613125,49,78.35,1.324458
python_union,oos,2025-10,32,78.42,1.541089,11,73.51,2.506661,0.937388,21,4.91,1.051071
python_union,oos,2025-11,32,78.42,1.541089,1,23.34,,0.297628,31,55.08,1.380046
python_union,oos,2025-12,32,78.42,1.541089,6,-4.69,0.801691,-0.059806,26,83.11,1.685274
python_union,oos,2026-01,32,78.42,1.541089,8,-9.47,0.789836,-0.12076,24,87.89,1.880044
python_union,oos,2026-02,32,78.42,1.541089,1,13.6,,0.173425,31,64.82,1.44725
python_union,oos,2026-03,32,78.42,1.541089,2,-11.68,0.241558,-0.148942,30,90.1,1.695592
python_union,oos,2026-04,32,78.42,1.541089,3,-6.19,0.485453,-0.078934,29,84.61,1.636644
python_union,validation,2025-01,59,211.31,2.081755,6,38.82,1.917948,0.183711,53,172.49,2.127017
python_union,validation,2025-02,59,211.31,2.081755,5,-5.07,0.797443,-0.023993,54,216.38,2.270507
python_union,validation,2025-03,59,211.31,2.081755,2,1.92,2.010526,0.009086,57,209.39,2.082455
python_union,validation,2025-05,59,211.31,2.081755,7,46.05,2.575436,0.217926,52,165.26,1.994883
python_union,validation,2025-06,59,211.31,2.081755,13,27.85,1.695728,0.131797,46,183.46,2.18125
python_union,validation,2025-07,59,211.31,2.081755,11,11.89,1.427544,0.056268,48,199.42,2.190354
python_union,validation,2025-08,59,211.31,2.081755,5,11.26,1.720871,0.053287,54,200.05,2.11312
python_union,validation,2025-09,59,211.31,2.081755,10,78.59,6.851824,0.371918,49,132.72,1.729592
