rule_id,runtime_split,group,removal_reason,row_count,long_signal_count,long_signal_share,avg_p_long,top_month,top_month_rows
baseline_all_trades,oos,kept,kept_by_rule,630,138,0.219048,0.886832,2025-10,108
baseline_all_trades,oos,removed,none,0,0,,0.0,none,
baseline_all_trades,validation_is,kept,kept_by_rule,966,194,0.200828,0.879573,2025-04,135
baseline_all_trades,validation_is,removed,none,0,0,,0.0,none,
exclude_adx_20_25,oos,kept,kept_by_rule,507,107,0.211045,0.887283,2025-10,92
exclude_adx_20_25,oos,removed,adx_20_25_only,78,28,0.358974,0.927683,2026-01,19
exclude_adx_20_25,oos,removed,both_vol_high_and_adx_20_25,45,3,0.066667,0.810938,2026-03,16
exclude_adx_20_25,validation_is,kept,kept_by_rule,750,155,0.206667,0.87964,2025-04,106
exclude_adx_20_25,validation_is,removed,adx_20_25_only,137,39,0.284672,0.935283,2025-09,25
exclude_adx_20_25,validation_is,removed,both_vol_high_and_adx_20_25,79,0,0.0,0.78232,2025-03,25
exclude_vol_high,oos,kept,kept_by_rule,400,126,0.315,0.923166,2025-10,86
exclude_vol_high,oos,removed,both_vol_high_and_adx_20_25,45,3,0.066667,0.810938,2026-03,16
exclude_vol_high,oos,removed,vol_high_only,185,9,0.048649,0.826733,2026-03,47
exclude_vol_high,validation_is,kept,kept_by_rule,609,188,0.308703,0.922613,2025-06,95
exclude_vol_high,validation_is,removed,both_vol_high_and_adx_20_25,79,0,0.0,0.78232,2025-03,25
exclude_vol_high,validation_is,removed,vol_high_only,278,6,0.021583,0.812923,2025-04,83
exclude_vol_high_and_adx_20_25,oos,kept,kept_by_rule,585,135,0.230769,0.89267,2025-10,104
exclude_vol_high_and_adx_20_25,oos,removed,both_vol_high_and_adx_20_25,45,3,0.066667,0.810938,2026-03,16
exclude_vol_high_and_adx_20_25,validation_is,kept,kept_by_rule,887,194,0.218715,0.888234,2025-04,110
exclude_vol_high_and_adx_20_25,validation_is,removed,both_vol_high_and_adx_20_25,79,0,0.0,0.78232,2025-03,25
exclude_vol_high_or_adx_20_25,oos,kept,kept_by_rule,322,98,0.304348,0.922072,2025-10,74
exclude_vol_high_or_adx_20_25,oos,removed,adx_20_25_only,78,28,0.358974,0.927683,2026-01,19
exclude_vol_high_or_adx_20_25,oos,removed,both_vol_high_and_adx_20_25,45,3,0.066667,0.810938,2026-03,16
exclude_vol_high_or_adx_20_25,oos,removed,vol_high_only,185,9,0.048649,0.826733,2026-03,47
exclude_vol_high_or_adx_20_25,validation_is,kept,kept_by_rule,472,149,0.315678,0.918935,2025-06,79
exclude_vol_high_or_adx_20_25,validation_is,removed,adx_20_25_only,137,39,0.284672,0.935283,2025-09,25
exclude_vol_high_or_adx_20_25,validation_is,removed,both_vol_high_and_adx_20_25,79,0,0.0,0.78232,2025-03,25
exclude_vol_high_or_adx_20_25,validation_is,removed,vol_high_only,278,6,0.021583,0.812923,2025-04,83
