rule_id,split,kept_trade_count,kept_net_profit,kept_profit_factor,kept_expectancy,kept_win_rate_percent,removed_trade_count,removed_net_profit,removed_profit_factor,net_delta_vs_baseline,pf_delta_vs_baseline,trade_delta_vs_baseline
baseline_all_trades,oos,51,62.65,1.224214,1.228431,54.901961,0,0.0,,0.0,0.0,0
baseline_all_trades,validation,77,208.01,1.771465,2.701429,57.142857,0,0.0,,0.0,0.0,0
exclude_adx_20_25,oos,37,49.16,1.280866,1.328649,54.054054,14,13.49,1.129227,-13.49,0.056652,-14
exclude_adx_20_25,validation,64,245.95,2.259087,3.842969,60.9375,13,-37.94,0.489299,37.94,0.487622,-13
exclude_vol_high,oos,44,96.34,1.403637,2.189545,59.090909,7,-33.69,0.173049,33.69,0.179423,-7
exclude_vol_high,validation,72,173.37,1.642992,2.407917,54.166667,5,34.64,,-34.64,-0.128473,-5
exclude_vol_high_and_adx_20_25,oos,49,67.08,1.249572,1.36898,55.102041,2,-4.43,0.583647,4.43,0.025358,-2
exclude_vol_high_and_adx_20_25,validation,77,208.01,1.771465,2.701429,57.142857,0,0.0,,0.0,0.0,0
exclude_vol_high_or_adx_20_25,oos,32,78.42,1.541089,2.450625,59.375,19,-15.77,0.882742,15.77,0.316875,-19
exclude_vol_high_or_adx_20_25,validation,59,211.31,2.081755,3.581525,57.627119,18,-3.3,0.955579,3.3,0.31029,-18
