record_type,feature_index,item_index,value,score_short,score_flat,score_long
intercept,-1,-1,,0,0,0
cut,0,0,-0.5,,,
cut,0,1,0.5,,,
score,0,0,,0.5,-0.5,-0.5
score,0,1,,0.5,-0.5,-0.5
score,0,2,,-0.5,0.5,-0.5
score,0,3,,-0.5,-0.5,0.5
cut,1,0,0.5,,,
cut,1,1,1.5,,,
cut,1,2,2.5,,,
score,1,0,,0,0,0
score,1,1,,0,0,0
score,1,2,,0,0,0
score,1,3,,0.10000000000000001,-0.10000000000000001,0.10000000000000001
score,1,4,,0.14999999999999999,-0.14999999999999999,0.14999999999999999
cut,2,0,0.5,,,
cut,2,1,1.5,,,
score,2,0,,0,0,0
score,2,1,,0,0,0
score,2,2,,0,0,0
score,2,3,,0,0,0
cut,3,0,0.25,,,
cut,3,1,0.5,,,
cut,3,2,0.75,,,
score,3,0,,0,0,0
score,3,1,,-0.025000000000000001,0.050000000000000003,-0.025000000000000001
score,3,2,,-0.050000000000000003,0.10000000000000001,-0.050000000000000003
score,3,3,,-0.074999999999999997,0.14999999999999999,-0.074999999999999997
score,3,4,,-0.10000000000000001,0.20000000000000001,-0.10000000000000001
