ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1__mt5_routed_c01_current_label_reference_tier_a_used_validation_is,41_label_horizon__directional_asymmetric_return_target_rebuild,run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c01_current_label_reference_tier_a_used_validation_is,stage41_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c01_current_label_reference_tier_a_used_validation_is,Tier A,directional_asymmetric_label_horizon_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_negative_memory_runtime_probe_only,,net_profit=None;profit_factor=None;trade_count=None;signal_count=1445;expectancy=None;win_rate=None,route_role=primary_used;a_used=9844;b_fallback=2366;max_dd=None;boundary=runtime_probe_only,completed,"Stage41 directional asymmetric label/horizon MT5 runtime-probe KPI row; no baseline, promotion, runtime authority, live readiness, or operating reference."
run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1__mt5_routed_c01_current_label_reference_tier_b_fallback_used_validation_is,41_label_horizon__directional_asymmetric_return_target_rebuild,run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c01_current_label_reference_tier_b_fallback_used_validation_is,stage41_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c01_current_label_reference_tier_b_fallback_used_validation_is,Tier B,directional_asymmetric_label_horizon_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_negative_memory_runtime_probe_only,,net_profit=None;profit_factor=None;trade_count=None;signal_count=32;expectancy=None;win_rate=None,route_role=fallback_used;a_used=9844;b_fallback=2366;max_dd=None;boundary=runtime_probe_only,completed,"Stage41 directional asymmetric label/horizon MT5 runtime-probe KPI row; no baseline, promotion, runtime authority, live readiness, or operating reference."
run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1__mt5_routed_c01_current_label_reference_validation_is,41_label_horizon__directional_asymmetric_return_target_rebuild,run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c01_current_label_reference_validation_is,stage41_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c01_current_label_reference_validation_is,Tier A+B,directional_asymmetric_label_horizon_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_negative_memory_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1_routed_c01_current_label_reference_validation_is.htm,net_profit=-267.37;profit_factor=0.81;trade_count=214;signal_count=;expectancy=-1.25;win_rate=46.73,route_role=routed_total;a_used=9844;b_fallback=2366;max_dd=374.05;boundary=runtime_probe_only,completed,"Stage41 directional asymmetric label/horizon MT5 runtime-probe KPI row; no baseline, promotion, runtime authority, live readiness, or operating reference."
run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1__mt5_routed_c01_current_label_reference_tier_a_used_oos,41_label_horizon__directional_asymmetric_return_target_rebuild,run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c01_current_label_reference_tier_a_used_oos,stage41_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c01_current_label_reference_tier_a_used_oos,Tier A,directional_asymmetric_label_horizon_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_negative_memory_runtime_probe_only,,net_profit=None;profit_factor=None;trade_count=None;signal_count=1120;expectancy=None;win_rate=None,route_role=primary_used;a_used=7584;b_fallback=1062;max_dd=None;boundary=runtime_probe_only,completed,"Stage41 directional asymmetric label/horizon MT5 runtime-probe KPI row; no baseline, promotion, runtime authority, live readiness, or operating reference."
run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1__mt5_routed_c01_current_label_reference_tier_b_fallback_used_oos,41_label_horizon__directional_asymmetric_return_target_rebuild,run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c01_current_label_reference_tier_b_fallback_used_oos,stage41_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c01_current_label_reference_tier_b_fallback_used_oos,Tier B,directional_asymmetric_label_horizon_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_negative_memory_runtime_probe_only,,net_profit=None;profit_factor=None;trade_count=None;signal_count=57;expectancy=None;win_rate=None,route_role=fallback_used;a_used=7584;b_fallback=1062;max_dd=None;boundary=runtime_probe_only,completed,"Stage41 directional asymmetric label/horizon MT5 runtime-probe KPI row; no baseline, promotion, runtime authority, live readiness, or operating reference."
run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1__mt5_routed_c01_current_label_reference_oos,41_label_horizon__directional_asymmetric_return_target_rebuild,run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c01_current_label_reference_oos,stage41_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c01_current_label_reference_oos,Tier A+B,directional_asymmetric_label_horizon_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_negative_memory_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1_routed_c01_current_label_reference_oos.htm,net_profit=74.54;profit_factor=1.08;trade_count=181;signal_count=;expectancy=0.41;win_rate=55.25,route_role=routed_total;a_used=7584;b_fallback=1062;max_dd=208.66;boundary=runtime_probe_only,completed,"Stage41 directional asymmetric label/horizon MT5 runtime-probe KPI row; no baseline, promotion, runtime authority, live readiness, or operating reference."
run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1__mt5_routed_c02_long_horizon_longer_short_same_tier_a_used_validation_is,41_label_horizon__directional_asymmetric_return_target_rebuild,run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c02_long_horizon_longer_short_same_tier_a_used_validation_is,stage41_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c02_long_horizon_longer_short_same_tier_a_used_validation_is,Tier A,directional_asymmetric_label_horizon_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_negative_memory_runtime_probe_only,,net_profit=None;profit_factor=None;trade_count=None;signal_count=1102;expectancy=None;win_rate=None,route_role=primary_used;a_used=9844;b_fallback=2366;max_dd=None;boundary=runtime_probe_only,completed,"Stage41 directional asymmetric label/horizon MT5 runtime-probe KPI row; no baseline, promotion, runtime authority, live readiness, or operating reference."
run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1__mt5_routed_c02_long_horizon_longer_short_same_tier_b_fallback_used_validation_is,41_label_horizon__directional_asymmetric_return_target_rebuild,run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c02_long_horizon_longer_short_same_tier_b_fallback_used_validation_is,stage41_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c02_long_horizon_longer_short_same_tier_b_fallback_used_validation_is,Tier B,directional_asymmetric_label_horizon_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_negative_memory_runtime_probe_only,,net_profit=None;profit_factor=None;trade_count=None;signal_count=0;expectancy=None;win_rate=None,route_role=fallback_used;a_used=9844;b_fallback=2366;max_dd=None;boundary=runtime_probe_only,completed,"Stage41 directional asymmetric label/horizon MT5 runtime-probe KPI row; no baseline, promotion, runtime authority, live readiness, or operating reference."
run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1__mt5_routed_c02_long_horizon_longer_short_same_validation_is,41_label_horizon__directional_asymmetric_return_target_rebuild,run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c02_long_horizon_longer_short_same_validation_is,stage41_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c02_long_horizon_longer_short_same_validation_is,Tier A+B,directional_asymmetric_label_horizon_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_negative_memory_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1_routed_c02_long_horizon_longer_short_same_validation_is.htm,net_profit=-301.33;profit_factor=0.74;trade_count=135;signal_count=;expectancy=-2.23;win_rate=47.41,route_role=routed_total;a_used=9844;b_fallback=2366;max_dd=525.57;boundary=runtime_probe_only,completed,"Stage41 directional asymmetric label/horizon MT5 runtime-probe KPI row; no baseline, promotion, runtime authority, live readiness, or operating reference."
run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1__mt5_routed_c02_long_horizon_longer_short_same_tier_a_used_oos,41_label_horizon__directional_asymmetric_return_target_rebuild,run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c02_long_horizon_longer_short_same_tier_a_used_oos,stage41_run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1,mt5_routed_c02_long_horizon_longer_short_same_tier_a_used_oos,Tier A,directional_asymmetric_label_horizon_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_negative_memory_runtime_probe_only,,net_profit=None;profit_factor=None;trade_count=None;signal_count=798;expectancy=None;win_rate=None,route_role=primary_used;a_used=7584;b_fallback=1062;max_dd=None;boundary=runtime_probe_only,completed,"Stage41 directional asymmetric label/horizon MT5 runtime-probe KPI row; no baseline, promotion, runtime authority, live readiness, or operating reference."
