run_id,axis,segment_id,synthetic_short_net_profit,synthetic_short_profit_factor,synthetic_short_trade_count,synthetic_short_expectancy,synthetic_short_win_rate_percent,p_short_mean,margin_mean,segment_status,claim_boundary
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_hour(진입시),17,29.38,1.2655745708,36,0.816,52.7777777778,0.4549525397,0.0849170461,positive_clue(긍정 단서),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_hour(진입시),18,-24.81,0.6969260092,18,-1.3781111111,38.8888888889,0.447374483,0.0768682228,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_hour(진입시),19,-38.57,0.5384900738,17,-2.2686470588,29.4117647059,0.4460529738,0.0742352693,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_hour(진입시),20,-4.06,0.8343330477,9,-0.4511111111,55.5555555556,0.4487514827,0.0870545805,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2025-01,12.3,1.5760101128,8,1.537875,62.5,0.4457930066,0.071324639,positive_clue(긍정 단서),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2025-02,19.04,2.3362335111,6,3.174,66.6666666667,0.4498512745,0.0851203352,positive_clue(긍정 단서),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2025-03,-23.38,0.7048484848,17,-1.3750588235,41.1764705882,0.4533078653,0.0697256467,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2025-04,9.72,1.3406246714,6,1.6195,66.6666666667,0.448093315,0.0745926499,positive_clue(긍정 단서),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2025-05,-15.51,0.0,3,-5.17,0.0,0.4475106696,0.0732935468,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2025-06,-15.09,0.0,2,-7.545,0.0,0.4478283822,0.0811662972,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2025-07,-2.86,0.0,1,-2.857,0.0,0.4677704275,0.1070936025,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2025-08,-7.67,0.5012360135,4,-1.91675,25.0,0.4608025849,0.1101220697,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2025-09,1.92,3.0338624339,2,0.961,50.0,0.4443713725,0.0759039819,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2025-10,-4.12,0.8042041185,4,-1.02925,50.0,0.4437906891,0.0837960691,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2025-11,-14.98,0.0069610183,4,-3.74475,25.0,0.4527520835,0.1020611897,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2025-12,-23.68,0.2598681126,4,-5.9205,25.0,0.4535021857,0.0908679664,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2026-01,-1.18,0.9144832606,5,-0.235,20.0,0.4509652853,0.092275852,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2026-02,30.29,3.7548885857,6,5.0483333333,66.6666666667,0.4480759551,0.0832883319,positive_clue(긍정 단서),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2026-03,6.63,2.3076923077,7,0.9471428571,71.4285714286,0.4528870838,0.0776185947,positive_clue(긍정 단서),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,entry_month(진입월),2026-04,-9.51,0.0,1,-9.51,0.0,0.4408668578,0.0789780617,watch_or_negative(관찰 또는 음수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
