run_id,axis,segment_id,net_profit,profit_factor,expectancy,trade_count,trade_density_per_business_day,closed_drawdown_amount,closed_drawdown_percent,recovery_factor,long_trade_count,short_trade_count,short_share,win_rate_percent,segment_status,claim_boundary
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,quarter(분기),2025Q1,161.91,1.3653943366,0.9147740113,177,2.8548387097,48.74,9.789310892,3.3220147723,141,36,0.2033898305,52.5423728814,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,quarter(분기),2025Q2,307.37,1.4041045463,1.1687072243,263,4.0461538462,67.67,12.5076243462,4.5421900399,240,23,0.0874524715,52.4714828897,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,quarter(분기),2025Q3,56.93,1.2087385049,0.4248358209,134,2.0303030303,29.637,5.7006289792,1.9208421905,124,10,0.0746268657,46.2686567164,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,quarter(분기),2025Q4,276.45,1.4978703479,1.2396636771,223,3.4307692308,58.395,7.3379450738,4.734052573,198,25,0.1121076233,57.399103139,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,quarter(분기),2026Q1,211.22,1.5325903326,1.166961326,181,2.9193548387,52.755,10.3107593081,4.0037911098,152,29,0.1602209945,55.8011049724,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,quarter(분기),2026Q2,23.29,1.2319721116,0.5063043478,46,5.1111111111,45.22,8.4961671426,0.515037594,46,0,0.0,56.5217391304,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2025-01,76.45,1.3382189642,0.858988764,89,4.0454545455,48.74,9.789310892,1.5685268773,80,9,0.1011235955,51.6853932584,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2025-02,94.73,1.5334572281,1.2800810811,74,3.7,35.83,5.9640525596,2.6437622104,61,13,0.1756756757,55.4054054054,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2025-03,-9.26,0.7656451654,-0.6615,14,0.7,14.845,3.0221720959,-0.6238464129,0,14,1.0,42.8571428571,stress_watch(압박 관찰),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2025-04,205.24,1.4179957109,1.6962231405,121,5.5,67.67,12.5076243462,3.0329983745,104,17,0.1404958678,50.4132231405,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2025-05,43.41,1.2756472538,0.57876,75,3.4090909091,39.25,7.296759681,1.105910828,70,5,0.0666666667,54.6666666667,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2025-06,58.72,1.5236778739,0.8764179104,67,3.1904761905,23.52,4.424545694,2.4965986395,66,1,0.0149253731,53.7313432836,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2025-07,9.23,1.1305626653,0.2638,35,1.5217391304,29.637,5.7006289792,0.3115362554,33,2,0.0571428571,51.4285714286,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2025-08,10.8,1.1045971224,0.2348478261,46,2.1904761905,26.247,5.1609922036,0.411589896,41,5,0.1086956522,43.4782608696,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2025-09,36.89,1.3736844771,0.6960754717,53,2.5238095238,26.553,5.0888288392,1.389372199,50,3,0.0566037736,45.2830188679,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2025-10,38.53,1.1914343916,0.493974359,78,3.3913043478,38.73,6.9443448325,0.9948360444,71,7,0.0897435897,56.4102564103,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2025-11,247.67,2.2757546101,2.9840361446,83,4.6111111111,35.89,5.8060810975,6.9009473391,71,12,0.1445783133,61.4457831325,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2025-12,-9.76,0.9389408489,-0.1574193548,62,2.8181818182,58.395,11.4592123079,-0.1671375974,56,6,0.0967741935,53.2258064516,stress_watch(압박 관찰),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2026-01,46.53,1.2754966103,0.5744444444,81,3.8571428571,52.755,10.3107593081,0.882001706,75,6,0.0740740741,48.1481481481,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2026-02,151.19,1.6793071687,1.6433695652,92,4.6,41.22,7.3300198277,3.6678796701,77,15,0.1630434783,61.9565217391,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2026-03,13.5,3.6315789474,1.6875,8,0.4444444444,3.21,0.6357190953,4.2056074766,0,8,1.0,62.5,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,month(월),2026-04,23.29,1.2319721116,0.5063043478,46,5.1111111111,45.22,8.4961671426,0.515037594,46,0,0.0,56.5217391304,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,hour(시),16,29.87,1.0691979799,0.2315503876,129,0.3885542169,70.99,12.7549616821,0.4207634878,129,0,0.0,54.2635658915,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,hour(시),17,241.47,1.3423626776,0.786534202,307,0.9219219219,98.715,16.3764586437,2.4460922859,250,57,0.1856677524,54.7231270358,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,hour(시),18,51.79,1.0983180196,0.2322421525,223,0.6696696697,96.02,18.5277375784,0.5393667986,199,24,0.1076233184,51.5695067265,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,hour(시),19,37.41,1.1161296331,0.2771111111,135,0.4054054054,52.71,9.7612918758,0.7097324986,118,17,0.1259259259,54.0740740741,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,hour(시),20,190.84,1.698773388,1.4680153846,130,0.3915662651,56.435,8.0389218571,3.3816248782,112,18,0.1384615385,52.3076923077,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,hour(시),21,293.88,2.1919691746,3.3395454545,88,0.2666666667,34.42,5.1509186352,8.5380592679,81,7,0.0795454545,51.1363636364,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BN_review_h19_stress_short_balance_proxy_scout_without_db_v1,hour(시),22,191.91,9.2719827586,15.9925,12,0.0434782609,19.39,3.7988323342,9.8973697782,12,0,0.0,75.0,positive(양수),research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
