side,pnl,entry_hour,entry_month,entry_quarter,source,entry_time,exit_time
long,-10.4,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-02 17:00:00,2025-01-02 17:30:00
long,-3.76,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-02 17:35:00,2025-01-02 18:10:00
long,1.71,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-02 18:25:00,2025-01-02 18:55:00
long,-16.61,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-02 19:00:00,2025-01-02 19:30:00
short,1.71,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-02 19:45:00,2025-01-02 20:15:00
short,-0.72,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-02 20:40:00,2025-01-02 20:50:00
long,5.16,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-02 20:50:00,2025-01-02 21:20:00
long,-1.0,16,2025-01,2025Q1,parent_kept(부모 유지),2025-01-03 16:40:00,2025-01-03 17:10:00
long,2.53,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-03 17:15:00,2025-01-03 17:45:00
long,0.29,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-03 17:50:00,2025-01-03 18:20:00
long,8.63,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-03 18:25:00,2025-01-03 18:55:00
long,-1.61,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-03 19:00:00,2025-01-03 19:30:00
long,1.19,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-03 19:35:00,2025-01-03 20:10:00
long,4.63,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-03 20:25:00,2025-01-03 20:55:00
long,3.32,21,2025-01,2025Q1,parent_kept(부모 유지),2025-01-03 21:05:00,2025-01-03 21:40:00
long,2.82,16,2025-01,2025Q1,parent_kept(부모 유지),2025-01-06 16:50:00,2025-01-06 17:25:00
long,-0.02,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-06 17:30:00,2025-01-06 18:05:00
long,-2.55,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-06 18:15:00,2025-01-06 19:00:00
long,-3.95,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-06 19:20:00,2025-01-06 20:00:00
long,-5.08,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-06 20:20:00,2025-01-06 20:50:00
long,-13.58,16,2025-01,2025Q1,parent_kept(부모 유지),2025-01-07 16:40:00,2025-01-07 17:10:00
short,11.53,17,2025-01,2025Q1,synthetic_short(합성 숏),2025-01-07 17:25:00,2025-01-07 17:55:00
long,-3.27,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-07 18:05:00,2025-01-07 18:35:00
long,-3.96,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-07 18:45:00,2025-01-07 19:15:00
long,4.89,16,2025-01,2025Q1,parent_kept(부모 유지),2025-01-08 16:40:00,2025-01-08 17:10:00
long,6.26,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-08 17:15:00,2025-01-08 17:45:00
long,-2.28,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-08 18:00:00,2025-01-08 18:30:00
long,-1.47,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-08 18:35:00,2025-01-08 19:05:00
long,6.56,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-08 20:10:00,2025-01-08 20:40:00
long,-4.96,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-08 20:45:00,2025-01-08 21:15:00
long,-8.15,21,2025-01,2025Q1,parent_kept(부모 유지),2025-01-08 21:30:00,2025-01-08 22:00:00
short,-17.23,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-10 17:10:00,2025-01-10 17:40:00
long,-4.05,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-10 18:30:00,2025-01-10 19:00:00
short,-7.43,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-10 19:05:00,2025-01-10 19:35:00
long,9.12,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-13 17:20:00,2025-01-13 17:50:00
long,-1.2,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-13 18:05:00,2025-01-13 18:35:00
long,3.77,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-13 18:50:00,2025-01-13 19:25:00
long,0.98,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-13 20:05:00,2025-01-13 20:40:00
long,-6.55,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-13 20:50:00,2025-01-13 21:20:00
long,12.72,21,2025-01,2025Q1,parent_kept(부모 유지),2025-01-13 21:55:00,2025-01-14 16:55:00
long,-2.31,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-14 17:05:00,2025-01-14 17:35:00
long,-6.95,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-14 17:50:00,2025-01-14 18:20:00
long,10.96,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-14 20:15:00,2025-01-14 20:50:00
long,-2.15,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-14 20:55:00,2025-01-14 21:30:00
long,-0.68,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-15 17:50:00,2025-01-15 18:20:00
long,-7.23,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-15 18:25:00,2025-01-15 18:55:00
long,4.38,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-15 19:15:00,2025-01-15 19:45:00
long,0.89,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-15 19:50:00,2025-01-15 20:25:00
long,6.56,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-16 17:35:00,2025-01-16 18:15:00
long,-5.66,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-16 18:20:00,2025-01-16 18:50:00
long,3.14,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-16 18:55:00,2025-01-16 19:25:00
long,-3.65,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-16 19:30:00,2025-01-16 20:00:00
long,16.15,21,2025-01,2025Q1,parent_kept(부모 유지),2025-01-16 21:40:00,2025-01-17 16:45:00
long,6.42,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-17 17:30:00,2025-01-17 18:35:00
long,-1.66,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-17 18:40:00,2025-01-17 19:15:00
long,-3.94,21,2025-01,2025Q1,parent_kept(부모 유지),2025-01-17 21:25:00,2025-01-21 16:55:00
short,-0.907,17,2025-01,2025Q1,synthetic_short(합성 숏),2025-01-21 17:00:00,2025-01-21 17:30:00
long,0.84,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-21 17:30:00,2025-01-21 18:10:00
long,1.89,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-21 18:15:00,2025-01-21 19:05:00
long,8.31,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-21 19:10:00,2025-01-21 21:05:00
long,6.53,16,2025-01,2025Q1,parent_kept(부모 유지),2025-01-22 16:45:00,2025-01-22 17:35:00
long,6.47,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-22 18:00:00,2025-01-22 18:50:00
long,0.44,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-22 20:25:00,2025-01-22 21:20:00
long,-3.46,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-24 17:05:00,2025-01-24 18:20:00
long,-4.31,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-24 20:00:00,2025-01-24 20:55:00
long,1.67,16,2025-01,2025Q1,parent_kept(부모 유지),2025-01-27 16:45:00,2025-01-27 17:15:00
long,12.01,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-27 17:20:00,2025-01-27 17:50:00
long,-10.25,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-27 18:00:00,2025-01-27 18:30:00
short,-1.8,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-27 19:00:00,2025-01-27 19:30:00
long,18.07,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-28 17:00:00,2025-01-28 17:30:00
long,2.13,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-28 17:35:00,2025-01-28 18:05:00
long,-1.8,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-28 18:10:00,2025-01-28 18:40:00
long,12.48,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-28 18:45:00,2025-01-28 19:20:00
long,0.66,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-28 19:25:00,2025-01-28 20:10:00
long,-2.77,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-28 20:30:00,2025-01-28 21:05:00
long,7.51,21,2025-01,2025Q1,parent_kept(부모 유지),2025-01-28 21:15:00,2025-01-28 21:45:00
long,-6.31,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-29 17:15:00,2025-01-29 17:45:00
