candidate_id,family,split,selection_role,baseline_trade_count,kept_trade_count,vetoed_trade_count,kept_fraction,baseline_net_profit,kept_net_profit,vetoed_net_profit,net_delta_vs_baseline,baseline_profit_factor,kept_profit_factor,profit_factor_delta,baseline_drawdown_percent_proxy,kept_drawdown_percent_proxy,drawdown_delta_proxy,baseline_trades_per_day,kept_trades_per_day,baseline_proxy_win_count,kept_proxy_win_count,baseline_proxy_win_runtime_loss_count,kept_proxy_win_runtime_loss_count,vetoed_proxy_win_runtime_loss_count,proxy_win_runtime_loss_capture_rate,baseline_proxy_win_runtime_loss_rate,kept_proxy_win_runtime_loss_rate,reversal_rate_reduction,runtime_winner_count,vetoed_runtime_winner_count,false_veto_runtime_winner_rate,kept_gross_profit,kept_gross_loss,kept_win_rate_percent,kept_avg_win,kept_avg_loss,kept_payoff_ratio,kept_expectancy,kept_recovery_factor,kept_time_under_water_proxy_rows,kept_max_consecutive_loss,kept_long_trade_count,kept_short_trade_count
f85b_first_touch_surrogate_001,first_touch_surrogate,validation,selection,2326,2307,19,0.9918314703353397,-378.76,-379.77,1.0100000000000002,-1.009999999999991,0.712184075745832,0.7093626595646982,-0.00282141618113374,76.3439999999995,76.5459999999995,0.20199999999999818,8.67910447761194,8.60820895522388,1089,1075,795,787,8,0.010062893081761006,0.7300275482093664,0.7320930232558139,-0.002065475046447496,638,7,0.0109717868338558,926.91,-1306.68,27.351538794971823,1.4689540412044373,-0.7796420047732697,1.88413917183904,-0.16461638491547465,-0.9922660883651726,2304,20,2307,0
f85b_first_touch_surrogate_001,first_touch_surrogate,oos,locked_readout_only,1801,1761,40,0.9777901166018879,-133.51,-131.48000000000002,-2.0300000000000002,2.0299999999999727,0.8598276061188279,0.8588134228187919,-0.0010141833000359979,30.239999999999682,30.327999999999662,0.08799999999997965,9.33160621761658,9.124352331606218,821,800,560,544,16,0.02857142857142857,0.682095006090134,0.68,0.0020950060901339107,556,13,0.023381294964028777,799.77,-931.25,30.834752981260646,1.4728729281767956,-0.7645730706075534,1.9263991694167377,-0.07466212379329927,-0.8670535478765595,1741,19,1761,0
f85b_first_touch_surrogate_002,first_touch_surrogate,validation,selection,2326,2320,6,0.9974204643164231,-378.76,-378.54,-0.2200000000000002,0.21999999999997044,0.712184075745832,0.711676441465458,-0.0005076342803739253,76.3439999999995,76.2999999999995,-0.04399999999999693,8.67910447761194,8.656716417910447,1089,1086,795,793,2,0.0025157232704402514,0.7300275482093664,0.7302025782688766,-0.0001750300595101395,638,2,0.003134796238244514,934.3599999999999,-1312.9,27.413793103448278,1.4691194968553458,-0.7796318289786224,1.8843759865217475,-0.16316379310344828,-0.9922411533420773,2317,21,2320,0
f85b_first_touch_surrogate_002,first_touch_surrogate,oos,locked_readout_only,1801,1784,17,0.9905607995558023,-133.51,-131.46000000000004,-2.05,2.0499999999999545,0.8598276061188279,0.8605894142973797,0.0007618081785517594,30.239999999999682,30.169999999999657,-0.07000000000002515,9.33160621761658,9.243523316062177,821,812,560,554,6,0.010714285714285714,0.682095006090134,0.6822660098522167,-0.00017100376208278867,556,5,0.008992805755395683,811.51,-942.9699999999999,30.885650224215247,1.4727949183303086,-0.7647769667477696,1.925783571376895,-0.07368834080717492,-0.8714617169373651,1764,19,1784,0
f85b_first_touch_surrogate_003,first_touch_surrogate,validation,selection,2326,2325,1,0.9995700773860705,-378.76,-378.01,-0.75,0.75,0.712184075745832,0.7125901933502126,0.00040611760438058475,76.3439999999995,76.19399999999949,-0.15000000000000568,8.67910447761194,8.675373134328359,1089,1089,795,795,0,0.0,0.7300275482093664,0.7300275482093664,0.0,638,0,0.0,937.22,-1315.23,27.440860215053764,1.4689968652037617,-0.7796265560165975,1.8842314360216434,-0.16258494623655914,-0.9922303593458868,2322,21,2325,0
f85b_first_touch_surrogate_003,first_touch_surrogate,oos,locked_readout_only,1801,1800,1,0.9994447529150472,-133.51,-132.57000000000002,-0.94,0.9399999999999693,0.8598276061188279,0.8606770149128247,0.0008494087939967532,30.239999999999682,30.051999999999673,-0.1880000000000095,9.33160621761658,9.32642487046632,821,821,560,560,0,0.0,0.682095006090134,0.682095006090134,0.0,556,0,0.0,818.96,-951.53,30.88888888888889,1.4729496402877698,-0.764895498392283,1.9256874218553124,-0.07365000000000001,-0.8822707307334051,1782,19,1800,0
f85b_first_touch_surrogate_004,first_touch_surrogate,validation,selection,2326,2272,54,0.9767841788478074,-378.76,-371.64,-7.119999999999999,7.1200000000000045,0.712184075745832,0.7109187221431403,-0.0012653536026916434,76.3439999999995,74.9199999999995,-1.4239999999999924,8.67910447761194,8.477611940298507,1089,1058,795,776,19,0.02389937106918239,0.7300275482093664,0.7334593572778828,-0.003431809068516367,638,16,0.025078369905956112,913.9499999999999,-1285.5900000000001,27.37676056338028,1.4693729903536976,-0.7791454545454546,1.885877639125694,-0.16357394366197184,-0.9920982381206687,2269,25,2272,0
f85b_first_touch_surrogate_004,first_touch_surrogate,oos,locked_readout_only,1801,1712,89,0.9505830094392005,-133.51,-127.46000000000001,-6.050000000000002,6.049999999999983,0.8598276061188279,0.8592208882360087,-0.0006067178828191855,30.239999999999682,29.527999999999665,-0.7120000000000175,9.33160621761658,8.870466321243523,821,773,560,525,35,0.0625,0.682095006090134,0.6791720569210866,0.0029229491690473397,556,28,0.050359712230215826,777.93,-905.39,30.8411214953271,1.4733522727272725,-0.7646875,1.9267377493777165,-0.07445093457943926,-0.8633161744784709,1692,19,1712,0
f85b_first_touch_surrogate_005,first_touch_surrogate,validation,selection,2326,2307,19,0.9918314703353397,-378.76,-372.16999999999996,-6.589999999999999,6.590000000000032,0.712184075745832,0.7145213129089416,0.002337237163109629,76.3439999999995,75.02599999999951,-1.3179999999999836,8.67910447761194,8.60820895522388,1089,1083,795,790,5,0.006289308176100629,0.7300275482093664,0.7294552169898431,0.000572331219523381,638,4,0.006269592476489028,931.5,-1303.67,27.481577806675336,1.4692429022082019,-0.7792408846383743,1.8854797421082954,-0.16132206328565235,-0.992109402073954,2304,20,2307,0
f85b_first_touch_surrogate_005,first_touch_surrogate,oos,locked_readout_only,1801,1770,31,0.9827873403664631,-133.51,-127.46000000000001,-6.05,6.049999999999983,0.8598276061188279,0.8636339321058318,0.0038063259870039223,30.239999999999682,29.51399999999965,-0.7260000000000311,9.33160621761658,9.17098445595855,821,804,560,547,13,0.023214285714285715,0.682095006090134,0.6803482587064676,0.0017467473836663139,556,8,0.014388489208633094,807.23,-934.69,30.96045197740113,1.4730474452554745,-0.764885433715221,1.9258406296228585,-0.07201129943502825,-0.8637256895032969,1750,19,1770,0
