f85b_candidate_id,split,row_index,timestamp_utc,decision,session_bucket,hour_utc,p_short,p_flat,p_long,f85b_side_prob,f85b_probability_margin,f85b_flat_pressure,atr_points,open_sl_points,open_tp_points,f85b_atr_sl_ratio,computed_lot,f85b_veto,f85b_keep,runtime_net,proxy_win,runtime_win_bool,proxy_win_runtime_loss,proxy_loss_runtime_win,proxy_both_hit,proxy_exit_path_label,input_hash,target_candidate_id,source_candidate_id,runtime_wrapper_id
f85b_first_touch_surrogate_003,oos,39176,2025-10-03 16:35:00+00:00,long,cash_open_or_pre_open,16,0.0,0.4945895076,0.5054104924,0.5054104924,0.010820984800000044,-0.010820984800000044,1338.3571428571,700.0,1400.0,1.9119387755101427,0.1,False,True,-0.72,False,False,False,False,False,sl_expected,6A6E949BF1AC885C,f84b_00287,f84b_00287,f84c_runtime_f84b_00287
f85b_first_touch_surrogate_003,oos,39177,2025-10-03 16:40:00+00:00,long,cash_open_or_pre_open,16,0.0,0.4931316972,0.5068683028,0.5068683028,0.013736605599999951,-0.013736605599999951,1475.0,700.0,1400.0,2.107142857142857,0.1,False,True,-0.75,True,False,True,False,True,both_hit_close_direction,7EDF94550589ECD3,f84b_00287,f84b_00287,f84c_runtime_f84b_00287
f85b_first_touch_surrogate_003,oos,39289,2025-10-07 16:40:00+00:00,long,cash_open_or_pre_open,16,0.0,0.4984049797,0.5015950203,0.5015950203,0.0031900406000000547,-0.0031900406000000547,1509.0,700.0,1400.0,2.1557142857142857,0.1,False,True,-0.72,False,False,False,False,False,sl_expected,29DEA27820D8D00B,f84b_00287,f84b_00287,f84c_runtime_f84b_00287
f85b_first_touch_surrogate_003,oos,39290,2025-10-07 16:45:00+00:00,long,cash_open_or_pre_open,16,0.0,0.4987078905,0.5012921095,0.5012921095,0.0025842190000000542,-0.0025842190000000542,1596.5,700.0,1400.0,2.2807142857142857,0.1,False,True,-0.71,False,False,False,False,False,sl_expected,B104407F0151046F,f84b_00287,f84b_00287,f84c_runtime_f84b_00287
f85b_first_touch_surrogate_003,oos,39291,2025-10-07 16:55:00+00:00,long,cash_open_or_pre_open,16,0.0,0.4989386797,0.5010613203,0.5010613203,0.0021226405999999476,-0.0021226405999999476,1759.8571428571,700.0,1400.0,2.5140816326529998,0.1,False,True,1.41,False,True,False,True,False,sl_expected,29F24772D22AFC52,f84b_00287,f84b_00287,f84c_runtime_f84b_00287
f85b_first_touch_surrogate_003,oos,39292,2025-10-07 17:00:00+00:00,long,cash_mid,17,0.0,0.4954666495,0.5045333505,0.5045333505,0.00906670100000001,-0.00906670100000001,1888.5,700.0,1400.0,2.697857142857143,0.1,False,True,-0.72,True,False,True,False,False,tp_expected,4ECC8AC444E604B2,f84b_00287,f84b_00287,f84c_runtime_f84b_00287
f85b_first_touch_surrogate_003,oos,39307,2025-10-07 18:20:00+00:00,long,cash_mid,18,0.0,0.4923587441,0.5076412559,0.5076412559,0.015282511799999954,-0.015282511799999954,3208.8571428571,700.0,1400.0,4.584081632653,0.1,False,True,1.58,False,True,False,True,False,sl_expected,C6C03F9AE5C6AE36,f84b_00287,f84b_00287,f84c_runtime_f84b_00287
f85b_first_touch_surrogate_003,oos,39308,2025-10-07 18:25:00+00:00,long,cash_mid,18,0.0,0.4930043221,0.5069956779,0.5069956779,0.013991355799999994,-0.013991355799999994,3287.4285714285,700.0,1400.0,4.696326530612143,0.1,False,True,-0.73,False,False,False,False,False,sl_expected,84C2A789ED23CDE2,f84b_00287,f84b_00287,f84c_runtime_f84b_00287
f85b_first_touch_surrogate_003,oos,39309,2025-10-07 18:30:00+00:00,long,cash_mid,18,0.0,0.4948279262,0.5051720738,0.5051720738,0.010344147599999964,-0.010344147599999964,3568.6428571428,700.0,1400.0,5.098061224489714,0.1,False,True,-0.72,False,False,False,False,True,both_hit_close_direction,4FB5FE0C89F14237,f84b_00287,f84b_00287,f84c_runtime_f84b_00287
f85b_first_touch_surrogate_003,oos,39347,2025-10-08 16:40:00+00:00,long,cash_open_or_pre_open,16,0.0,0.4947673082,0.5052326918,0.5052326918,0.010465383599999989,-0.010465383599999989,1799.0,700.0,1400.0,2.57,0.1,False,True,-0.75,True,False,True,False,False,tp_expected,A704C8F23DD0CF38,f84b_00287,f84b_00287,f84c_runtime_f84b_00287
