record_view,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,tier_b_fallback_used_count,tier_b_fallback_order_fill_count,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_ta_s264_aih_shared_state_breakout_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,shared_weakness_state_interaction,shared_weakness_state_interaction,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,401,1236.99,4315.96,-3078.97,1.401754,3.084763,0.55611,19.354081,-17.297584,1.118889,358.8,26.243801,177,0.84788,6,3.447575,26.93,26.24,3.33,0,0,0.75,3,2024-12,-217.73,2024-10,320.51,697.78,61.89,477.32,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_01_s264_aih_shared_state_breakout_ta_2024.png,profit_with_curve_risk_watch(수익은 있으나 곡선 위험 관찰)
mt5_rt_s264_aih_shared_state_breakout_historical_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,shared_weakness_state_interaction,shared_weakness_state_interaction,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,401,1236.99,4315.96,-3078.97,1.401754,3.084763,0.55611,19.354081,-17.297584,1.118889,358.8,26.243801,177,0.84788,6,3.447575,26.93,26.24,3.33,0,0,0.75,3,2024-12,-217.73,2024-10,320.51,697.78,61.89,477.32,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_01_s264_aih_shared_state_breakout_rt_2024.png,profit_with_curve_risk_watch(수익은 있으나 곡선 위험 관찰)
mt5_ta_s264_lc_shared_state_breakout_historical_2024,s264_lowrank_control,s264_lc,defensive_control,shared_weakness_state_interaction,shared_weakness_state_interaction,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,445,1883.88,5551.35,-3667.47,1.513673,4.233438,0.570787,21.855709,-19.201414,1.138234,316.97,22.140652,149,0.817978,7,5.943402,13.52,22.14,5.39,0,0,0.75,3,2024-06,-191.47,2024-11,536.57,800.76,270.1,813.02,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_02_s264_lc_shared_state_breakout_ta_2024.png,profit_with_curve_risk_watch(수익은 있으나 곡선 위험 관찰)
mt5_rt_s264_lc_shared_state_breakout_historical_2024,s264_lowrank_control,s264_lc,defensive_control,shared_weakness_state_interaction,shared_weakness_state_interaction,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,445,1883.88,5551.35,-3667.47,1.513673,4.233438,0.570787,21.855709,-19.201414,1.138234,316.97,22.140652,149,0.817978,7,5.943402,13.52,22.14,5.39,0,0,0.75,3,2024-06,-191.47,2024-11,536.57,800.76,270.1,813.02,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_02_s264_lc_shared_state_breakout_rt_2024.png,profit_with_curve_risk_watch(수익은 있으나 곡선 위험 관찰)
mt5_ta_s262_lih_shared_state_breakout_historical_2024,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,shared_weakness_state_interaction,shared_weakness_state_interaction,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,423,1216.12,4268.79,-3052.67,1.398379,2.874988,0.555556,18.165064,-16.237606,1.118703,335.14,25.228087,183,0.843972,6,3.628692,25.94,25.23,3.5,0,0,0.75,3,2024-12,-138.46,2024-11,313.97,694.0,19.08,503.04,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_03_s262_lih_shared_state_breakout_ta_2024.png,profit_with_curve_risk_watch(수익은 있으나 곡선 위험 관찰)
mt5_rt_s262_lih_shared_state_breakout_historical_2024,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,shared_weakness_state_interaction,shared_weakness_state_interaction,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,423,1216.12,4268.79,-3052.67,1.398379,2.874988,0.555556,18.165064,-16.237606,1.118703,335.14,25.228087,183,0.843972,6,3.628692,25.94,25.23,3.5,0,0,0.75,3,2024-12,-138.46,2024-11,313.97,694.0,19.08,503.04,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_03_s262_lih_shared_state_breakout_rt_2024.png,profit_with_curve_risk_watch(수익은 있으나 곡선 위험 관찰)
mt5_ta_s264_aia_shared_state_breakout_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,shared_weakness_state_interaction,shared_weakness_state_interaction,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,424,1659.28,4772.1,-3112.82,1.533047,3.913396,0.573113,19.638272,-17.197901,1.141899,368.31,27.503472,186,0.820755,6,4.505118,28.17,27.5,4.36,0,0,0.75,3,2024-06,-165.39,2024-10,457.44,706.02,-2.53,955.79,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_04_s264_aia_shared_state_breakout_ta_2024.png,profit_with_curve_risk_watch(수익은 있으나 곡선 위험 관찰)
mt5_rt_s264_aia_shared_state_breakout_historical_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,shared_weakness_state_interaction,shared_weakness_state_interaction,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,424,1659.28,4772.1,-3112.82,1.533047,3.913396,0.573113,19.638272,-17.197901,1.141899,368.31,27.503472,186,0.820755,6,4.505118,28.17,27.5,4.36,0,0,0.75,3,2024-06,-165.39,2024-10,457.44,706.02,-2.53,955.79,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_04_s264_aia_shared_state_breakout_rt_2024.png,profit_with_curve_risk_watch(수익은 있으나 곡선 위험 관찰)
mt5_ta_s258_stc_shared_state_breakout_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,shared_weakness_state_interaction,shared_weakness_state_interaction,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,tier_a_only,438,1775.7,5437.08,-3661.38,1.484981,4.05411,0.579909,21.405827,-19.898804,1.075734,456.34,30.890137,190,0.847032,6,3.891178,31.52,30.89,3.79,0,0,0.833333,2,2024-07,-218.65,2024-10,398.0,885.6,-27.59,917.69,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_05_s258_stc_shared_state_breakout_ta_2024.png,profit_with_deep_dd_or_month_hole(수익은 있으나 손실폭 또는 월별 구멍 깊음)
mt5_rt_s258_stc_shared_state_breakout_historical_2024,s258_short_tight_control,s258_stc,stress_challenger,shared_weakness_state_interaction,shared_weakness_state_interaction,Tier A and duplicate-boundary Tier A+B inputs are materialized; true Tier B fallback and actual routed total remain outside this run,routed_total,438,1775.7,5437.08,-3661.38,1.484981,4.05411,0.579909,21.405827,-19.898804,1.075734,456.34,30.890137,190,0.847032,6,3.891178,31.52,30.89,3.79,0,0,0.833333,2,2024-07,-218.65,2024-10,398.0,885.6,-27.59,917.69,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_05_s258_stc_shared_state_breakout_rt_2024.png,profit_with_deep_dd_or_month_hole(수익은 있으나 손실폭 또는 월별 구멍 깊음)
