attempt_name,record_view,report_path,expected_trade_count,parsed_trade_count,trade_count_delta,parser_status
run267cn_01_s264_aih_shared_state_breakout_ta_2024,mt5_ta_s264_aih_shared_state_breakout_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_01_s264_aih_shared_state_breakout_ta_2024.htm,401,401,0,matched
run267cn_01_s264_aih_shared_state_breakout_rt_2024,mt5_rt_s264_aih_shared_state_breakout_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_01_s264_aih_shared_state_breakout_rt_2024.htm,401,401,0,matched
run267cn_02_s264_lc_shared_state_breakout_ta_2024,mt5_ta_s264_lc_shared_state_breakout_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_02_s264_lc_shared_state_breakout_ta_2024.htm,445,445,0,matched
run267cn_02_s264_lc_shared_state_breakout_rt_2024,mt5_rt_s264_lc_shared_state_breakout_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_02_s264_lc_shared_state_breakout_rt_2024.htm,445,445,0,matched
run267cn_03_s262_lih_shared_state_breakout_ta_2024,mt5_ta_s262_lih_shared_state_breakout_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_03_s262_lih_shared_state_breakout_ta_2024.htm,423,423,0,matched
run267cn_03_s262_lih_shared_state_breakout_rt_2024,mt5_rt_s262_lih_shared_state_breakout_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_03_s262_lih_shared_state_breakout_rt_2024.htm,423,423,0,matched
run267cn_04_s264_aia_shared_state_breakout_ta_2024,mt5_ta_s264_aia_shared_state_breakout_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_04_s264_aia_shared_state_breakout_ta_2024.htm,424,424,0,matched
run267cn_04_s264_aia_shared_state_breakout_rt_2024,mt5_rt_s264_aia_shared_state_breakout_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_04_s264_aia_shared_state_breakout_rt_2024.htm,424,424,0,matched
run267cn_05_s258_stc_shared_state_breakout_ta_2024,mt5_ta_s258_stc_shared_state_breakout_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_05_s258_stc_shared_state_breakout_ta_2024.htm,438,438,0,matched
run267cn_05_s258_stc_shared_state_breakout_rt_2024,mt5_rt_s258_stc_shared_state_breakout_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_05_s258_stc_shared_state_breakout_rt_2024.htm,438,438,0,matched
run267cn_06_s264_aih_aggressive_shock_release_reentry_ta_2024,mt5_ta_s264_aih_shock_release_reentry_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_06_s264_aih_aggressive_shock_release_reentry_ta_2024.htm,219,219,0,matched
run267cn_06_s264_aih_aggressive_shock_release_reentry_rt_2024,mt5_rt_s264_aih_shock_release_reentry_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CO/pool_wide_shared_weakness_breakout_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CO_run267cn_06_s264_aih_aggressive_shock_release_reentry_rt_2024.htm,219,219,0,matched
