test_id,test_type,row_count,avg_net_profit,avg_profit_factor,avg_equity_drawdown_percent,avg_trade_count,worst_month_floor,risk_row_count,constructive_row_count,best_candidate_alias,best_net_profit,worst_candidate_alias,worst_net_profit
shared_weakness_state_interaction,shared_weakness_state_interaction,5,1554.394,1.466367,25.216,426.2,-218.65,1,4,s264_lc,1883.88,s262_lih,1216.12
aggressive_shock_release_reentry,aggressive_shock_release_reentry,1,612.76,1.722415,18.48,219.0,-72.24,0,1,s264_aih,612.76,s264_aih,612.76
