variant_id,candidate_alias,profile_label,rows,source_feature_count,engineered_feature_count,output_feature_count,missing_feature_cells,stage267bs_short_side_rank_pressure_score_min,stage267bs_short_side_rank_pressure_score_max,stage267bs_short_side_rank_pressure_score_mean,stage267bs_long_side_rank_pressure_score_min,stage267bs_long_side_rank_pressure_score_max,stage267bs_long_side_rank_pressure_score_mean,score_table_validation,probability_rows_checked,probability_columns,probability_sum_max_abs_error,feature_order_hash,stage267bs_impulse_replacement_score_min,stage267bs_impulse_replacement_score_max,stage267bs_impulse_replacement_score_mean
run267bs_01_s264_aih_dir_asym,s264_aih,directional_asymmetry,11651,3,2,5,0,0,0.875,0.058366234658,0,0.8,0.0508733155952,passed,32,3,1.11022302463e-16,a4046293a0e1433f17159d426399e8846d8b4d0b9c81e881c89c18c91440a25c,,,
run267bs_02_s264_lc_dir_asym,s264_lc,directional_asymmetry,11651,3,2,5,0,0,0.875,0.0583984207364,0,0.8,0.0509055016737,passed,32,3,1.11022302463e-16,1524e6dfef9d2b54dce878d8d639ec152cbe9b91df306f784077a8daee7ce3d7,,,
run267bs_03_s262_lih_dir_asym,s262_lih,directional_asymmetry,11651,3,2,5,0,0,0.875,0.0583769633508,0,0.8,0.050884044288,passed,32,3,1.11022302463e-16,8e51187f0bd179efac6b815eef942ee1b50bc4385c58aba7618670ca87bc42eb,,,
run267bs_04_s264_aia_dir_asym,s264_aia,directional_asymmetry,11651,3,2,5,0,0,0.875,0.0583555059652,0,0.8,0.0508625869024,passed,32,3,1.11022302463e-16,5fa93a9c3b0443d912f425ff18dde643932bfb9414ebc868383557cb524ddd69,,,
run267bs_05_s258_stc_dir_asym,s258_stc,directional_asymmetry,11651,3,2,5,0,0,0.875,0.0580872886448,0,0.8,0.050594369582,passed,32,3,1.11022302463e-16,b057a19262162a2827eb68d0de4451fed5929f73af71426193375f2cf596df2a,,,
run267bs_06_s264_aih_impulse_repl,s264_aih,aggressive_impulse_replacement,11651,3,1,4,0,,,,,,,passed,32,3,0,717ec4ea4c47a03dd6d21cf5fc057711e76efe3f2b875bebecfbc0ca762430df,0,0.875,0.0697400795354
run267bs_07_s264_lc_impulse_repl,s264_lc,aggressive_impulse_replacement,11651,3,1,4,0,,,,,,,passed,32,3,0,43cb936233fac4799af2ba13d52c2abe2b6ca12cee66918a7d8239323428c77f,0,0.875,0.0697722656138
run267bs_08_s262_lih_impulse_repl,s262_lih,aggressive_impulse_replacement,11651,3,1,4,0,,,,,,,passed,32,3,0,cf6356d29d588a0797254ed8bce13ecb754b66f342ada8e09646583b8d723c21,0,0.875,0.0697508082282
run267bs_09_s264_aia_impulse_repl,s264_aia,aggressive_impulse_replacement,11651,3,1,4,0,,,,,,,passed,32,3,0,1b4d49d6868c370ad277cae0031ab10137724c014579d56ef8e51db54b55ae42,0,0.875,0.0697293508426
run267bs_10_s258_stc_impulse_repl,s258_stc,aggressive_impulse_replacement,11651,3,1,4,0,,,,,,,passed,32,3,0,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,0,0.875,0.0694611335222
