run_id,adapter_id,split,max_drawdown_amount,max_drawdown_percent,drawdown_peak_index,drawdown_trough_index,drawdown_peak_time,drawdown_trough_time,recovered,recovery_index,recovery_time,recovery_trades,max_underwater_trades,final_balance_is_new_high,drawdown_flag
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_samecap_control,validation_is,137.89,13.3771,143,157,2025.04.25 16:50:00,2025.05.05 17:35:00,True,189,2025.06.12 17:25:00,32,45,False,dd_above_34d
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_samecap_control,oos,100.21,9.792,123,136,2026.02.12 22:50:07,2026.02.24 16:38:51,True,155,2026.03.09 17:45:00,19,32,False,dd_measurement_only
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlow_guard,validation_is,83.51,8.744,162,177,2025.08.14 17:35:00,2025.09.02 17:45:00,True,186,2025.09.18 16:50:00,9,29,False,dd_measurement_only
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlow_guard,oos,92.49,9.8007,85,98,2026.02.12 22:50:07,2026.02.24 16:38:51,True,117,2026.03.09 17:45:00,19,31,False,dd_measurement_only
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlowmid_guard,validation_is,82.81,11.7633,46,59,2025.02.13 17:30:00,2025.02.26 17:30:00,True,62,2025.02.27 22:55:14,3,36,False,dd_measurement_only
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlowmid_guard,oos,91.92,9.8336,79,92,2026.02.12 22:50:07,2026.02.24 16:38:51,True,111,2026.03.09 17:45:00,19,31,False,dd_measurement_only
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_cap0305_control,validation_is,134.71,12.9428,143,157,2025.04.25 16:50:00,2025.05.05 17:35:00,True,189,2025.06.12 17:25:00,32,45,False,dd_above_34d
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_cap0305_control,oos,95.37,9.5076,123,136,2026.02.12 22:50:07,2026.02.24 16:38:51,True,155,2026.03.09 17:45:00,19,32,False,dd_measurement_only
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlowmid_guard_cap0305,validation_is,81.05,10.3027,92,118,2025.03.24 16:47:09,2025.06.23 16:36:29,True,129,2025.07.22 16:48:03,11,36,False,dd_measurement_only
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlowmid_guard_cap0305,oos,87.47,9.4742,79,92,2026.02.12 22:50:07,2026.02.24 16:38:51,True,111,2026.03.09 17:45:00,19,31,False,dd_measurement_only
