run_id,adapter_id,split,gate_column,source_feature,score_shape_feature,total_rows,signal_rows,mid_window_rows,reference_blocked_signal_rows,selective_blocked_signal_rows,allowed_signal_rows,rank_counts,allowed_signal_rank_counts,selective_block_rank_counts,mid_guard_mode,block_mode,gate_description,side_filter_feature_index,rank_feature_index
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_samecap_control,validation_is,stage244_gate_samecap_control,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/244_adapter_research__timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard/02_runs/run244A/s244_samecap_control/features/s244_samecap_control_val.csv,9844,468,3587,193,0,275,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""vhigh"":17}","{""high"":0,""low"":0,""mid"":0,""vhigh"":0}",none,both,Stage244 reference side filter plus selective middle-window low/mid margin guard.,2,1
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_samecap_control,oos,stage244_gate_samecap_control,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/244_adapter_research__timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard/02_runs/run244A/s244_samecap_control/features/s244_samecap_control_oos.csv,7584,348,2397,148,0,200,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""vhigh"":7}","{""high"":0,""low"":0,""mid"":0,""vhigh"":0}",none,both,Stage244 reference side filter plus selective middle-window low/mid margin guard.,2,1
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlow_guard,validation_is,stage244_gate_midlow_guard,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/244_adapter_research__timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard/02_runs/run244A/s244_midlow_guard/features/s244_midlow_guard_val.csv,9844,468,3587,193,73,202,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":115,""mid"":37,""vhigh"":17}","{""high"":0,""low"":73,""mid"":0,""vhigh"":0}",low,both,Stage244 reference side filter plus selective middle-window low/mid margin guard.,2,1
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlow_guard,oos,stage244_gate_midlow_guard,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/244_adapter_research__timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard/02_runs/run244A/s244_midlow_guard/features/s244_midlow_guard_oos.csv,7584,348,2397,148,40,160,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":87,""mid"":38,""vhigh"":7}","{""high"":0,""low"":40,""mid"":0,""vhigh"":0}",low,both,Stage244 reference side filter plus selective middle-window low/mid margin guard.,2,1
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlowmid_guard,validation_is,stage244_gate_midlowmid_guard,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/244_adapter_research__timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard/02_runs/run244A/s244_midlowmid_guard/features/s244_midlowmid_guard_val.csv,9844,468,3587,193,87,188,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":115,""mid"":23,""vhigh"":17}","{""high"":0,""low"":73,""mid"":14,""vhigh"":0}",low_mid,both,Stage244 reference side filter plus selective middle-window low/mid margin guard.,2,1
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlowmid_guard,oos,stage244_gate_midlowmid_guard,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/244_adapter_research__timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard/02_runs/run244A/s244_midlowmid_guard/features/s244_midlowmid_guard_oos.csv,7584,348,2397,148,46,154,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":87,""mid"":32,""vhigh"":7}","{""high"":0,""low"":40,""mid"":6,""vhigh"":0}",low_mid,both,Stage244 reference side filter plus selective middle-window low/mid margin guard.,2,1
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_cap0305_control,validation_is,stage244_gate_cap0305_control,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/244_adapter_research__timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard/02_runs/run244A/s244_cap0305_control/features/s244_cap0305_control_val.csv,9844,468,3587,193,0,275,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""vhigh"":17}","{""high"":0,""low"":0,""mid"":0,""vhigh"":0}",none,both,Stage244 reference side filter plus selective middle-window low/mid margin guard.,2,1
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_cap0305_control,oos,stage244_gate_cap0305_control,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/244_adapter_research__timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard/02_runs/run244A/s244_cap0305_control/features/s244_cap0305_control_oos.csv,7584,348,2397,148,0,200,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""vhigh"":7}","{""high"":0,""low"":0,""mid"":0,""vhigh"":0}",none,both,Stage244 reference side filter plus selective middle-window low/mid margin guard.,2,1
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlowmid_guard_cap0305,validation_is,stage244_gate_midlowmid_guard_cap0305,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/244_adapter_research__timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard/02_runs/run244A/s244_midlowmid_guard_cap0305/features/s244_midlowmid_guard_cap0305_val.csv,9844,468,3587,193,87,188,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":115,""mid"":23,""vhigh"":17}","{""high"":0,""low"":73,""mid"":14,""vhigh"":0}",low_mid,both,Stage244 reference side filter plus selective middle-window low/mid margin guard.,2,1
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlowmid_guard_cap0305,oos,stage244_gate_midlowmid_guard_cap0305,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/244_adapter_research__timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard/02_runs/run244A/s244_midlowmid_guard_cap0305/features/s244_midlowmid_guard_cap0305_oos.csv,7584,348,2397,148,46,154,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":87,""mid"":32,""vhigh"":7}","{""high"":0,""low"":40,""mid"":6,""vhigh"":0}",low_mid,both,Stage244 reference side filter plus selective middle-window low/mid margin guard.,2,1
