run_id,adapter_id,split,top1_winner,top1_winner_share_of_net,top3_winner_share_of_net,top5_winner_share_of_net,worst_loss,worst_loss_share_of_net_abs,last_quarter_net,last_quarter_net_share
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_samecap_control,validation_is,87.18,0.0901,0.2555,0.4066,-48.92,0.0505,374.63,0.3871
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_samecap_control,oos,81.58,0.1004,0.2625,0.4092,-33.26,0.0409,338.58,0.4166
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlow_guard,validation_is,87.18,0.1655,0.379,0.5734,-29.78,0.0565,159.56,0.3029
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlow_guard,oos,76.02,0.1074,0.2735,0.4289,-30.97,0.0437,261.5,0.3693
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlowmid_guard,validation_is,87.18,0.1923,0.4213,0.63,-27.52,0.0607,96.24,0.2122
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlowmid_guard,oos,74.16,0.1066,0.2757,0.4313,-30.4,0.0437,291.58,0.4192
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_cap0305_control,validation_is,87.18,0.0893,0.2506,0.3977,-45.66,0.0468,369.5,0.3783
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_cap0305_control,oos,77.87,0.1004,0.2625,0.411,-31.68,0.0408,319.97,0.4125
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlowmid_guard_cap0305,validation_is,87.18,0.1918,0.4148,0.6176,-26.77,0.0589,93.67,0.2061
run244A_stage244_timestamp_aware_midwindow_guard_repair_after_stage242_inactive_guard_v1,s244_midlowmid_guard_cap0305,oos,72.31,0.1063,0.2738,0.4297,-29.25,0.043,283.74,0.417
