candidate_alias,candidate_id,candidate_role,test_id,scope_label,state_feature,state_bucket,total_trades,weak_trades,weak_net,weak_expectancy,survivor_trades,survivor_net,survivor_expectancy,weak_share,survivor_share,enrichment,state_read
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,atr_14_over_atr_50,high,315,33,-87.78,-2.66,115,250.73,2.180261,0.492537,0.46371,1.062167,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,atr_14_over_atr_50,low,315,3,10.33,3.443333,19,48.1,2.531579,0.044776,0.076613,0.584446,thin_state
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,atr_14_over_atr_50,mid,315,30,-324.46,-10.815333,114,1109.88,9.735789,0.447761,0.459677,0.974077,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,atr_14_over_atr_50,missing,315,1,-4.4,-4.4,0,0.0,0.0,0.014925,0.0,14925373.134328,thin_state
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,bollinger_width_20,high,315,21,-154.24,-7.344762,88,242.42,2.754773,0.313433,0.354839,0.883311,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,bollinger_width_20,low,315,7,-58.84,-8.405714,36,248.13,6.8925,0.104478,0.145161,0.719735,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,bollinger_width_20,mid,315,38,-188.83,-4.969211,124,918.16,7.404516,0.567164,0.5,1.134328,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,bollinger_width_20,missing,315,1,-4.4,-4.4,0,0.0,0.0,0.014925,0.0,14925373.134328,thin_state
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,historical_vol_5_over_20,high,315,37,-336.77,-9.101892,116,637.09,5.492155,0.552239,0.467742,1.180648,overrepresented_weak_state
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,historical_vol_5_over_20,low,315,6,31.64,5.273333,46,309.64,6.731304,0.089552,0.185484,0.482803,neutral_or_survivor
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,historical_vol_5_over_20,mid,315,23,-96.78,-4.207826,86,461.98,5.37186,0.343284,0.346774,0.989934,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,historical_vol_5_over_20,missing,315,1,-4.4,-4.4,0,0.0,0.0,0.014925,0.0,14925373.134328,thin_state
