variant_id,view,split,control_id,rows,days,trade_count,trades_per_day,net_proxy,gross_profit,gross_loss,proxy_pf,win_rate,avg_win,avg_loss,payoff_ratio,expectancy,max_drawdown,recovery_factor,time_under_water_bars,max_consecutive_loss,long_count,short_count,side_min_share,regime_coverage_count,adverse_first_share,no_event_share,avg_first_hit_bar,avg_bracket_return
logreg_first_hit_full58_q88,tier_a_separate,train,no_trade,29217,573,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,0,,,,
logreg_first_hit_full58_q88,tier_a_separate,train,trade_all_model_side,29217,573,29217,50.989529,-2.88675143,14.35871918,17.24547062,0.832608,0.519561,0.0009459,-0.00122857,0.769916,-9.88e-05,2.97900211,-0.969033,29178,19,13886,15331,0.475271,52,0.459972,0.040867,1.754737,0.00097088
logreg_first_hit_full58_q88,tier_a_separate,train,random_density_match_single,29217,573,3144,5.486911,-0.3416461,1.52816114,1.86980724,0.817283,0.520038,0.00093466,-0.0012391,0.754299,-0.00010867,0.38228353,-0.893698,3118,9,1473,1671,0.468511,47,0.458015,0.041985,1.767596,0.00097708
logreg_first_hit_full58_q88,tier_a_separate,train,first_hit_oracle_reference_not_candidate,29217,573,28023,48.905759,22.9818745,22.9818745,-0.0,999.0,1.0,0.00082011,,,0.00082011,0.0,,0,0,14221,13802,0.492524,51,0.0,0.0,1.754737,0.00097011
logreg_first_hit_full58_q88,tier_a_separate,train,adverse_blind_opposite_side,29217,573,3144,5.486911,-0.55153995,1.26727628,1.81881622,0.696759,0.480916,0.00083815,-0.00111447,0.752057,-0.00017543,0.55672609,-0.990685,3139,17,1617,1527,0.485687,28,0.514631,0.009542,2.161207,0.00095831
logreg_first_hit_full58_q88,tier_a_separate,validation,no_trade,9836,183,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,0,,,,
logreg_first_hit_full58_q88,tier_a_separate,validation,trade_all_model_side,9836,183,9836,53.748634,-1.64768675,4.93797843,6.58566518,0.749807,0.500203,0.00100365,-0.00133964,0.749197,-0.00016752,1.67237459,-0.985238,9832,15,4273,5563,0.434425,51,0.474481,0.04697,2.056433,0.00103932
logreg_first_hit_full58_q88,tier_a_separate,validation,random_density_match_single,9836,183,2397,13.098361,-0.2904466,1.20081721,1.49126382,0.805235,0.499791,0.00100235,-0.00124376,0.805907,-0.00012117,0.29698786,-0.977975,2395,11,1034,1363,0.431373,47,0.475594,0.048811,2.060965,0.00102587
logreg_first_hit_full58_q88,tier_a_separate,validation,first_hit_oracle_reference_not_candidate,9836,183,9374,51.224044,8.31089729,8.31089729,-0.0,999.0,1.0,0.00088659,,,0.00088659,0.0,,0,0,4579,4795,0.488479,51,0.0,0.0,2.056433,0.00103659
logreg_first_hit_full58_q88,tier_a_separate,validation,adverse_blind_opposite_side,9836,183,2397,13.098361,-0.23919602,1.36910915,1.60830518,0.851274,0.50146,0.00113903,-0.00134586,0.846317,-9.979e-05,0.25897454,-0.923628,2391,14,1422,975,0.406758,28,0.484773,0.022528,2.289799,0.00115211
