variant_id,model_family,feature_mode,feature_count,selection_rule,selection_threshold,view,split,rows,days,trade_count,trades_per_day,net_proxy,gross_profit,gross_loss,proxy_pf,win_rate,avg_win,avg_loss,payoff_ratio,expectancy,max_drawdown,recovery_factor,time_under_water_bars,max_consecutive_loss,long_count,short_count,side_min_share,regime_coverage_count,adverse_first_share,no_event_share,avg_first_hit_bar,avg_bracket_return,random_net_proxy_mean,random_proxy_pf_mean,random_max_drawdown_mean
logreg_first_hit_full58_q88,logistic_hazard,full58,58,train_score_quantile,0.2982574579267853,tier_a_separate,train,29217,573,3144,5.486911,-0.39166005,1.32921622,1.72087628,0.772407,0.519084,0.00081447,-0.00113815,0.715612,-0.00012457,0.42721902,-0.916766,3124,17,1527,1617,0.485687,28,0.475827,0.009542,2.161207,0.00095831,-0.30032418,0.839399,0.34386672
logreg_first_hit_full58_q88,logistic_hazard,full58,58,train_score_quantile,0.2982574579267853,tier_a_separate,validation,9836,183,2397,13.098361,-0.47990398,1.25031139,1.73021536,0.722633,0.496037,0.00105157,-0.0014323,0.734181,-0.00020021,0.50359012,-0.952965,2372,17,975,1422,0.406758,28,0.492699,0.022528,2.289799,0.00115211,-0.40488799,0.749413,0.4174543
logreg_first_hit_full58_q88,logistic_hazard,full58,58,train_score_quantile,0.2982574579267853,tier_a_separate,oos,7575,131,2999,22.89313,-0.50813161,1.16914291,1.67727452,0.697049,0.484161,0.00080519,-0.00108421,0.742655,-0.00016943,0.52121291,-0.974902,2979,21,1028,1971,0.342781,27,0.487829,0.045348,2.461404,0.00094427,-0.38266971,0.786326,0.39429315
logreg_first_hit_full58_q88,logistic_hazard,full58,58,train_score_quantile,0.2982574579267853,tier_b_separate,train,8963,555,1438,2.590991,-0.08381965,0.54511319,0.62893284,0.866727,0.555633,0.00068224,-0.00098425,0.693165,-5.829e-05,0.11940104,-0.702001,1421,11,770,668,0.464534,23,0.433936,0.017385,2.796886,0.00082515,-0.19669985,0.739049,0.20593602
logreg_first_hit_full58_q88,logistic_hazard,full58,58,train_score_quantile,0.2982574579267853,tier_b_separate,validation,2361,148,767,5.182432,-0.04719116,0.26527067,0.31246183,0.84897,0.541069,0.00063921,-0.00088768,0.72009,-6.153e-05,0.06178614,-0.763782,757,15,296,471,0.385919,23,0.405476,0.083442,3.559033,0.00081219,-0.09396056,0.735014,0.10444379
logreg_first_hit_full58_q88,logistic_hazard,full58,58,train_score_quantile,0.2982574579267853,tier_b_separate,oos,1058,120,513,4.275,-0.07422951,0.17341606,0.24764557,0.700259,0.493177,0.00068544,-0.00095248,0.719634,-0.0001447,0.08681557,-0.855025,508,14,162,351,0.315789,23,0.467836,0.079922,3.213983,0.00084168,-0.02849742,0.880631,0.05100015
logreg_first_hit_full58_q88,logistic_hazard,full58,58,train_score_quantile,0.2982574579267853,tier_ab_combined,train,38180,579,4582,7.913644,-0.47547971,1.87432942,2.34980912,0.797652,0.530554,0.00077101,-0.00109243,0.705779,-0.00010377,0.51647856,-0.920618,4561,17,2297,2285,0.498691,28,0.46268,0.012003,2.35962,0.00091652,-0.49027553,0.813556,0.52932807
logreg_first_hit_full58_q88,logistic_hazard,full58,58,train_score_quantile,0.2982574579267853,tier_ab_combined,validation,12198,185,3164,17.102703,-0.52709513,1.51558206,2.04267719,0.741959,0.506953,0.00094488,-0.00130941,0.721606,-0.00016659,0.55486347,-0.949955,3140,17,1271,1893,0.401707,28,0.471555,0.037295,2.582731,0.00106971,-0.47483362,0.761131,0.49684469
logreg_first_hit_full58_q88,logistic_hazard,full58,58,train_score_quantile,0.2982574579267853,tier_ab_combined,oos,8634,131,3513,26.816794,-0.58377114,1.34232897,1.92610011,0.696915,0.48534,0.00078729,-0.00106532,0.739017,-0.00016617,0.59980244,-0.973272,3489,22,1190,2323,0.338742,27,0.485056,0.050384,2.570743,0.00092924,-0.39077969,0.806001,0.40812167
logreg_first_hit_full58_q92,logistic_hazard,full58,58,train_score_quantile,0.31510602208225524,tier_a_separate,train,29217,573,2137,3.729494,-0.27756854,0.92318767,1.20075621,0.768839,0.518016,0.00083395,-0.00116578,0.71536,-0.00012989,0.31140469,-0.891343,2120,13,1001,1136,0.468414,27,0.477305,0.010295,2.116312,0.00097902,-0.2161045,0.829748,0.2471374
