variant_id,view,split,bin,rows,event_rate,mean_event_prob,brier_score,event_auc
logreg_first_hit_full58_q88,tier_a_separate,train,overall,29217,0.959133,0.373229,0.38203348,0.750007
logreg_first_hit_full58_q88,tier_a_separate,train,0,5844,0.884155,0.231997,,
logreg_first_hit_full58_q88,tier_a_separate,train,1,5843,0.963888,0.361307,,
logreg_first_hit_full58_q88,tier_a_separate,train,2,5843,0.97758,0.3979,,
logreg_first_hit_full58_q88,tier_a_separate,train,3,5843,0.982886,0.421477,,
logreg_first_hit_full58_q88,tier_a_separate,train,4,5844,0.987166,0.453477,,
logreg_first_hit_full58_q88,tier_a_separate,validation,overall,9836,0.95303,0.38984,0.36284236,0.695555
logreg_first_hit_full58_q88,tier_a_separate,validation,0,1968,0.878557,0.234807,,
logreg_first_hit_full58_q88,tier_a_separate,validation,1,1967,0.963904,0.379403,,
logreg_first_hit_full58_q88,tier_a_separate,validation,2,1967,0.97153,0.41653,,
logreg_first_hit_full58_q88,tier_a_separate,validation,3,1967,0.978139,0.439589,,
logreg_first_hit_full58_q88,tier_a_separate,validation,4,1967,0.973055,0.478948,,
logreg_first_hit_full58_q88,tier_a_separate,oos,overall,7575,0.939406,0.404577,0.34364359,0.644678
logreg_first_hit_full58_q88,tier_a_separate,oos,0,1515,0.867327,0.246238,,
logreg_first_hit_full58_q88,tier_a_separate,oos,1,1515,0.955116,0.395782,,
logreg_first_hit_full58_q88,tier_a_separate,oos,2,1515,0.962376,0.433176,,
logreg_first_hit_full58_q88,tier_a_separate,oos,3,1515,0.947195,0.457141,,
logreg_first_hit_full58_q88,tier_a_separate,oos,4,1515,0.965017,0.49055,,
logreg_first_hit_full58_q88,tier_b_separate,train,overall,8963,0.967868,0.391846,0.3626053,0.711589
logreg_first_hit_full58_q88,tier_b_separate,train,0,1793,0.909091,0.261604,,
logreg_first_hit_full58_q88,tier_b_separate,train,1,1792,0.986607,0.392732,,
logreg_first_hit_full58_q88,tier_b_separate,train,2,1793,0.978806,0.414968,,
logreg_first_hit_full58_q88,tier_b_separate,train,3,1792,0.981027,0.431997,,
logreg_first_hit_full58_q88,tier_b_separate,train,4,1793,0.983826,0.457951,,
logreg_first_hit_full58_q88,tier_b_separate,validation,overall,2361,0.923338,0.42156,0.32623805,0.46091
logreg_first_hit_full58_q88,tier_b_separate,validation,0,473,0.942918,0.341944,,
logreg_first_hit_full58_q88,tier_b_separate,validation,1,472,0.923729,0.415973,,
logreg_first_hit_full58_q88,tier_b_separate,validation,2,472,0.919492,0.43342,,
logreg_first_hit_full58_q88,tier_b_separate,validation,3,472,0.923729,0.446801,,
logreg_first_hit_full58_q88,tier_b_separate,validation,4,472,0.90678,0.469833,,
logreg_first_hit_full58_q88,tier_b_separate,oos,overall,1058,0.914934,0.422312,0.32720382,0.481577
logreg_first_hit_full58_q88,tier_b_separate,oos,0,212,0.943396,0.302561,,
logreg_first_hit_full58_q88,tier_b_separate,oos,1,211,0.886256,0.416015,,
logreg_first_hit_full58_q88,tier_b_separate,oos,2,212,0.919811,0.442919,,
logreg_first_hit_full58_q88,tier_b_separate,oos,3,211,0.914692,0.460654,,
logreg_first_hit_full58_q88,tier_b_separate,oos,4,212,0.910377,0.489561,,
logreg_first_hit_full58_q88,tier_ab_combined,train,overall,38180,0.961184,0.377602,0.37746922,0.745525
logreg_first_hit_full58_q88,tier_ab_combined,train,0,7636,0.888161,0.236915,,
logreg_first_hit_full58_q88,tier_ab_combined,train,1,7636,0.969618,0.368984,,
logreg_first_hit_full58_q88,tier_ab_combined,train,2,7636,0.979439,0.40278,,
logreg_first_hit_full58_q88,tier_ab_combined,train,3,7636,0.982713,0.4245,,
logreg_first_hit_full58_q88,tier_ab_combined,train,4,7636,0.985987,0.454833,,
logreg_first_hit_full58_q88,tier_ab_combined,validation,overall,12198,0.947286,0.395983,0.35575419,0.618858
logreg_first_hit_full58_q88,tier_ab_combined,validation,0,2440,0.893033,0.251541,,
logreg_first_hit_full58_q88,tier_ab_combined,validation,1,2439,0.96146,0.388582,,
logreg_first_hit_full58_q88,tier_ab_combined,validation,2,2440,0.959426,0.420925,,
logreg_first_hit_full58_q88,tier_ab_combined,validation,3,2439,0.96474,0.441661,,
logreg_first_hit_full58_q88,tier_ab_combined,validation,4,2440,0.957787,0.477221,,
logreg_first_hit_full58_q88,tier_ab_combined,oos,overall,8634,0.936414,0.406762,0.34161736,0.615362
logreg_first_hit_full58_q88,tier_ab_combined,oos,0,1727,0.877244,0.252743,,
logreg_first_hit_full58_q88,tier_ab_combined,oos,1,1727,0.95194,0.398326,,
logreg_first_hit_full58_q88,tier_ab_combined,oos,2,1726,0.953071,0.434627,,
logreg_first_hit_full58_q88,tier_ab_combined,oos,3,1727,0.940938,0.457681,,
logreg_first_hit_full58_q88,tier_ab_combined,oos,4,1727,0.958888,0.490451,,
logreg_first_hit_full58_q92,tier_a_separate,train,overall,29217,0.959133,0.373229,0.38203348,0.750007
logreg_first_hit_full58_q92,tier_a_separate,train,0,5844,0.884155,0.231997,,
logreg_first_hit_full58_q92,tier_a_separate,train,1,5843,0.963888,0.361307,,
logreg_first_hit_full58_q92,tier_a_separate,train,2,5843,0.97758,0.3979,,
logreg_first_hit_full58_q92,tier_a_separate,train,3,5843,0.982886,0.421477,,
logreg_first_hit_full58_q92,tier_a_separate,train,4,5844,0.987166,0.453477,,
logreg_first_hit_full58_q92,tier_a_separate,validation,overall,9836,0.95303,0.38984,0.36284236,0.695555
logreg_first_hit_full58_q92,tier_a_separate,validation,0,1968,0.878557,0.234807,,
logreg_first_hit_full58_q92,tier_a_separate,validation,1,1967,0.963904,0.379403,,
logreg_first_hit_full58_q92,tier_a_separate,validation,2,1967,0.97153,0.41653,,
logreg_first_hit_full58_q92,tier_a_separate,validation,3,1967,0.978139,0.439589,,
logreg_first_hit_full58_q92,tier_a_separate,validation,4,1967,0.973055,0.478948,,
logreg_first_hit_full58_q92,tier_a_separate,oos,overall,7575,0.939406,0.404577,0.34364359,0.644678
logreg_first_hit_full58_q92,tier_a_separate,oos,0,1515,0.867327,0.246238,,
logreg_first_hit_full58_q92,tier_a_separate,oos,1,1515,0.955116,0.395782,,
logreg_first_hit_full58_q92,tier_a_separate,oos,2,1515,0.962376,0.433176,,
logreg_first_hit_full58_q92,tier_a_separate,oos,3,1515,0.947195,0.457141,,
logreg_first_hit_full58_q92,tier_a_separate,oos,4,1515,0.965017,0.49055,,
logreg_first_hit_full58_q92,tier_b_separate,train,overall,8963,0.967868,0.391846,0.3626053,0.711589
logreg_first_hit_full58_q92,tier_b_separate,train,0,1793,0.909091,0.261604,,
logreg_first_hit_full58_q92,tier_b_separate,train,1,1792,0.986607,0.392732,,
logreg_first_hit_full58_q92,tier_b_separate,train,2,1793,0.978806,0.414968,,
logreg_first_hit_full58_q92,tier_b_separate,train,3,1792,0.981027,0.431997,,
logreg_first_hit_full58_q92,tier_b_separate,train,4,1793,0.983826,0.457951,,
logreg_first_hit_full58_q92,tier_b_separate,validation,overall,2361,0.923338,0.42156,0.32623805,0.46091
logreg_first_hit_full58_q92,tier_b_separate,validation,0,473,0.942918,0.341944,,
logreg_first_hit_full58_q92,tier_b_separate,validation,1,472,0.923729,0.415973,,
logreg_first_hit_full58_q92,tier_b_separate,validation,2,472,0.919492,0.43342,,
logreg_first_hit_full58_q92,tier_b_separate,validation,3,472,0.923729,0.446801,,
logreg_first_hit_full58_q92,tier_b_separate,validation,4,472,0.90678,0.469833,,
logreg_first_hit_full58_q92,tier_b_separate,oos,overall,1058,0.914934,0.422312,0.32720382,0.481577
logreg_first_hit_full58_q92,tier_b_separate,oos,0,212,0.943396,0.302561,,
logreg_first_hit_full58_q92,tier_b_separate,oos,1,211,0.886256,0.416015,,
logreg_first_hit_full58_q92,tier_b_separate,oos,2,212,0.919811,0.442919,,
logreg_first_hit_full58_q92,tier_b_separate,oos,3,211,0.914692,0.460654,,
logreg_first_hit_full58_q92,tier_b_separate,oos,4,212,0.910377,0.489561,,
logreg_first_hit_full58_q92,tier_ab_combined,train,overall,38180,0.961184,0.377602,0.37746922,0.745525
logreg_first_hit_full58_q92,tier_ab_combined,train,0,7636,0.888161,0.236915,,
logreg_first_hit_full58_q92,tier_ab_combined,train,1,7636,0.969618,0.368984,,
