run_id,adapter_id,split,top1_winner,top1_winner_share_of_net,top3_winner_share_of_net,top5_winner_share_of_net,worst_loss,worst_loss_share_of_net_abs,last_quarter_net,last_quarter_net_share
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_lowrank_control,validation_is,99.82,0.0773,0.2212,0.3565,-58.65,0.0454,458.67,0.3552
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_lowrank_control,oos,79.86,0.1029,0.2696,0.4232,-32.8,0.0423,280.37,0.3613
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_allow_inner_low_quarter,validation_is,97.3,0.0809,0.2315,0.3738,-58.65,0.0487,402.37,0.3344
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_allow_inner_low_quarter,oos,79.86,0.1027,0.2689,0.4221,-32.8,0.0422,280.08,0.36
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_allow_inner_high_quarter,validation_is,97.3,0.0781,0.2252,0.3626,-55.39,0.0444,445.5,0.3575
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_allow_inner_high_quarter,oos,85.42,0.0996,0.2603,0.4085,-34.67,0.0404,297.88,0.3473
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_allow_inner_all_oos_anchor,validation_is,94.77,0.0815,0.2354,0.3789,-55.39,0.0476,394.43,0.339
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_allow_inner_all_oos_anchor,oos,85.42,0.0996,0.2603,0.4085,-34.67,0.0404,271.15,0.3162
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_highedge_reference,validation_is,97.3,0.0808,0.2313,0.3735,-55.39,0.046,439.69,0.3651
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_highedge_reference,oos,83.57,0.1008,0.2659,0.4152,-34.2,0.0413,291.52,0.3517
