record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count,queue_id,source_queue_id,axis_id,candidate_id,candidate_alias,candidate_role,test_id,test_type,priority,materialization_boundary
mt5_ta_s264_aih_abl_volatility_bandwidth_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,run267S_axis01_pool_wide_variant_distinguishability,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aih_abl_volatility_bandwidth_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_01_s264_aih_abl_volatility_bandwidth,run267N_01_s264_aih_abl_volatility_bandwidth,run267S_axis01_pool_wide_variant_distinguishability,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_aih_rep_volatility_atr_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_02_s264_aih_rep_volatility_atr,run267N_04_s264_aih_rep_volatility_atr,run267S_axis01_pool_wide_variant_distinguishability,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aih_rep_volatility_atr_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_02_s264_aih_rep_volatility_atr,run267N_04_s264_aih_rep_volatility_atr,run267S_axis01_pool_wide_variant_distinguishability,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_aih_abl_trend_strength_direction_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_03_s264_aih_abl_trend_strength_direction,run267N_02_s264_aih_abl_trend_strength_direction,run267S_axis02_non_calendar_weak_slice_resilience,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aih_abl_trend_strength_direction_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_03_s264_aih_abl_trend_strength_direction,run267N_02_s264_aih_abl_trend_strength_direction,run267S_axis02_non_calendar_weak_slice_resilience,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_aih_rep_trend_strength_adx_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_04_s264_aih_rep_trend_strength_adx,run267N_03_s264_aih_rep_trend_strength_adx,run267S_axis02_non_calendar_weak_slice_resilience,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aih_rep_trend_strength_adx_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_04_s264_aih_rep_trend_strength_adx,run267N_03_s264_aih_rep_trend_strength_adx,run267S_axis02_non_calendar_weak_slice_resilience,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_lc_rep_volatility_atr_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_05_s264_lc_rep_volatility_atr,run267N_09_s264_lc_rep_volatility_atr,run267S_axis01_pool_wide_variant_distinguishability,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_lc_rep_volatility_atr_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_05_s264_lc_rep_volatility_atr,run267N_09_s264_lc_rep_volatility_atr,run267S_axis01_pool_wide_variant_distinguishability,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_lc_abl_trend_strength_direction_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_06_s264_lc_abl_trend_strength_direction,run267N_07_s264_lc_abl_trend_strength_direction,run267S_axis02_non_calendar_weak_slice_resilience,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_lc_abl_trend_strength_direction_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_06_s264_lc_abl_trend_strength_direction,run267N_07_s264_lc_abl_trend_strength_direction,run267S_axis02_non_calendar_weak_slice_resilience,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_lc_rep_trend_strength_adx_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_07_s264_lc_rep_trend_strength_adx,run267N_08_s264_lc_rep_trend_strength_adx,run267S_axis02_non_calendar_weak_slice_resilience,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_lc_rep_trend_strength_adx_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_07_s264_lc_rep_trend_strength_adx,run267N_08_s264_lc_rep_trend_strength_adx,run267S_axis02_non_calendar_weak_slice_resilience,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s262_lih_rep_volatility_atr_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_08_s262_lih_rep_volatility_atr,run267N_14_s262_lih_rep_volatility_atr,run267S_axis01_pool_wide_variant_distinguishability,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s262_lih_rep_volatility_atr_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_08_s262_lih_rep_volatility_atr,run267N_14_s262_lih_rep_volatility_atr,run267S_axis01_pool_wide_variant_distinguishability,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s262_lih_abl_trend_strength_direction_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_09_s262_lih_abl_trend_strength_direction,run267N_12_s262_lih_abl_trend_strength_direction,run267S_axis02_non_calendar_weak_slice_resilience,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s262_lih_abl_trend_strength_direction_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_09_s262_lih_abl_trend_strength_direction,run267N_12_s262_lih_abl_trend_strength_direction,run267S_axis02_non_calendar_weak_slice_resilience,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s262_lih_rep_trend_strength_adx_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_10_s262_lih_rep_trend_strength_adx,run267N_13_s262_lih_rep_trend_strength_adx,run267S_axis02_non_calendar_weak_slice_resilience,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s262_lih_rep_trend_strength_adx_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_10_s262_lih_rep_trend_strength_adx,run267N_13_s262_lih_rep_trend_strength_adx,run267S_axis02_non_calendar_weak_slice_resilience,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
