attempt_name,artifact_slug,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown
c56_bal_rf,c56_bal,session_slice,early,45,18.14,213.82,-195.68,1.092702,0.403111,0.511111,80.93
c56_bal_rf,c56_bal,session_slice,late,12,-20.83,43.67,-64.5,0.677054,-1.735833,0.5,34.58
c56_bal_rf,c56_bal,session_slice,mid,13,23.25,46.01,-22.76,2.021529,1.788462,0.615385,15.35
c56_bal_rf,c56_bal,session_slice,outside_cash_session,5,-19.11,39.4,-58.51,0.673389,-3.822,0.4,26.21
c56_plain_rf,c56_plain,session_slice,early,43,112.31,233.77,-121.46,1.924667,2.61186,0.674419,46.83
c56_plain_rf,c56_plain,session_slice,late,14,23.01,39.09,-16.08,2.43097,1.643571,0.571429,8.14
c56_plain_rf,c56_plain,session_slice,mid,16,30.42,57.56,-27.14,2.120855,1.90125,0.5,10.68
c56_plain_rf,c56_plain,session_slice,outside_cash_session,4,-18.68,35.47,-54.15,0.655032,-4.67,0.25,27.94
m48_bal_rf,m48_bal,session_slice,early,40,85.11,236.7,-151.59,1.561449,2.12775,0.55,41.22
m48_bal_rf,m48_bal,session_slice,late,11,34.55,55.43,-20.88,2.654693,3.140909,0.636364,18.76
m48_bal_rf,m48_bal,session_slice,mid,220,8.82,468.51,-459.69,1.019187,0.040091,0.504545,50.44
m48_bal_rf,m48_bal,session_slice,outside_cash_session,6,-70.64,14.0,-84.64,0.165406,-11.773333,0.166667,75.4
m48_plain_rf,m48_plain,session_slice,early,35,115.04,216.86,-101.82,2.129837,3.286857,0.685714,48.05
m48_plain_rf,m48_plain,session_slice,late,12,11.09,30.88,-19.79,1.560384,0.924167,0.5,9.69
m48_plain_rf,m48_plain,session_slice,mid,216,137.61,547.53,-409.92,1.3357,0.637083,0.550926,43.2
m48_plain_rf,m48_plain,session_slice,outside_cash_session,6,6.14,27.78,-21.64,1.283734,1.023333,0.666667,17.61
u42_bal_rf,u42_bal,session_slice,early,44,37.95,215.2,-177.25,1.214104,0.8625,0.590909,79.96
u42_bal_rf,u42_bal,session_slice,late,12,3.13,49.73,-46.6,1.067167,0.260833,0.416667,37.29
u42_bal_rf,u42_bal,session_slice,mid,261,-4.37,538.78,-543.15,0.991954,-0.016743,0.501916,89.98
