attempt_name,artifact_slug,direction,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown
c56_bal_rf,c56_bal,buy,42,87.0,211.31,-124.31,1.699863,2.071429,0.619048,55.87
c56_bal_rf,c56_bal,sell,33,-85.55,131.59,-217.14,0.606015,-2.592424,0.393939,94.61
c56_plain_rf,c56_plain,buy,58,158.14,299.27,-141.13,2.120527,2.726552,0.62069,51.09
c56_plain_rf,c56_plain,sell,19,-11.08,66.62,-77.7,0.8574,-0.583158,0.526316,46.9
m48_bal_rf,m48_bal,buy,216,112.8,561.2,-448.4,1.251561,0.522222,0.537037,55.63
m48_bal_rf,m48_bal,sell,61,-54.96,213.44,-268.4,0.795231,-0.900984,0.409836,120.56
m48_plain_rf,m48_plain,buy,238,229.53,697.92,-468.39,1.49004,0.964412,0.571429,61.12
m48_plain_rf,m48_plain,sell,31,40.35,125.13,-84.78,1.475938,1.301613,0.548387,32.39
u42_bal_rf,u42_bal,buy,265,69.46,618.64,-549.18,1.126479,0.262113,0.535849,60.88
u42_bal_rf,u42_bal,sell,58,-60.8,211.35,-272.15,0.776594,-1.048276,0.396552,118.52
u42_plain_rf,u42_plain,buy,296,156.42,734.31,-577.89,1.270674,0.528446,0.564189,71.44
u42_plain_rf,u42_plain,sell,30,-36.51,89.94,-126.45,0.711269,-1.217,0.566667,52.94
