attempt_name,artifact_slug,chunk_type,chunk_id,start_time,end_time,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown
c56_bal_rf,c56_bal,thirds,third_1,2026-04-14 17:50:00,2026-04-30 17:35:00,25,-58.91,87.1,-146.01,0.596534,-2.3564,0.36,106.45
c56_bal_rf,c56_bal,thirds,third_2,2026-04-30 18:45:00,2026-05-15 18:15:00,25,87.72,146.28,-58.56,2.497951,3.5088,0.72,17.42
c56_bal_rf,c56_bal,thirds,third_3,2026-05-15 19:15:00,2026-05-22 17:40:00,25,-27.36,109.52,-136.88,0.800117,-1.0944,0.48,89.02
c56_bal_rf,c56_bal,rolling_worst_net,rolling_20_start_49,2026-05-15 17:20:00,2026-05-20 16:35:00,20,-66.07,75.81,-141.88,0.534325,-3.3035,0.35,89.02
c56_plain_rf,c56_plain,thirds,third_1,2026-04-14 18:05:00,2026-04-30 20:45:00,26,48.34,125.17,-76.83,1.629181,1.859231,0.576923,38.95
c56_plain_rf,c56_plain,thirds,third_2,2026-05-01 17:40:00,2026-05-15 20:45:00,26,128.62,160.62,-32.0,5.019375,4.946923,0.730769,11.22
c56_plain_rf,c56_plain,thirds,third_3,2026-05-15 22:50:00,2026-05-22 17:40:00,25,-29.9,80.1,-110.0,0.728182,-1.196,0.48,53.23
c56_plain_rf,c56_plain,rolling_worst_net,rolling_20_start_55,2026-05-18 18:20:00,2026-05-21 19:50:00,20,-34.86,64.43,-99.29,0.648907,-1.743,0.45,53.23
m48_bal_rf,m48_bal,thirds,third_1,2026-04-14 10:00:00,2026-04-28 19:45:00,93,-44.3,159.34,-203.64,0.782459,-0.476344,0.483871,61.18
m48_bal_rf,m48_bal,thirds,third_2,2026-04-28 21:00:00,2026-05-12 23:45:00,93,29.74,255.46,-225.72,1.131756,0.319785,0.537634,80.24
m48_bal_rf,m48_bal,thirds,third_3,2026-05-13 09:35:00,2026-05-22 18:10:00,91,72.4,359.84,-287.44,1.251879,0.795604,0.505495,48.47
m48_bal_rf,m48_bal,rolling_worst_net,rolling_20_start_86,2026-04-28 12:50:00,2026-04-30 08:35:00,20,-79.99,32.03,-112.02,0.285931,-3.9995,0.35,90.91
m48_plain_rf,m48_plain,thirds,third_1,2026-04-14 10:00:00,2026-04-29 11:30:00,90,7.97,183.64,-175.67,1.045369,0.088556,0.544444,43.57
m48_plain_rf,m48_plain,thirds,third_2,2026-04-29 12:45:00,2026-05-13 15:45:00,90,149.23,288.11,-138.88,2.074525,1.658111,0.611111,28.96
m48_plain_rf,m48_plain,thirds,third_3,2026-05-13 17:10:00,2026-05-22 18:05:00,89,112.68,351.3,-238.62,1.472215,1.266067,0.550562,44.58
m48_plain_rf,m48_plain,rolling_worst_net,rolling_20_start_77,2026-04-27 16:05:00,2026-04-30 08:35:00,20,-62.79,23.93,-86.72,0.275946,-3.1395,0.3,62.79
u42_bal_rf,u42_bal,thirds,third_1,2026-04-14 08:00:00,2026-04-28 15:50:00,108,-55.76,168.66,-224.42,0.751537,-0.516296,0.481481,89.53
u42_bal_rf,u42_bal,thirds,third_2,2026-04-28 16:50:00,2026-05-12 17:35:00,108,-10.08,254.37,-264.45,0.961883,-0.093333,0.537037,87.45
u42_bal_rf,u42_bal,thirds,third_3,2026-05-12 18:55:00,2026-05-22 17:45:00,107,74.5,406.96,-332.46,1.224087,0.696262,0.514019,48.51
u42_bal_rf,u42_bal,rolling_worst_net,rolling_20_start_106,2026-04-28 13:25:00,2026-04-30 09:05:00,20,-77.21,35.07,-112.28,0.312344,-3.8605,0.35,87.45
u42_plain_rf,u42_plain,thirds,third_1,2026-04-14 08:00:00,2026-04-28 14:30:00,109,20.67,184.89,-164.22,1.125868,0.189633,0.541284,38.33
u42_plain_rf,u42_plain,thirds,third_2,2026-04-28 15:35:00,2026-05-12 13:25:00,109,95.62,299.66,-204.04,1.468634,0.877248,0.614679,68.55
u42_plain_rf,u42_plain,thirds,third_3,2026-05-12 14:30:00,2026-05-22 17:45:00,108,3.62,339.7,-336.08,1.010771,0.033519,0.537037,95.53
u42_plain_rf,u42_plain,rolling_worst_net,rolling_20_start_263,2026-05-18 09:20:00,2026-05-19 14:35:00,20,-72.06,45.21,-117.27,0.385521,-3.603,0.35,89.37
